"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","4,040.82","4,031.09","4,084.75","4,031.09","","-0.61%"
"2023-10-18","4,065.80","4,065.48","4,073.76","4,035.75","","0.26%"
"2023-10-17","4,055.31","4,079.22","4,104.23","4,043.30","","0.07%"
"2023-10-16","4,052.28","4,064.57","4,088.54","4,037.32","","-0.99%"
"2023-10-13","4,092.93","4,124.54","4,127.93","4,079.13","","-1.89%"
"2023-10-12","4,171.92","4,153.37","4,174.59","4,147.05","","0.63%"
"2023-10-11","4,145.95","4,141.39","4,169.06","4,125.30","","-0.16%"
"2023-10-10","4,152.47","4,109.34","4,157.40","4,097.32","","1.53%"
"2023-10-06","4,089.75","4,086.75","4,124.97","4,077.14","","-0.01%"
"2023-10-05","4,089.97","4,029.02","4,092.43","4,020.30","","1.82%"
"2023-10-04","4,016.92","4,021.26","4,045.62","4,006.56","","-1.51%"
"2023-10-03","4,078.53","4,098.40","4,114.06","4,057.20","","-0.59%"
"2023-10-02","4,102.56","4,176.94","4,182.95","4,092.19","","-1.09%"
"2023-09-29","4,147.92","4,143.21","4,158.12","4,125.90","","0.40%"
"2023-09-28","4,131.30","4,151.47","4,171.27","4,108.56","","-1.29%"
"2023-09-27","4,185.45","4,183.56","4,185.45","4,143.00","","-0.56%"
"2023-09-26","4,209.06","4,208.86","4,222.87","4,183.95","","0.07%"
"2023-09-25","4,205.94","4,179.52","4,209.24","4,175.61","","0.87%"
"2023-09-22","4,169.66","4,152.27","4,184.29","4,152.16","","-0.12%"
"2023-09-21","4,174.79","4,224.22","4,242.47","4,170.24","","-1.53%"
"2023-09-20","4,239.72","4,338.66","4,343.63","4,233.30","","-2.16%"
"2023-09-19","4,333.15","4,301.96","4,333.37","4,282.61","","0.92%"
"2023-09-15","4,293.81","4,293.18","4,309.07","4,289.82","","0.16%"
"2023-09-14","4,287.02","4,279.42","4,297.76","4,250.51","","0.99%"
"2023-09-13","4,244.83","4,266.17","4,274.53","4,239.61","","-0.39%"
"2023-09-12","4,261.29","4,261.33","4,277.66","4,221.42","","0.30%"
"2023-09-11","4,248.40","4,274.53","4,293.60","4,233.05","","-0.01%"
"2023-09-08","4,248.72","4,267.50","4,285.37","4,233.16","","-0.74%"
"2023-09-07","4,280.35","4,281.74","4,289.58","4,268.72","","-0.14%"
"2023-09-06","4,286.54","4,283.30","4,310.92","4,278.02","","0.41%"
"2023-09-05","4,268.96","4,258.98","4,278.46","4,244.04","","0.26%"
"2023-09-04","4,257.88","4,244.07","4,265.97","4,229.87","","0.45%"
"2023-09-01","4,238.91","4,211.71","4,258.05","4,211.71","","0.10%"
"2023-08-31","4,234.55","4,204.98","4,244.52","4,199.56","","1.02%"
"2023-08-30","4,191.78","4,186.10","4,219.95","4,183.26","","0.40%"
"2023-08-29","4,175.06","4,184.46","4,201.98","4,171.79","","0.04%"
"2023-08-28","4,173.55","4,149.25","4,177.84","4,144.55","","1.54%"
"2023-08-25","4,110.23","4,112.97","4,140.55","4,105.22","","-1.07%"
"2023-08-24","4,154.88","4,155.92","4,167.82","4,140.78","","-0.33%"
"2023-08-23","4,168.60","4,132.29","4,169.10","4,132.29","","0.44%"
"2023-08-22","4,150.52","4,147.55","4,160.73","4,126.78","","0.50%"
"2023-08-21","4,129.90","4,126.18","4,156.87","4,116.32","","0.08%"
"2023-08-18","4,126.59","4,126.80","4,154.78","4,109.35","","-0.68%"
"2023-08-17","4,155.00","4,191.87","4,191.87","4,123.83","","-1.03%"
"2023-08-16","4,198.45","4,200.13","4,222.26","4,184.07","","-0.49%"
"2023-08-15","4,219.32","4,214.91","4,236.85","4,209.98","","0.62%"
"2023-08-14","4,193.18","4,208.63","4,235.34","4,182.55","","-0.15%"
"2023-08-10","4,199.33","4,158.58","4,203.21","4,141.93","","1.24%"
"2023-08-09","4,147.90","4,096.75","4,159.36","4,096.21","","1.43%"
"2023-08-08","4,089.48","4,109.34","4,118.10","4,083.75","","-0.18%"
"2023-08-07","4,096.98","4,039.28","4,098.75","4,036.68","","1.06%"
"2023-08-04","4,053.99","4,083.50","4,084.41","4,031.16","","-1.73%"
"2023-08-03","4,125.43","4,157.17","4,169.20","4,112.72","","-1.33%"
"2023-08-02","4,180.95","4,215.21","4,224.47","4,167.11","","-1.61%"
"2023-08-01","4,249.21","4,244.72","4,254.92","4,210.12","","0.13%"
"2023-07-31","4,243.59","4,216.13","4,251.04","4,206.01","","1.80%"
"2023-07-28","4,168.53","4,127.60","4,186.21","4,092.45","","-0.42%"
"2023-07-27","4,186.10","4,142.95","4,193.37","4,133.64","","1.18%"
"2023-07-26","4,137.46","4,164.74","4,166.04","4,133.52","","-1.19%"
"2023-07-25","4,187.49","4,197.64","4,197.64","4,169.57","","-0.58%"
"2023-07-24","4,211.79","4,210.28","4,225.09","4,199.21","","1.17%"
"2023-07-21","4,163.17","4,157.75","4,185.02","4,142.41","","-0.16%"
"2023-07-20","4,169.70","4,176.28","4,207.25","4,166.02","","-0.61%"
"2023-07-19","4,195.29","4,166.71","4,195.29","4,162.19","","1.27%"
"2023-07-18","4,142.76","4,127.58","4,159.32","4,124.66","","0.22%"
"2023-07-14","4,133.61","4,179.46","4,179.46","4,110.87","","-0.29%"
"2023-07-13","4,145.44","4,109.32","4,151.72","4,090.39","","1.24%"
"2023-07-12","4,094.48","4,126.64","4,175.69","4,094.33","","-0.03%"
"2023-07-11","4,095.59","4,134.96","4,136.96","4,078.75","","-0.49%"
"2023-07-10","4,115.56","4,109.85","4,144.03","4,093.88","","-0.73%"
"2023-07-07","4,145.63","4,152.94","4,185.95","4,139.95","","-0.37%"
"2023-07-06","4,161.17","4,229.73","4,239.44","4,149.62","","-2.01%"
"2023-07-05","4,246.58","4,238.25","4,268.26","4,224.30","","-0.28%"
"2023-07-04","4,258.52","4,272.43","4,284.37","4,254.37","","-0.87%"
"2023-07-03","4,295.98","4,287.15","4,306.24","4,283.63","","0.87%"
"2023-06-30","4,259.00","4,234.70","4,266.68","4,207.80","","-0.44%"
"2023-06-29","4,277.82","4,292.26","4,312.53","4,265.04","","0.17%"
"2023-06-28","4,270.73","4,215.04","4,275.02","4,205.83","","2.04%"
"2023-06-27","4,185.39","4,145.70","4,187.35","4,115.12","","0.83%"
"2023-06-26","4,150.84","4,127.95","4,162.50","4,090.90","","0.56%"
"2023-06-23","4,127.62","4,235.13","4,238.39","4,099.49","","-1.87%"
"2023-06-22","4,206.33","4,167.64","4,252.60","4,167.64","","1.12%"
"2023-06-21","4,159.87","4,148.81","4,169.49","4,138.23","","-0.16%"
"2023-06-20","4,166.41","4,154.80","4,166.41","4,127.16","","-0.18%"
"2023-06-19","4,174.02","4,187.55","4,188.12","4,139.91","","-0.38%"
"2023-06-16","4,190.03","4,157.54","4,195.65","4,132.42","","0.33%"
"2023-06-15","4,176.34","4,179.68","4,226.01","4,175.66","","0.50%"
"2023-06-14","4,155.68","4,155.14","4,179.36","4,133.93","","0.34%"
"2023-06-13","4,141.47","4,120.66","4,152.34","4,113.44","","1.04%"
"2023-06-12","4,098.68","4,094.66","4,102.05","4,081.83","","0.64%"
"2023-06-09","4,072.51","4,038.42","4,078.55","4,034.79","","1.65%"
"2023-06-08","4,006.31","4,058.99","4,072.84","3,982.52","","-1.36%"
"2023-06-07","4,061.54","4,101.46","4,123.14","4,050.64","","-0.95%"
"2023-06-06","4,100.65","4,051.30","4,102.40","4,044.88","","0.56%"
"2023-06-05","4,077.75","4,083.75","4,084.08","4,056.08","","0.84%"
"2023-06-02","4,043.72","3,987.51","4,046.38","3,987.51","","1.85%"
