日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,882.91,882.22,886.95,879.54,,-0.80%
2023-10-18,890.03,890.17,891.51,882.65,,0.36%
2023-10-17,886.83,887.18,892.84,880.07,,1.22%
2023-10-16,876.1,878.3,881.9,872.61,,-1.50%
2023-10-13,889.48,896.38,900.29,886.98,,-1.87%
2023-10-12,906.43,900.62,906.52,899.21,,1.46%
2023-10-11,893.4,897.38,898.93,890.9,,-0.39%
2023-10-10,896.89,889.31,899.57,887.91,,2.34%
2023-10-06,876.42,876.84,883.83,869.55,,0.57%
2023-10-05,871.45,847.64,872.91,847.64,,4.21%
2023-10-04,836.21,854.94,855.61,835.9,,-3.68%
2023-10-03,868.16,879.61,879.61,866.2,,-2.18%
2023-10-02,887.55,897.52,904.21,887.18,,-0.44%
2023-09-29,891.46,901.17,901.17,888.55,,-1.31%
2023-09-28,903.26,910.84,913.21,898.69,,-2.41%
2023-09-27,925.57,910.25,925.57,907.58,,1.32%
2023-09-26,913.5,917.48,921.65,913.34,,0.20%
2023-09-25,911.71,911.35,914.28,906.05,,0.34%
2023-09-22,908.61,898.85,914.51,898.06,,0.20%
2023-09-21,906.77,914.83,916.53,905.55,,-0.97%
2023-09-20,915.65,931.62,931.62,915.04,,-1.36%
2023-09-19,928.31,918.12,928.31,916.55,,1.24%
2023-09-15,916.91,919.31,926.59,911.49,,0.88%
2023-09-14,908.89,895.88,910.56,893.99,,1.77%
2023-09-13,893.08,891.37,895.98,886.46,,0.41%
2023-09-12,889.46,895.25,895.25,884.57,,0.07%
2023-09-11,888.81,896.38,898.23,885.06,,-0.21%
2023-09-08,890.64,896.43,900.75,888.09,,-1.04%
2023-09-07,899.99,895.62,906.29,895.53,,0.46%
2023-09-06,895.87,888.26,899.63,886.63,,1.29%
2023-09-05,884.45,884.2,886.43,877.62,,0.30%
2023-09-04,881.84,873.46,881.84,872.55,,1.77%
2023-09-01,866.47,855.07,869.2,854.4,,1.15%
2023-08-31,856.64,850.83,858.3,849.61,,0.74%
2023-08-30,850.34,845.74,853.15,844.15,,0.87%
2023-08-29,843.01,843.45,845.85,839.49,,0.00%
2023-08-28,842.98,837.29,843.34,836.65,,1.41%
2023-08-25,831.28,828.85,833.1,828.6,,-0.76%
2023-08-24,837.65,831.61,839.18,831.61,,0.65%
2023-08-23,832.25,824.56,832.68,823.95,,0.53%
2023-08-22,827.85,819.61,827.85,818.57,,0.89%
2023-08-21,820.57,821.36,826.0,820.03,,0.61%
2023-08-18,815.6,812.32,819.3,810.04,,-0.84%
2023-08-17,822.51,823.03,824.23,810.12,,0.01%
2023-08-16,822.39,827.09,829.52,821.08,,-1.68%
2023-08-15,836.47,836.01,838.4,832.88,,0.74%
2023-08-14,830.32,841.18,844.89,829.55,,-1.14%
2023-08-10,839.9,829.38,841.08,828.73,,1.36%
2023-08-09,828.65,831.27,831.27,824.61,,-0.73%
2023-08-08,834.78,835.59,839.14,832.44,,0.30%
2023-08-07,832.25,829.24,834.14,820.19,,-0.66%
2023-08-04,837.77,830.83,838.88,828.37,,0.49%
2023-08-03,833.7,835.45,838.26,832.14,,-1.11%
2023-08-02,843.03,847.92,852.09,840.89,,-1.45%
2023-08-01,855.45,852.78,855.85,848.11,,0.13%
2023-07-31,854.38,850.49,857.47,848.4,,2.00%
2023-07-28,837.6,829.9,839.38,825.65,,0.23%
2023-07-27,835.71,829.43,837.41,829.0,,0.90%
2023-07-26,828.23,831.74,832.19,825.58,,-0.34%
2023-07-25,831.08,828.27,831.98,827.98,,0.62%
2023-07-24,825.94,823.63,828.91,822.56,,1.02%
2023-07-21,817.64,818.89,820.4,814.49,,0.34%
2023-07-20,814.89,820.93,824.98,813.7,,-0.58%
2023-07-19,819.65,815.21,820.51,814.07,,1.47%
2023-07-18,807.78,806.86,813.33,805.2,,0.13%
2023-07-14,806.71,809.19,809.98,798.41,,0.84%
2023-07-13,800.0,798.98,802.68,791.98,,0.38%
2023-07-12,796.96,805.07,806.04,792.02,,-0.74%
2023-07-11,802.93,810.87,811.07,800.44,,-0.14%
2023-07-10,804.04,812.69,812.92,801.72,,-0.74%
2023-07-07,810.01,807.65,817.87,804.63,,-0.80%
2023-07-06,816.52,827.28,827.31,814.37,,-1.91%
2023-07-05,832.46,829.26,834.37,822.71,,-0.14%
2023-07-04,833.62,831.72,834.5,830.52,,-0.01%
2023-07-03,833.69,829.28,834.0,828.59,,1.14%
2023-06-30,824.3,829.4,831.02,821.19,,-0.70%
2023-06-29,830.12,839.86,839.86,826.42,,-0.47%
2023-06-28,834.04,819.24,834.04,818.14,,2.40%
2023-06-27,814.52,817.77,820.37,807.82,,-0.05%
2023-06-26,814.96,819.65,819.65,809.09,,-0.68%
2023-06-23,820.57,837.43,840.01,816.18,,-1.38%
2023-06-22,832.04,822.91,836.47,822.51,,2.45%
2023-06-21,812.18,802.26,812.96,800.57,,1.39%
2023-06-20,801.06,801.29,802.02,797.32,,-0.49%
2023-06-19,804.97,813.31,813.31,801.48,,-0.22%
2023-06-16,806.76,807.11,807.55,801.42,,-0.28%
2023-06-15,809.06,801.44,812.87,795.64,,1.23%
2023-06-14,799.21,793.47,801.82,791.82,,1.74%
2023-06-13,785.56,785.64,789.43,782.8,,0.51%
2023-06-12,781.56,782.65,787.57,780.98,,0.25%
2023-06-09,779.58,776.15,781.15,775.49,,1.03%
2023-06-08,771.62,777.55,780.99,767.92,,-0.75%
2023-06-07,777.42,791.3,793.52,777.42,,-1.25%
2023-06-06,787.28,774.67,787.73,771.24,,0.82%
2023-06-05,780.89,779.99,781.59,777.22,,1.50%
2023-06-02,769.35,761.89,769.35,761.52,,1.68%
2023-06-01,756.67,750.86,758.26,749.81,,0.57%
2023-05-31,752.37,751.94,752.37,744.34,,-0.41%
2023-05-30,755.46,757.07,758.0,749.75,,-0.45%
2023-05-29,758.89,763.96,766.3,757.82,,0.44%
2023-05-26,755.59,761.2,761.96,755.4,,-0.67%
2023-05-25,760.7,757.97,761.8,755.97,,0.00%
2023-05-24,760.67,761.28,764.09,758.07,,-0.57%
2023-05-23,765.05,772.38,772.46,760.35,,0.12%
2023-05-22,764.11,765.05,766.65,762.13,,-0.09%
2023-05-19,764.82,770.38,771.2,764.01,,-0.49%
2023-05-18,768.56,770.82,771.85,763.79,,0.80%
2023-05-17,762.46,760.03,763.3,758.17,,0.21%
2023-05-16,760.85,762.01,762.36,757.63,,0.69%
2023-05-15,755.67,742.15,755.67,740.49,,2.84%
