"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","2,472.94","2,485.74","2,499.85","2,465.43","","-1.76%"
"2023-10-18","2,517.16","2,522.30","2,523.32","2,492.06","","-0.35%"
"2023-10-17","2,526.06","2,510.21","2,544.27","2,510.21","","1.90%"
"2023-10-16","2,478.89","2,517.09","2,517.09","2,472.35","","-2.59%"
"2023-10-13","2,544.86","2,578.26","2,580.52","2,541.20","","-2.17%"
"2023-10-12","2,601.27","2,570.53","2,604.65","2,569.71","","1.32%"
"2023-10-11","2,567.41","2,587.79","2,592.37","2,564.83","","-0.77%"
"2023-10-10","2,587.26","2,573.34","2,596.69","2,564.35","","1.06%"
"2023-10-06","2,560.20","2,569.11","2,574.74","2,557.76","","-0.06%"
"2023-10-05","2,561.78","2,536.38","2,564.48","2,526.95","","1.38%"
"2023-10-04","2,526.87","2,511.94","2,544.03","2,511.94","","-0.51%"
"2023-10-03","2,539.76","2,572.31","2,581.03","2,536.17","","-1.19%"
"2023-10-02","2,570.34","2,598.23","2,617.17","2,570.34","","-0.47%"
"2023-09-29","2,582.38","2,600.42","2,603.46","2,572.39","","-0.10%"
"2023-09-28","2,584.99","2,607.72","2,607.72","2,569.04","","-1.77%"
"2023-09-27","2,631.59","2,615.61","2,631.59","2,606.55","","-0.08%"
"2023-09-26","2,633.72","2,652.45","2,655.00","2,633.72","","-0.65%"
"2023-09-25","2,650.87","2,645.98","2,654.56","2,628.64","","0.44%"
"2023-09-22","2,639.15","2,625.59","2,651.70","2,619.45","","-0.17%"
"2023-09-21","2,643.69","2,658.35","2,666.70","2,641.96","","-1.27%"
"2023-09-20","2,677.73","2,701.16","2,705.20","2,675.33","","-0.86%"
"2023-09-19","2,701.05","2,727.66","2,732.01","2,689.64","","-1.44%"
"2023-09-15","2,740.50","2,730.66","2,745.51","2,723.03","","0.90%"
"2023-09-14","2,715.96","2,704.16","2,721.63","2,696.60","","0.46%"
"2023-09-13","2,703.42","2,722.97","2,728.49","2,696.57","","-0.60%"
"2023-09-12","2,719.86","2,721.34","2,731.55","2,705.85","","0.68%"
"2023-09-11","2,701.37","2,726.00","2,734.26","2,689.48","","-0.81%"
"2023-09-08","2,723.42","2,743.86","2,754.97","2,715.12","","-0.90%"
"2023-09-07","2,748.24","2,754.17","2,764.61","2,744.42","","-0.74%"
"2023-09-06","2,768.62","2,765.12","2,770.21","2,756.55","","0.55%"
"2023-09-05","2,753.34","2,752.57","2,761.91","2,737.69","","-0.10%"
"2023-09-04","2,756.14","2,746.79","2,761.22","2,738.77","","0.49%"
"2023-09-01","2,742.66","2,708.57","2,748.29","2,708.57","","1.02%"
"2023-08-31","2,715.10","2,681.96","2,722.31","2,680.86","","1.66%"
"2023-08-30","2,670.78","2,680.67","2,689.48","2,665.65","","-0.21%"
"2023-08-29","2,676.42","2,662.93","2,683.22","2,662.93","","0.78%"
"2023-08-28","2,655.58","2,646.59","2,657.16","2,633.86","","1.26%"
"2023-08-25","2,622.66","2,601.25","2,634.53","2,597.74","","-0.11%"
"2023-08-24","2,625.55","2,620.56","2,631.64","2,611.91","","0.38%"
"2023-08-23","2,615.61","2,593.48","2,615.61","2,593.48","","0.51%"
"2023-08-22","2,602.22","2,599.83","2,612.42","2,594.67","","0.43%"
"2023-08-21","2,591.06","2,574.00","2,596.57","2,571.64","","0.81%"
"2023-08-18","2,570.19","2,568.46","2,582.17","2,560.90","","-1.07%"
"2023-08-17","2,598.02","2,608.23","2,608.23","2,574.26","","-1.01%"
"2023-08-16","2,624.42","2,637.50","2,641.15","2,622.25","","-1.38%"
"2023-08-15","2,661.12","2,666.34","2,666.53","2,643.51","","0.40%"
"2023-08-14","2,650.48","2,646.79","2,687.31","2,642.34","","0.10%"
"2023-08-10","2,647.81","2,628.58","2,648.93","2,612.25","","0.12%"
"2023-08-09","2,644.60","2,643.51","2,652.86","2,636.58","","-0.21%"
"2023-08-08","2,650.04","2,653.51","2,661.69","2,646.29","","0.18%"
"2023-08-07","2,645.38","2,610.47","2,646.12","2,607.25","","0.73%"
"2023-08-04","2,626.25","2,606.14","2,627.18","2,601.56","","0.49%"
"2023-08-03","2,613.47","2,630.42","2,634.92","2,608.62","","-1.51%"
"2023-08-02","2,653.62","2,673.40","2,677.29","2,643.67","","-1.66%"
"2023-08-01","2,698.52","2,704.84","2,705.18","2,684.96","","-0.17%"
"2023-07-31","2,703.09","2,714.97","2,728.86","2,695.27","","0.77%"
"2023-07-28","2,682.40","2,650.56","2,687.46","2,633.94","","-0.16%"
"2023-07-27","2,686.78","2,651.68","2,688.63","2,651.68","","1.14%"
"2023-07-26","2,656.54","2,647.05","2,658.51","2,627.80","","0.17%"
"2023-07-25","2,651.93","2,660.54","2,663.94","2,640.60","","-0.31%"
"2023-07-24","2,660.13","2,659.23","2,669.78","2,652.06","","0.92%"
"2023-07-21","2,636.00","2,639.09","2,646.79","2,626.12","","-0.38%"
"2023-07-20","2,646.07","2,664.37","2,668.33","2,644.02","","-1.05%"
"2023-07-19","2,674.03","2,667.12","2,675.80","2,662.57","","0.87%"
"2023-07-18","2,650.94","2,674.04","2,691.88","2,644.53","","-0.88%"
"2023-07-14","2,674.54","2,693.73","2,695.20","2,654.96","","0.23%"
"2023-07-13","2,668.52","2,616.40","2,669.49","2,609.77","","2.66%"
"2023-07-12","2,599.41","2,625.84","2,628.58","2,597.72","","-1.03%"
"2023-07-11","2,626.46","2,637.49","2,644.09","2,618.03","","0.27%"
"2023-07-10","2,619.40","2,623.53","2,634.14","2,612.73","","-0.31%"
