"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","474.17","466.40","474.96","465.08","","1.37%"
"2020-05-25","467.75","477.33","480.40","462.02","","-1.32%"
"2020-05-22","474.02","480.27","481.62","471.56","","-1.67%"
"2020-05-21","482.05","483.35","484.32","481.15","","-0.30%"
"2020-05-20","483.50","479.89","484.75","479.75","","-0.40%"
"2020-05-19","485.43","481.30","488.76","481.30","","2.20%"
"2020-05-18","474.99","470.98","475.44","467.87","","1.50%"
"2020-05-15","467.97","475.68","475.99","464.02","","-0.32%"
"2020-05-14","469.48","473.46","478.67","469.48","","-1.67%"
"2020-05-13","477.44","481.17","482.61","474.40","","-2.05%"
"2020-05-12","487.41","494.38","495.95","487.41","","-2.01%"
"2020-05-11","497.40","488.84","497.40","488.23","","2.26%"
"2020-05-08","486.40","475.65","486.66","475.65","","2.85%"
"2020-05-07","472.90","471.21","474.50","468.63","","0.41%"
"2020-05-01","470.99","474.23","476.43","469.83","","-1.79%"
"2020-04-30","479.58","490.23","492.87","479.53","","-0.69%"
"2020-04-28","482.90","486.24","486.24","479.35","","0.03%"
"2020-04-27","482.76","478.98","483.63","475.58","","1.82%"
"2020-04-24","474.13","479.99","480.41","470.57","","-1.28%"
"2020-04-23","480.30","469.15","480.30","467.98","","3.23%"
"2020-04-22","465.26","457.83","467.85","456.59","","1.22%"
"2020-04-21","459.64","461.62","463.19","457.32","","-1.78%"
"2020-04-20","467.99","471.09","473.56","466.00","","-0.86%"
"2020-04-17","472.06","476.36","479.64","469.63","","-0.59%"
"2020-04-16","474.87","467.86","475.47","467.86","","0.14%"
"2020-04-15","474.20","481.10","481.57","472.92","","-2.72%"
"2020-04-14","487.44","488.69","492.93","485.36","","0.10%"
"2020-04-13","486.94","489.45","493.39","486.32","","-0.71%"
"2020-04-10","490.41","480.77","491.72","479.52","","1.81%"
"2020-04-09","481.70","485.62","485.62","475.77","","-1.38%"
"2020-04-08","488.46","484.97","493.17","481.57","","1.72%"
"2020-04-07","480.20","481.48","484.12","471.92","","0.15%"
"2020-04-06","479.50","462.49","482.48","462.04","","3.37%"
"2020-04-03","463.89","462.96","479.91","460.51","","0.07%"
"2020-04-02","463.58","467.67","474.04","460.73","","-1.69%"
"2020-04-01","471.55","480.56","489.44","468.48","","-3.57%"
"2020-03-31","488.99","492.80","499.94","487.58","","-2.21%"
"2020-03-30","500.05","489.50","500.09","487.36","","-0.14%"
"2020-03-27","500.76","484.43","500.76","476.92","","4.59%"
"2020-03-26","478.79","459.64","484.02","456.04","","3.69%"
"2020-03-25","461.74","451.46","461.92","450.19","","3.39%"
"2020-03-24","446.59","453.73","454.46","432.07","","-0.77%"
"2020-03-23","450.07","443.51","456.03","440.44","","0.80%"
"2020-03-19","446.49","437.25","455.06","436.87","","3.28%"
"2020-03-18","432.30","431.44","446.33","430.25","","1.12%"
"2020-03-17","427.51","382.26","433.20","377.14","","10.73%"
"2020-03-16","386.09","394.45","401.59","385.50","","-0.36%"
"2020-03-13","387.49","392.21","403.65","372.16","","-3.20%"
"2020-03-12","400.29","411.92","415.13","396.64","","-4.39%"
"2020-03-11","418.66","420.18","428.49","418.66","","-1.22%"
