"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","1,653.52","1,644.50","1,668.01","1,642.36","","-0.47%"
"2023-10-18","1,661.41","1,673.95","1,675.50","1,650.30","","-0.23%"
"2023-10-17","1,665.24","1,668.55","1,680.30","1,657.58","","1.27%"
"2023-10-16","1,644.38","1,666.34","1,666.34","1,640.26","","-2.18%"
"2023-10-13","1,681.10","1,694.87","1,701.53","1,674.10","","-2.12%"
"2023-10-12","1,717.50","1,703.67","1,720.60","1,701.55","","1.70%"
"2023-10-11","1,688.76","1,708.81","1,708.81","1,682.00","","-0.58%"
"2023-10-10","1,698.56","1,685.50","1,705.88","1,683.28","","1.91%"
"2023-10-06","1,666.69","1,661.86","1,681.39","1,657.44","","0.92%"
"2023-10-05","1,651.45","1,602.96","1,652.76","1,602.96","","3.74%"
"2023-10-04","1,591.98","1,633.38","1,637.78","1,589.34","","-3.74%"
"2023-10-03","1,653.87","1,669.49","1,671.05","1,648.27","","-1.19%"
"2023-10-02","1,673.80","1,693.88","1,709.98","1,673.80","","-0.65%"
"2023-09-29","1,684.71","1,688.22","1,701.46","1,679.19","","-0.69%"
"2023-09-28","1,696.43","1,699.35","1,705.80","1,679.20","","-1.51%"
"2023-09-27","1,722.39","1,694.89","1,723.20","1,687.64","","1.07%"
"2023-09-26","1,704.12","1,718.20","1,718.20","1,701.04","","-0.95%"
"2023-09-25","1,720.42","1,717.62","1,728.32","1,714.63","","0.09%"
"2023-09-22","1,718.91","1,701.25","1,742.24","1,698.80","","-0.18%"
"2023-09-21","1,721.96","1,733.90","1,742.90","1,716.87","","-1.00%"
"2023-09-20","1,739.27","1,774.02","1,774.02","1,738.38","","-1.61%"
"2023-09-19","1,767.66","1,756.34","1,768.71","1,748.66","","0.22%"
"2023-09-15","1,763.84","1,751.68","1,781.14","1,748.07","","1.62%"
"2023-09-14","1,735.66","1,710.50","1,741.87","1,709.75","","2.01%"
"2023-09-13","1,701.44","1,708.77","1,712.30","1,696.34","","-0.64%"
"2023-09-12","1,712.33","1,702.47","1,714.73","1,679.91","","1.81%"
"2023-09-11","1,681.87","1,728.05","1,731.07","1,669.98","","-3.22%"
"2023-09-08","1,737.80","1,744.54","1,754.96","1,733.16","","-0.72%"
"2023-09-07","1,750.42","1,735.34","1,762.46","1,735.34","","0.94%"
"2023-09-06","1,734.15","1,734.59","1,735.41","1,728.58","","0.12%"
"2023-09-05","1,732.10","1,719.29","1,732.10","1,716.19","","1.13%"
"2023-09-04","1,712.68","1,679.75","1,712.68","1,679.08","","2.31%"
"2023-09-01","1,673.95","1,646.73","1,677.30","1,646.73","","1.42%"
"2023-08-31","1,650.58","1,646.12","1,656.15","1,645.39","","0.78%"
"2023-08-30","1,637.81","1,636.92","1,647.70","1,633.33","","-0.19%"
"2023-08-29","1,641.00","1,628.63","1,641.46","1,625.33","","1.32%"
"2023-08-28","1,619.58","1,604.22","1,620.43","1,599.00","","1.42%"
"2023-08-25","1,596.86","1,585.12","1,599.10","1,584.53","","0.05%"
"2023-08-24","1,596.01","1,583.55","1,599.50","1,583.02","","0.10%"
"2023-08-23","1,594.39","1,577.65","1,596.05","1,577.65","","0.84%"
"2023-08-22","1,581.16","1,573.54","1,581.16","1,564.42","","0.30%"
"2023-08-21","1,576.47","1,574.54","1,582.26","1,567.31","","0.97%"
"2023-08-18","1,561.40","1,561.48","1,572.42","1,555.48","","-0.77%"
"2023-08-17","1,573.46","1,577.04","1,577.82","1,559.03","","0.32%"
"2023-08-16","1,568.44","1,569.49","1,574.88","1,561.26","","-0.95%"
"2023-08-15","1,583.46","1,591.71","1,592.17","1,580.26","","-0.55%"
"2023-08-14","1,592.27","1,616.57","1,625.93","1,590.54","","-1.86%"
"2023-08-10","1,622.44","1,585.98","1,622.94","1,585.98","","2.07%"
"2023-08-09","1,589.54","1,585.79","1,591.83","1,575.51","","0.10%"
"2023-08-08","1,587.92","1,569.52","1,588.73","1,569.52","","1.55%"
"2023-08-07","1,563.63","1,540.44","1,563.84","1,539.01","","1.75%"
"2023-08-04","1,536.67","1,534.97","1,538.67","1,527.02","","-0.24%"
"2023-08-03","1,540.44","1,546.66","1,550.84","1,537.73","","-0.92%"
"2023-08-02","1,554.82","1,572.70","1,574.97","1,551.07","","-2.07%"
"2023-08-01","1,587.71","1,582.35","1,588.72","1,576.87","","0.35%"
"2023-07-31","1,582.11","1,573.96","1,584.96","1,573.92","","1.63%"
"2023-07-28","1,556.81","1,551.77","1,565.59","1,527.37","","-1.30%"
"2023-07-27","1,577.37","1,565.85","1,579.80","1,563.12","","1.01%"
