"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","1,249.37","1,221.09","1,254.89","1,221.09","","3.61%"
"2020-05-25","1,205.87","1,181.14","1,205.87","1,180.53","","3.76%"
"2020-05-22","1,162.21","1,181.15","1,185.41","1,157.77","","-1.27%"
"2020-05-21","1,177.21","1,186.43","1,190.55","1,176.91","","-0.45%"
"2020-05-20","1,182.48","1,163.19","1,186.62","1,158.90","","1.02%"
"2020-05-19","1,170.50","1,171.80","1,197.45","1,167.65","","1.96%"
"2020-05-18","1,148.05","1,131.05","1,155.02","1,123.81","","1.43%"
"2020-05-15","1,131.89","1,163.81","1,164.14","1,127.19","","-2.74%"
"2020-05-14","1,163.83","1,173.00","1,180.84","1,160.84","","-1.60%"
"2020-05-13","1,182.72","1,179.46","1,187.49","1,166.40","","-0.37%"
"2020-05-12","1,187.14","1,201.74","1,202.58","1,184.45","","-2.38%"
"2020-05-11","1,216.03","1,185.72","1,225.49","1,181.30","","3.48%"
"2020-05-08","1,175.08","1,157.71","1,177.19","1,152.13","","3.19%"
"2020-05-07","1,138.72","1,160.37","1,164.27","1,133.26","","-1.30%"
"2020-05-01","1,153.67","1,183.65","1,192.43","1,149.66","","-3.33%"
"2020-04-30","1,193.39","1,175.54","1,196.23","1,171.78","","3.65%"
"2020-04-28","1,151.35","1,161.91","1,165.66","1,140.85","","-0.61%"
"2020-04-27","1,158.38","1,131.40","1,159.97","1,125.52","","3.11%"
"2020-04-24","1,123.40","1,126.38","1,127.00","1,112.71","","-0.99%"
"2020-04-23","1,134.63","1,116.75","1,134.63","1,113.07","","2.51%"
"2020-04-22","1,106.86","1,104.35","1,116.81","1,096.70","","-0.81%"
"2020-04-21","1,115.88","1,120.07","1,123.42","1,105.95","","-1.51%"
"2020-04-20","1,133.04","1,119.09","1,134.26","1,110.95","","0.21%"
"2020-04-17","1,130.70","1,120.06","1,137.05","1,114.60","","1.81%"
"2020-04-16","1,110.58","1,107.75","1,117.34","1,090.35","","-1.53%"
"2020-04-15","1,127.80","1,131.39","1,135.78","1,117.22","","-1.69%"
"2020-04-14","1,147.13","1,125.45","1,150.07","1,112.62","","2.02%"
"2020-04-13","1,124.45","1,129.88","1,155.51","1,123.10","","-1.50%"
"2020-04-10","1,141.62","1,120.33","1,143.65","1,104.40","","1.77%"
"2020-04-09","1,121.81","1,131.96","1,138.57","1,104.50","","-1.07%"
"2020-04-08","1,133.95","1,122.14","1,143.84","1,082.42","","0.86%"
"2020-04-07","1,124.28","1,125.74","1,142.52","1,093.83","","2.53%"
"2020-04-06","1,096.54","1,044.76","1,107.69","1,036.99","","5.00%"
"2020-04-03","1,044.36","1,058.57","1,059.83","1,036.56","","-0.91%"
"2020-04-02","1,053.94","1,069.21","1,073.01","1,050.57","","-2.73%"
"2020-04-01","1,083.49","1,106.01","1,113.20","1,071.44","","-2.99%"
"2020-03-31","1,116.85","1,140.47","1,141.41","1,108.96","","-1.93%"
"2020-03-30","1,138.83","1,131.49","1,138.83","1,097.15","","-1.78%"
"2020-03-27","1,159.45","1,144.16","1,179.11","1,127.28","","3.50%"
"2020-03-26","1,120.21","1,163.08","1,163.08","1,111.71","","-5.34%"
"2020-03-25","1,183.44","1,086.31","1,183.69","1,085.75","","11.34%"
"2020-03-24","1,062.90","1,006.18","1,066.19","1,005.26","","7.87%"
"2020-03-23","985.39","971.19","994.60","951.75","","1.20%"
