"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","3,374.18","3,418.62","3,435.43","3,373.35","","-2.55%"
"2023-10-18","3,462.34","3,495.24","3,495.24","3,434.05","","-1.29%"
"2023-10-17","3,507.68","3,507.43","3,524.15","3,494.39","","0.26%"
"2023-10-16","3,498.42","3,531.64","3,531.64","3,486.34","","-1.54%"
"2023-10-13","3,552.97","3,582.62","3,585.94","3,544.55","","-1.82%"
"2023-10-12","3,618.84","3,592.85","3,623.81","3,592.85","","1.77%"
"2023-10-11","3,555.93","3,568.51","3,576.63","3,537.02","","-0.30%"
"2023-10-10","3,566.53","3,529.34","3,576.85","3,525.28","","1.74%"
"2023-10-06","3,505.51","3,515.25","3,528.49","3,498.05","","0.25%"
"2023-10-05","3,496.90","3,447.00","3,496.90","3,419.75","","1.15%"
"2023-10-04","3,457.00","3,478.04","3,489.04","3,454.39","","-2.16%"
"2023-10-03","3,533.47","3,585.94","3,587.31","3,521.34","","-1.21%"
"2023-10-02","3,576.88","3,632.81","3,658.86","3,576.28","","-1.28%"
"2023-09-29","3,623.23","3,647.03","3,647.03","3,602.04","","-0.79%"
"2023-09-28","3,651.98","3,634.34","3,683.39","3,625.59","","-0.96%"
"2023-09-27","3,687.37","3,623.01","3,687.37","3,613.35","","1.72%"
"2023-09-26","3,625.04","3,658.83","3,660.17","3,621.74","","-1.35%"
"2023-09-25","3,674.48","3,612.58","3,680.38","3,611.75","","2.69%"
"2023-09-22","3,578.12","3,578.84","3,593.84","3,563.11","","-0.81%"
"2023-09-21","3,607.28","3,651.19","3,651.19","3,606.60","","-1.77%"
"2023-09-20","3,672.38","3,699.97","3,705.82","3,668.42","","-0.91%"
"2023-09-19","3,706.28","3,719.94","3,740.45","3,687.17","","-0.80%"
"2023-09-15","3,736.05","3,708.10","3,748.21","3,698.72","","0.87%"
"2023-09-14","3,703.88","3,695.04","3,715.73","3,673.24","","0.71%"
"2023-09-13","3,677.94","3,691.87","3,695.82","3,665.04","","-0.32%"
"2023-09-12","3,689.90","3,639.92","3,693.39","3,638.88","","1.63%"
"2023-09-11","3,630.82","3,634.10","3,637.01","3,599.97","","0.00%"
"2023-09-08","3,630.93","3,627.05","3,648.96","3,617.41","","-0.11%"
"2023-09-07","3,634.80","3,648.78","3,649.76","3,628.29","","-0.67%"
"2023-09-06","3,659.48","3,665.89","3,672.48","3,650.31","","-0.21%"
"2023-09-05","3,667.00","3,662.26","3,667.00","3,641.77","","-0.18%"
"2023-09-04","3,673.63","3,669.67","3,673.63","3,657.28","","0.29%"
"2023-09-01","3,663.11","3,654.29","3,681.44","3,648.56","","-0.21%"
"2023-08-31","3,670.82","3,641.86","3,681.76","3,640.65","","0.75%"
"2023-08-30","3,643.32","3,641.44","3,668.48","3,637.47","","0.00%"
"2023-08-29","3,643.14","3,658.62","3,669.20","3,639.73","","-0.03%"
"2023-08-28","3,644.14","3,639.65","3,647.82","3,627.34","","1.08%"
"2023-08-25","3,605.23","3,599.93","3,623.44","3,598.88","","-0.57%"
"2023-08-24","3,625.72","3,617.66","3,632.48","3,604.57","","0.27%"
"2023-08-23","3,616.11","3,593.52","3,620.08","3,588.22","","0.49%"
"2023-08-22","3,598.39","3,608.04","3,616.69","3,586.76","","0.00%"
"2023-08-21","3,598.40","3,597.19","3,616.06","3,582.47","","0.58%"
"2023-08-18","3,577.52","3,579.91","3,594.36","3,561.46","","-1.15%"
"2023-08-17","3,619.17","3,621.42","3,626.44","3,598.74","","-0.40%"
"2023-08-16","3,633.66","3,653.47","3,653.47","3,625.24","","-0.74%"
"2023-08-15","3,660.77","3,654.14","3,664.57","3,634.53","","0.28%"
"2023-08-14","3,650.40","3,693.66","3,697.90","3,647.08","","-0.35%"
"2023-08-10","3,663.37","3,606.98","3,666.03","3,602.22","","1.53%"
"2023-08-09","3,608.31","3,584.53","3,615.15","3,576.91","","1.25%"
"2023-08-08","3,563.92","3,561.93","3,570.96","3,542.12","","0.30%"
"2023-08-07","3,553.39","3,480.77","3,556.35","3,479.81","","2.32%"
"2023-08-04","3,472.96","3,470.65","3,480.23","3,457.26","","-0.64%"
"2023-08-03","3,495.38","3,528.66","3,529.49","3,479.59","","-1.21%"
"2023-08-02","3,538.36","3,556.05","3,564.30","3,526.32","","-1.72%"
"2023-08-01","3,600.29","3,560.83","3,600.29","3,537.85","","2.09%"
"2023-07-31","3,526.74","3,515.18","3,568.89","3,506.28","","1.41%"
"2023-07-28","3,477.83","3,474.26","3,486.72","3,421.61","","-0.87%"
"2023-07-27","3,508.29","3,483.30","3,508.63","3,470.46","","0.59%"
"2023-07-26","3,487.85","3,488.34","3,497.84","3,471.07","","0.46%"
"2023-07-25","3,472.04","3,489.54","3,496.33","3,455.91","","-0.53%"
"2023-07-24","3,490.54","3,494.41","3,496.86","3,474.28","","1.10%"
"2023-07-21","3,452.43","3,431.38","3,464.13","3,426.17","","1.19%"
"2023-07-20","3,411.96","3,428.00","3,437.58","3,409.45","","-0.64%"
"2023-07-19","3,433.93","3,408.89","3,433.93","3,405.62","","1.59%"
"2023-07-18","3,380.14","3,369.95","3,409.97","3,367.36","","0.23%"
"2023-07-14","3,372.32","3,396.66","3,403.49","3,359.12","","-0.31%"
"2023-07-13","3,382.76","3,337.01","3,390.78","3,329.89","","1.56%"
"2023-07-12","3,330.94","3,371.67","3,381.99","3,325.96","","-1.59%"
"2023-07-11","3,384.60","3,433.99","3,436.61","3,383.24","","-1.15%"
"2023-07-10","3,424.13","3,453.41","3,471.10","3,417.13","","-1.34%"
"2023-07-07","3,470.69","3,491.56","3,493.17","3,453.03","","-0.88%"
"2023-07-06","3,501.41","3,527.67","3,533.34","3,495.26","","-1.24%"
