"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","3,339.61","3,302.04","3,346.90","3,299.62","","1.87%"
"2020-05-25","3,278.30","3,247.73","3,278.30","3,242.52","","2.04%"
"2020-05-22","3,212.85","3,245.07","3,256.77","3,210.94","","-0.92%"
"2020-05-21","3,242.83","3,228.95","3,260.43","3,228.95","","0.10%"
"2020-05-20","3,239.66","3,195.74","3,253.92","3,195.74","","1.27%"
"2020-05-19","3,198.91","3,215.61","3,227.13","3,187.89","","0.59%"
"2020-05-18","3,180.03","3,175.61","3,195.45","3,174.23","","0.68%"
"2020-05-15","3,158.56","3,173.17","3,173.17","3,133.19","","-0.60%"
"2020-05-14","3,177.61","3,161.22","3,215.04","3,161.22","","1.16%"
"2020-05-13","3,141.08","3,102.63","3,142.85","3,097.46","","1.64%"
"2020-05-12","3,090.36","3,099.21","3,115.02","3,083.66","","0.80%"
"2020-05-11","3,065.89","3,104.67","3,113.94","3,063.47","","-0.83%"
"2020-05-08","3,091.68","3,095.60","3,102.24","3,069.51","","1.07%"
"2020-05-07","3,059.02","3,028.87","3,069.59","3,025.02","","0.68%"
"2020-05-01","3,038.35","3,063.10","3,086.90","3,026.02","","-1.24%"
"2020-04-30","3,076.61","3,150.42","3,150.42","3,074.18","","-0.86%"
"2020-04-28","3,103.26","3,099.96","3,105.80","3,069.60","","0.04%"
"2020-04-27","3,102.17","3,086.29","3,127.35","3,079.21","","1.22%"
"2020-04-24","3,064.79","3,049.27","3,080.72","3,042.10","","0.97%"
"2020-04-23","3,035.39","3,052.55","3,052.55","3,018.66","","-0.10%"
"2020-04-22","3,038.36","3,009.86","3,038.36","2,985.60","","0.60%"
"2020-04-21","3,020.22","3,030.02","3,045.08","3,012.31","","-0.17%"
"2020-04-20","3,025.48","3,044.18","3,051.14","3,023.31","","-1.18%"
"2020-04-17","3,061.68","3,066.38","3,073.98","3,030.16","","1.16%"
"2020-04-16","3,026.56","3,041.90","3,057.38","3,020.28","","-1.61%"
"2020-04-15","3,076.10","3,032.51","3,076.10","3,032.31","","0.89%"
"2020-04-14","3,048.89","3,008.45","3,053.41","2,997.93","","1.52%"
"2020-04-13","3,003.12","3,005.27","3,056.45","2,998.49","","-0.43%"
"2020-04-10","3,016.00","2,982.04","3,016.00","2,958.19","","1.55%"
"2020-04-09","2,969.93","2,984.73","2,988.29","2,929.57","","-0.76%"
"2020-04-08","2,992.59","2,927.64","3,006.46","2,913.47","","2.80%"
"2020-04-07","2,911.06","2,914.00","2,945.59","2,864.42","","1.17%"
"2020-04-06","2,877.36","2,804.22","2,884.26","2,799.46","","4.12%"
"2020-04-03","2,763.50","2,780.64","2,811.48","2,728.85","","0.59%"
"2020-04-02","2,747.20","2,779.55","2,794.76","2,740.08","","-1.63%"
