"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","1,538.87","1,532.30","1,544.61","1,530.87","","-0.33%"
"2023-10-18","1,543.95","1,540.10","1,545.22","1,524.33","","0.33%"
"2023-10-17","1,538.92","1,542.24","1,546.40","1,533.26","","0.82%"
"2023-10-16","1,526.38","1,547.81","1,548.89","1,523.21","","-1.68%"
"2023-10-13","1,552.41","1,564.97","1,568.67","1,550.29","","-1.40%"
"2023-10-12","1,574.46","1,573.48","1,579.73","1,568.72","","0.22%"
"2023-10-11","1,571.01","1,584.87","1,586.63","1,569.71","","-0.59%"
"2023-10-10","1,580.32","1,567.12","1,581.92","1,562.53","","1.27%"
"2023-10-06","1,560.51","1,557.65","1,567.61","1,554.96","","0.46%"
"2023-10-05","1,553.32","1,532.11","1,553.32","1,530.32","","1.54%"
"2023-10-04","1,529.76","1,526.30","1,539.14","1,524.23","","-0.92%"
"2023-10-03","1,543.96","1,552.00","1,555.29","1,540.83","","-0.70%"
"2023-10-02","1,554.87","1,580.29","1,587.61","1,554.87","","-1.35%"
"2023-09-29","1,576.08","1,590.87","1,595.90","1,569.88","","-0.52%"
"2023-09-28","1,584.25","1,592.20","1,594.15","1,574.64","","-1.19%"
"2023-09-27","1,603.36","1,595.35","1,603.36","1,585.11","","-0.05%"
"2023-09-26","1,604.19","1,609.27","1,610.75","1,603.90","","-0.26%"
"2023-09-25","1,608.31","1,587.14","1,608.70","1,587.13","","1.51%"
"2023-09-22","1,584.37","1,584.61","1,591.64","1,581.15","","-0.70%"
"2023-09-21","1,595.52","1,603.87","1,610.55","1,593.62","","-0.91%"
"2023-09-20","1,610.19","1,621.14","1,621.25","1,609.95","","-0.51%"
"2023-09-19","1,618.37","1,625.04","1,625.52","1,609.77","","-0.94%"
"2023-09-15","1,633.66","1,642.93","1,646.19","1,633.66","","-0.55%"
"2023-09-14","1,642.70","1,639.27","1,644.86","1,629.60","","0.50%"
"2023-09-13","1,634.50","1,628.36","1,638.93","1,625.87","","0.56%"
"2023-09-12","1,625.34","1,619.32","1,627.31","1,618.33","","0.73%"
"2023-09-11","1,613.54","1,626.63","1,628.98","1,605.86","","-0.38%"
"2023-09-08","1,619.65","1,632.87","1,632.87","1,615.91","","-0.94%"
"2023-09-07","1,634.99","1,628.38","1,641.50","1,628.04","","0.16%"
"2023-09-06","1,632.35","1,630.37","1,632.69","1,625.57","","0.13%"
"2023-09-05","1,630.30","1,624.07","1,630.63","1,622.27","","0.31%"
"2023-09-04","1,625.20","1,614.34","1,625.20","1,611.97","","0.69%"
"2023-09-01","1,614.08","1,603.60","1,614.70","1,600.17","","0.42%"
"2023-08-31","1,607.36","1,596.66","1,609.11","1,596.07","","0.75%"
"2023-08-30","1,595.44","1,598.84","1,604.18","1,594.42","","-0.75%"
"2023-08-29","1,607.54","1,600.00","1,609.59","1,598.85","","0.88%"
"2023-08-28","1,593.46","1,600.54","1,600.74","1,581.84","","-0.13%"
"2023-08-25","1,595.54","1,595.57","1,601.97","1,591.63","","-0.92%"
"2023-08-24","1,610.32","1,603.51","1,611.69","1,601.13","","0.53%"
"2023-08-23","1,601.77","1,585.23","1,602.05","1,584.91","","0.72%"
"2023-08-22","1,590.30","1,584.55","1,590.84","1,580.53","","0.38%"
"2023-08-21","1,584.29","1,573.56","1,589.96","1,572.67","","0.94%"
"2023-08-18","1,569.56","1,577.23","1,579.95","1,563.65","","-1.66%"
"2023-08-17","1,596.00","1,612.53","1,612.69","1,588.80","","-0.98%"
"2023-08-16","1,611.86","1,618.40","1,620.47","1,607.83","","-0.95%"
"2023-08-15","1,627.24","1,625.72","1,634.86","1,616.23","","0.22%"
"2023-08-14","1,623.61","1,620.56","1,636.77","1,620.56","","0.75%"
"2023-08-10","1,611.46","1,592.78","1,612.10","1,592.56","","1.25%"
"2023-08-09","1,591.49","1,587.69","1,602.56","1,582.06","","0.09%"
"2023-08-08","1,590.09","1,585.58","1,591.54","1,583.96","","0.83%"
"2023-08-07","1,577.06","1,556.73","1,577.71","1,556.20","","0.77%"
"2023-08-04","1,565.07","1,552.44","1,567.17","1,552.44","","0.69%"
"2023-08-03","1,554.35","1,561.50","1,563.98","1,552.00","","-0.99%"
"2023-08-02","1,569.90","1,594.11","1,596.02","1,566.30","","-2.08%"
"2023-08-01","1,603.32","1,594.36","1,603.47","1,590.86","","0.77%"
"2023-07-31","1,591.02","1,590.16","1,597.44","1,585.05","","0.97%"
"2023-07-28","1,575.66","1,557.74","1,577.43","1,553.82","","0.07%"
"2023-07-27","1,574.62","1,560.48","1,575.18","1,560.48","","0.93%"
"2023-07-26","1,560.06","1,555.00","1,560.97","1,548.31","","0.23%"
"2023-07-25","1,556.48","1,563.40","1,563.41","1,552.65","","-0.29%"
"2023-07-24","1,561.01","1,562.15","1,563.68","1,558.03","","0.68%"
"2023-07-21","1,550.44","1,545.27","1,552.32","1,538.51","","0.35%"
"2023-07-20","1,544.97","1,550.65","1,556.56","1,544.97","","-0.47%"
"2023-07-19","1,552.20","1,549.45","1,552.28","1,545.25","","0.69%"
"2023-07-18","1,541.52","1,542.71","1,549.79","1,539.79","","0.16%"
"2023-07-14","1,539.07","1,566.09","1,566.09","1,532.79","","-1.57%"
"2023-07-13","1,563.61","1,571.15","1,572.23","1,556.17","","0.07%"
"2023-07-12","1,562.50","1,559.56","1,567.51","1,556.22","","1.01%"
