"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","5,139.56","5,117.50","5,166.41","5,115.56","","-0.44%"
"2023-10-18","5,162.05","5,169.76","5,170.90","5,129.16","","-0.30%"
"2023-10-17","5,177.67","5,158.06","5,191.57","5,158.06","","1.22%"
"2023-10-16","5,115.32","5,168.89","5,168.89","5,103.61","","-2.05%"
"2023-10-13","5,222.16","5,236.76","5,246.48","5,210.18","","-1.05%"
"2023-10-12","5,277.65","5,261.67","5,278.61","5,247.15","","0.44%"
"2023-10-11","5,254.77","5,259.45","5,273.16","5,240.51","","-0.09%"
"2023-10-10","5,259.74","5,201.29","5,269.93","5,194.06","","1.82%"
"2023-10-06","5,165.82","5,180.64","5,191.33","5,163.29","","-0.23%"
"2023-10-05","5,177.72","5,146.46","5,186.90","5,140.03","","1.29%"
"2023-10-04","5,111.56","5,129.06","5,149.63","5,104.32","","-1.45%"
"2023-10-03","5,186.89","5,208.30","5,212.94","5,170.75","","-0.56%"
"2023-10-02","5,215.99","5,289.69","5,318.20","5,215.99","","-1.09%"
"2023-09-29","5,273.54","5,308.85","5,314.51","5,253.79","","-0.41%"
"2023-09-28","5,295.22","5,342.99","5,346.43","5,269.87","","-1.94%"
"2023-09-27","5,399.81","5,333.76","5,399.81","5,326.07","","0.77%"
"2023-09-26","5,358.50","5,385.77","5,385.77","5,358.50","","-0.78%"
"2023-09-25","5,400.50","5,356.57","5,410.17","5,356.57","","1.11%"
"2023-09-22","5,341.28","5,302.42","5,355.85","5,296.36","","-0.01%"
"2023-09-21","5,341.58","5,381.80","5,391.95","5,339.74","","-1.23%"
"2023-09-20","5,407.98","5,432.17","5,441.86","5,405.85","","-0.77%"
"2023-09-19","5,449.76","5,438.52","5,461.04","5,421.62","","-0.49%"
"2023-09-15","5,476.68","5,430.73","5,492.73","5,430.73","","1.36%"
"2023-09-14","5,403.17","5,402.14","5,418.19","5,376.10","","0.52%"
"2023-09-13","5,375.17","5,388.07","5,415.58","5,372.64","","-0.48%"
"2023-09-12","5,401.02","5,365.40","5,402.27","5,365.40","","1.22%"
"2023-09-11","5,335.81","5,349.08","5,357.88","5,307.33","","0.22%"
"2023-09-08","5,323.92","5,351.91","5,366.38","5,315.26","","-0.67%"
"2023-09-07","5,359.67","5,341.16","5,375.15","5,334.31","","0.31%"
"2023-09-06","5,343.12","5,321.32","5,345.83","5,320.02","","0.59%"
"2023-09-05","5,311.56","5,310.66","5,328.15","5,296.26","","-0.15%"
"2023-09-04","5,319.57","5,312.43","5,323.23","5,301.37","","0.04%"
"2023-09-01","5,317.42","5,287.85","5,329.61","5,287.11","","0.27%"
"2023-08-31","5,303.25","5,277.21","5,312.93","5,269.74","","0.64%"
"2023-08-30","5,269.75","5,274.44","5,291.91","5,261.87","","0.26%"
"2023-08-29","5,256.16","5,253.26","5,270.36","5,245.40","","0.33%"
"2023-08-28","5,239.08","5,248.26","5,254.06","5,228.18","","0.65%"
"2023-08-25","5,205.26","5,191.25","5,211.50","5,175.57","","-0.79%"
"2023-08-24","5,246.51","5,214.53","5,252.26","5,212.04","","0.90%"
