"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","3,890.78","3,863.59","3,898.65","3,862.38","","1.12%"
"2020-05-25","3,847.77","3,840.93","3,847.77","3,825.71","","1.15%"
"2020-05-22","3,803.95","3,805.58","3,839.98","3,798.69","","0.07%"
"2020-05-21","3,801.44","3,840.80","3,848.71","3,793.32","","-0.94%"
"2020-05-20","3,837.43","3,807.95","3,846.58","3,805.07","","0.65%"
"2020-05-19","3,812.66","3,854.17","3,867.28","3,806.93","","-0.59%"
"2020-05-18","3,835.46","3,814.20","3,850.49","3,814.20","","1.55%"
"2020-05-15","3,777.05","3,780.18","3,796.52","3,750.22","","0.50%"
"2020-05-14","3,758.40","3,783.70","3,805.21","3,756.75","","-1.48%"
"2020-05-13","3,814.86","3,798.33","3,824.91","3,783.63","","-0.14%"
"2020-05-12","3,820.12","3,813.06","3,832.18","3,809.05","","0.73%"
"2020-05-11","3,792.44","3,810.81","3,817.98","3,790.92","","-0.21%"
"2020-05-08","3,800.32","3,778.03","3,800.32","3,761.54","","1.91%"
"2020-05-07","3,729.05","3,699.76","3,731.50","3,694.26","","-0.15%"
"2020-05-01","3,734.73","3,739.90","3,769.31","3,725.08","","-0.48%"
"2020-04-30","3,752.91","3,827.38","3,829.07","3,752.91","","-1.33%"
"2020-04-28","3,803.34","3,764.50","3,807.41","3,755.19","","0.66%"
"2020-04-27","3,778.33","3,746.77","3,785.24","3,746.77","","1.22%"
"2020-04-24","3,732.87","3,704.11","3,736.54","3,695.53","","-0.04%"
"2020-04-23","3,734.54","3,726.25","3,739.03","3,713.07","","0.81%"
"2020-04-22","3,704.69","3,729.68","3,732.95","3,680.29","","-0.63%"
"2020-04-21","3,728.21","3,755.84","3,774.73","3,727.90","","-1.08%"
"2020-04-20","3,768.78","3,758.42","3,797.50","3,758.42","","-0.56%"
"2020-04-17","3,789.85","3,770.34","3,817.08","3,766.44","","1.07%"
"2020-04-16","3,749.75","3,686.28","3,762.70","3,683.31","","1.02%"
"2020-04-15","3,711.96","3,690.29","3,735.03","3,678.09","","0.37%"
"2020-04-14","3,698.15","3,637.85","3,706.20","3,620.63","","1.71%"
"2020-04-13","3,636.13","3,648.40","3,668.67","3,632.76","","-0.93%"
"2020-04-10","3,670.44","3,618.79","3,675.41","3,593.10","","1.02%"
"2020-04-09","3,633.28","3,645.61","3,650.23","3,598.25","","-1.11%"
"2020-04-08","3,673.92","3,652.60","3,692.41","3,609.97","","0.69%"
"2020-04-07","3,648.78","3,644.87","3,689.75","3,600.84","","1.03%"
"2020-04-06","3,611.73","3,448.59","3,629.61","3,447.98","","5.70%"
"2020-04-03","3,416.96","3,449.47","3,489.05","3,383.89","","-0.14%"
"2020-04-02","3,421.90","3,431.87","3,480.35","3,421.90","","-0.41%"
"2020-04-01","3,436.16","3,540.04","3,557.78","3,409.02","","-3.71%"
"2020-03-31","3,568.59","3,600.20","3,634.88","3,553.16","","-1.41%"
"2020-03-30","3,619.61","3,585.18","3,619.61","3,515.58","","-1.62%"
"2020-03-27","3,679.29","3,589.13","3,679.29","3,586.76","","4.12%"
"2020-03-26","3,533.55","3,522.74","3,566.71","3,463.49","","-0.97%"
"2020-03-25","3,568.34","3,416.94","3,573.11","3,416.77","","5.35%"
"2020-03-24","3,387.17","3,288.09","3,426.64","3,277.96","","3.40%"
"2020-03-23","3,275.94","3,162.78","3,292.98","3,130.83","","2.33%"
"2020-03-19","3,201.47","3,202.78","3,279.82","3,158.53","","0.92%"
"2020-03-18","3,172.17","3,264.49","3,295.15","3,169.73","","-2.38%"
"2020-03-17","3,249.60","3,165.54","3,293.38","3,127.77","","1.41%"
"2020-03-16","3,204.34","3,255.23","3,332.45","3,190.00","","-1.41%"
"2020-03-13","3,250.26","3,323.25","3,354.89","3,075.83","","-4.20%"
"2020-03-12","3,392.78","3,437.22","3,438.44","3,305.21","","-2.84%"
"2020-03-11","3,491.84","3,537.67","3,552.60","3,486.90","","-2.39%"
"2020-03-10","3,577.48","3,522.84","3,598.18","3,429.68","","0.49%"
"2020-03-09","3,560.04","3,637.56","3,637.72","3,516.89","","-3.98%"
"2020-03-06","3,707.63","3,753.61","3,768.07","3,684.67","","-2.68%"
"2020-03-05","3,809.65","3,804.43","3,814.97","3,785.08","","1.45%"
"2020-03-04","3,755.26","3,690.16","3,775.34","3,681.95","","1.07%"
"2020-03-03","3,715.44","3,794.89","3,812.20","3,715.44","","-0.88%"
"2020-03-02","3,748.34","3,663.14","3,790.16","3,663.14","","1.14%"
"2020-02-28","3,706.04","3,813.44","3,814.20","3,687.76","","-4.76%"
"2020-02-27","3,891.45","3,963.73","3,967.94","3,865.42","","-2.29%"
"2020-02-26","3,982.71","3,977.64","3,989.04","3,940.62","","-0.84%"
"2020-02-25","4,016.38","4,043.39","4,044.68","3,972.73","","-2.62%"
"2020-02-21","4,124.40","4,099.49","4,135.29","4,098.44","","1.06%"
"2020-02-20","4,081.09","4,096.09","4,124.12","4,075.62","","0.46%"
"2020-02-19","4,062.32","4,049.07","4,074.94","4,048.28","","0.64%"
"2020-02-18","4,036.30","4,084.91","4,090.13","4,027.91","","-1.71%"
"2020-02-17","4,106.68","4,097.22","4,115.28","4,073.23","","-0.56%"
"2020-02-14","4,129.75","4,129.57","4,150.04","4,114.79","","0.15%"
"2020-02-13","4,123.50","4,159.94","4,176.39","4,117.30","","-1.22%"
"2020-02-12","4,174.56","4,104.40","4,187.81","4,102.11","","2.25%"
"2020-02-10","4,082.68","4,071.84","4,095.08","4,063.30","","-0.10%"
"2020-02-07","4,086.95","4,066.67","4,117.78","4,063.05","","1.40%"
"2020-02-06","4,030.46","4,009.52","4,040.68","3,996.59","","1.54%"
"2020-02-05","3,969.41","3,955.67","3,974.92","3,947.43","","1.43%"
"2020-02-04","3,913.54","3,897.44","3,930.41","3,886.75","","0.22%"
"2020-02-03","3,905.00","3,876.48","3,914.36","3,865.22","","-0.17%"
"2020-01-31","3,911.73","3,922.77","3,947.99","3,911.23","","0.31%"
"2020-01-30","3,899.63","3,940.12","3,942.01","3,877.32","","-1.24%"
"2020-01-29","3,948.70","3,951.06","3,954.57","3,929.63","","0.38%"
"2020-01-28","3,933.71","3,915.40","3,939.04","3,911.85","","-0.18%"
"2020-01-27","3,940.99","3,947.75","3,959.15","3,932.92","","-1.58%"
"2020-01-24","4,004.15","4,014.61","4,017.72","3,998.98","","-0.13%"
"2020-01-23","4,009.47","4,024.10","4,028.42","4,005.94","","-0.70%"
"2020-01-22","4,037.72","4,024.16","4,038.47","4,022.57","","0.40%"
"2020-01-21","4,021.66","4,037.45","4,047.62","4,015.79","","-0.42%"
"2020-01-20","4,038.67","4,028.72","4,044.27","4,026.76","","0.61%"
"2020-01-17","4,014.38","4,042.97","4,044.47","4,009.47","","-0.16%"
"2020-01-16","4,020.87","4,033.01","4,036.65","4,014.26","","-0.21%"
"2020-01-15","4,029.26","4,047.40","4,049.36","4,024.76","","-0.70%"
"2020-01-14","4,057.53","4,045.73","4,057.53","4,042.93","","0.81%"
"2020-01-10","4,024.86","4,013.35","4,025.94","4,002.45","","0.56%"
"2020-01-09","4,002.44","3,944.51","4,006.51","3,944.29","","2.43%"
"2020-01-08","3,907.63","3,917.82","3,928.02","3,871.74","","-1.13%"
"2020-01-07","3,952.31","3,914.43","3,955.15","3,914.43","","1.42%"
