"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","1,429.95","1,430.70","1,441.31","1,420.89","","-1.26%"
"2023-10-18","1,448.23","1,465.37","1,473.18","1,421.64","","-0.49%"
"2023-10-17","1,455.40","1,472.87","1,474.19","1,450.93","","0.27%"
"2023-10-16","1,451.55","1,470.56","1,487.93","1,441.02","","-1.51%"
"2023-10-13","1,473.83","1,468.95","1,495.88","1,463.14","","-0.02%"
"2023-10-12","1,474.19","1,472.75","1,500.13","1,459.94","","-0.48%"
"2023-10-11","1,481.35","1,518.00","1,520.39","1,480.13","","-3.52%"
"2023-10-10","1,535.35","1,485.70","1,543.17","1,485.70","","5.36%"
"2023-10-06","1,457.30","1,441.16","1,464.94","1,422.76","","2.09%"
"2023-10-05","1,427.50","1,399.78","1,428.49","1,388.41","","2.59%"
"2023-10-04","1,391.42","1,427.01","1,449.94","1,386.66","","-3.43%"
"2023-10-03","1,440.82","1,438.13","1,449.98","1,418.98","","-0.71%"
"2023-10-02","1,451.13","1,453.55","1,476.42","1,447.97","","0.68%"
"2023-09-29","1,441.38","1,500.90","1,500.90","1,428.53","","-4.38%"
"2023-09-28","1,507.37","1,486.11","1,539.41","1,486.11","","-1.24%"
"2023-09-27","1,526.27","1,532.52","1,552.49","1,521.08","","-1.68%"
"2023-09-26","1,552.32","1,544.14","1,554.91","1,527.46","","1.62%"
"2023-09-25","1,527.56","1,555.28","1,555.28","1,516.52","","-1.94%"
"2023-09-22","1,557.81","1,586.06","1,589.54","1,545.96","","-2.54%"
"2023-09-21","1,598.37","1,607.62","1,616.98","1,588.41","","0.27%"
"2023-09-20","1,594.12","1,614.46","1,632.80","1,593.84","","-0.28%"
"2023-09-19","1,598.56","1,537.92","1,603.02","1,537.92","","4.12%"
"2023-09-15","1,535.35","1,524.64","1,554.01","1,515.98","","1.42%"
"2023-09-14","1,513.85","1,503.81","1,513.85","1,479.20","","1.06%"
"2023-09-13","1,498.04","1,483.04","1,499.82","1,476.28","","1.91%"
"2023-09-12","1,470.03","1,470.29","1,478.00","1,456.15","","1.07%"
"2023-09-11","1,454.51","1,471.62","1,472.65","1,451.57","","-0.93%"
"2023-09-08","1,468.17","1,467.04","1,480.81","1,462.18","","-0.36%"
"2023-09-07","1,473.43","1,496.74","1,508.30","1,473.07","","-1.26%"
"2023-09-06","1,492.22","1,518.60","1,529.37","1,452.69","","-1.43%"
"2023-09-05","1,513.83","1,518.85","1,519.37","1,485.84","","0.71%"
"2023-09-04","1,503.17","1,475.96","1,503.78","1,471.04","","3.32%"
"2023-09-01","1,454.80","1,418.91","1,458.13","1,418.91","","2.34%"
"2023-08-31","1,421.59","1,412.50","1,424.44","1,412.50","","0.38%"
"2023-08-30","1,416.27","1,436.58","1,442.66","1,413.17","","-0.86%"
"2023-08-29","1,428.55","1,429.99","1,432.14","1,419.04","","0.42%"
"2023-08-28","1,422.62","1,418.84","1,430.38","1,415.93","","1.14%"
