"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","205.95","200.07","206.31","198.56","","4.03%"
"2020-05-25","197.97","196.37","198.64","195.72","","2.88%"
"2020-05-22","192.42","198.18","199.71","191.83","","-2.82%"
"2020-05-21","198.01","198.94","200.97","196.94","","1.44%"
"2020-05-20","195.19","192.06","195.72","190.35","","0.57%"
"2020-05-19","194.08","190.79","194.90","190.79","","3.96%"
"2020-05-18","186.68","185.67","186.84","183.08","","0.72%"
"2020-05-15","185.34","185.70","187.05","182.92","","1.58%"
"2020-05-14","182.46","186.44","186.92","182.46","","-4.05%"
"2020-05-13","190.16","190.25","192.59","188.16","","-0.95%"
"2020-05-12","191.98","195.47","195.47","189.39","","-3.25%"
"2020-05-11","198.42","191.38","199.84","190.43","","6.14%"
"2020-05-08","186.94","180.58","187.14","179.15","","4.33%"
"2020-05-07","179.19","178.59","180.94","176.74","","-1.11%"
"2020-05-01","181.20","191.51","191.53","180.65","","-7.32%"
"2020-04-30","195.52","197.49","204.51","193.18","","1.17%"
"2020-04-28","193.25","197.08","198.98","192.07","","-0.62%"
"2020-04-27","194.46","187.95","194.85","187.71","","5.03%"
"2020-04-24","185.15","186.77","187.14","184.53","","-1.28%"
"2020-04-23","187.55","179.16","187.55","179.16","","4.74%"
"2020-04-22","179.06","176.62","183.86","175.17","","0.13%"
"2020-04-21","178.83","179.14","181.33","177.49","","-1.45%"
"2020-04-20","181.46","179.77","182.24","179.53","","-0.47%"
"2020-04-17","182.31","178.12","182.44","177.05","","4.10%"
"2020-04-16","175.13","176.43","177.25","173.70","","-2.39%"
"2020-04-15","179.42","185.70","185.70","179.12","","-3.71%"
"2020-04-14","186.34","179.49","187.01","179.47","","3.17%"
"2020-04-13","180.62","185.46","185.69","180.55","","-4.28%"
"2020-04-10","188.70","186.21","189.27","184.18","","1.34%"
"2020-04-09","186.20","184.53","188.84","184.07","","1.22%"
"2020-04-08","183.96","184.28","185.47","178.86","","0.70%"
"2020-04-07","182.69","184.89","186.52","177.04","","0.83%"
"2020-04-06","181.18","166.84","184.34","164.88","","7.14%"
"2020-04-03","169.10","174.95","175.47","167.63","","-1.61%"
"2020-04-02","171.87","171.29","173.89","170.06","","-1.78%"
"2020-04-01","174.99","174.37","181.34","171.47","","-0.68%"
"2020-03-31","176.19","181.44","184.36","175.90","","-3.13%"
"2020-03-30","181.88","176.35","181.95","175.20","","-0.45%"
"2020-03-27","182.71","184.43","188.28","178.83","","1.11%"
"2020-03-26","180.70","191.85","191.98","179.05","","-7.63%"
"2020-03-25","195.63","181.09","195.97","180.99","","10.46%"
"2020-03-24","177.10","169.27","177.19","167.36","","6.98%"
"2020-03-23","165.54","166.42","168.20","162.22","","0.98%"
"2020-03-19","163.94","167.10","167.16","158.83","","0.40%"
"2020-03-18","163.29","162.35","171.29","160.74","","2.04%"
"2020-03-17","160.03","154.54","162.35","150.50","","0.99%"
"2020-03-16","158.46","165.59","167.69","158.08","","-2.05%"
"2020-03-13","161.78","169.85","169.85","156.70","","-6.92%"
"2020-03-12","173.81","185.27","185.27","173.73","","-8.22%"
"2020-03-11","189.38","190.05","195.06","189.01","","-0.33%"
"2020-03-10","190.01","189.34","191.36","182.08","","-1.79%"
"2020-03-09","193.47","203.79","203.80","192.87","","-7.42%"
"2020-03-06","208.98","213.33","213.45","208.32","","-4.10%"
