"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","226.70","228.82","229.51","225.91","","-2.11%"
"2023-10-18","231.58","229.73","232.24","228.91","","0.85%"
"2023-10-17","229.62","232.22","232.51","228.79","","0.06%"
"2023-10-16","229.48","233.27","233.47","229.07","","-2.63%"
"2023-10-13","235.67","237.05","238.25","235.67","","-1.43%"
"2023-10-12","239.08","240.10","240.20","237.48","","-0.18%"
"2023-10-11","239.50","240.48","241.99","239.50","","0.23%"
"2023-10-10","238.94","239.07","239.54","235.53","","-1.34%"
"2023-10-06","242.18","243.93","244.76","241.79","","0.60%"
"2023-10-05","240.74","236.37","241.18","236.17","","3.56%"
"2023-10-04","232.46","235.83","237.92","232.27","","-2.16%"
"2023-10-03","237.58","242.34","242.49","237.36","","-1.12%"
"2023-10-02","240.28","247.35","248.25","240.16","","-2.29%"
"2023-09-29","245.90","249.68","250.00","244.67","","-0.93%"
"2023-09-28","248.21","254.08","254.08","245.78","","-3.11%"
"2023-09-27","256.19","254.22","256.27","252.92","","0.26%"
"2023-09-26","255.53","257.03","257.03","254.91","","-0.60%"
"2023-09-25","257.06","255.88","257.56","255.71","","0.46%"
"2023-09-22","255.89","253.22","256.78","251.53","","1.37%"
"2023-09-21","252.42","252.61","253.22","251.25","","-0.17%"
"2023-09-20","252.84","255.44","255.44","252.84","","-1.06%"
"2023-09-19","255.54","255.56","255.56","253.66","","0.05%"
"2023-09-15","255.41","257.03","258.24","254.94","","-0.81%"
"2023-09-14","257.50","259.08","259.40","255.94","","-0.14%"
"2023-09-13","257.87","258.08","259.77","256.70","","0.20%"
"2023-09-12","257.36","256.55","258.05","256.04","","0.82%"
"2023-09-11","255.27","255.00","255.97","253.32","","0.71%"
"2023-09-08","253.48","256.78","256.78","253.25","","-0.54%"
"2023-09-07","254.86","256.64","257.33","254.56","","-1.08%"
"2023-09-06","257.65","257.34","258.15","256.57","","0.05%"
"2023-09-05","257.52","256.71","258.02","255.93","","0.38%"
"2023-09-04","256.55","256.88","257.08","255.66","","-0.12%"
"2023-09-01","256.85","255.38","257.35","255.20","","0.27%"
"2023-08-31","256.16","253.40","256.20","252.71","","1.53%"
"2023-08-30","252.31","253.73","254.13","251.95","","-0.64%"
"2023-08-29","253.93","254.07","254.62","253.44","","0.60%"
"2023-08-28","252.42","257.36","257.64","251.42","","-1.31%"
"2023-08-25","255.78","255.75","257.03","255.36","","-0.60%"
"2023-08-24","257.32","257.42","258.02","256.46","","-0.21%"
"2023-08-23","257.86","256.49","258.22","256.44","","0.72%"
"2023-08-22","256.02","256.12","257.35","255.23","","0.09%"
"2023-08-21","255.78","256.33","257.60","255.21","","-0.11%"
"2023-08-18","256.06","256.44","258.06","255.14","","-1.26%"
