"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","203.09","194.31","206.43","194.30","","6.77%"
"2020-05-25","190.22","179.24","190.37","179.23","","8.36%"
"2020-05-22","175.55","174.92","177.86","174.44","","1.44%"
"2020-05-21","173.05","172.92","175.67","172.30","","0.01%"
"2020-05-20","173.03","170.36","174.23","169.04","","1.31%"
"2020-05-19","170.80","169.74","176.87","169.74","","2.86%"
"2020-05-18","166.05","168.34","168.99","164.51","","-1.68%"
"2020-05-15","168.89","171.23","172.99","166.58","","-0.17%"
"2020-05-14","169.17","171.10","173.03","169.17","","-1.41%"
"2020-05-13","171.59","170.89","173.91","169.26","","-1.61%"
"2020-05-12","174.40","176.17","176.91","171.56","","-2.95%"
"2020-05-11","179.71","166.73","179.90","166.73","","10.22%"
"2020-05-08","163.05","159.56","163.41","156.90","","2.95%"
"2020-05-07","158.38","166.27","166.27","158.38","","-6.80%"
"2020-05-01","169.94","171.47","172.33","168.28","","-2.20%"
"2020-04-30","173.76","180.29","180.94","173.76","","-1.35%"
"2020-04-28","176.14","176.94","179.46","174.92","","1.42%"
"2020-04-27","173.67","167.19","174.76","164.66","","3.71%"
"2020-04-24","167.46","171.63","171.63","166.17","","-2.85%"
"2020-04-23","172.37","170.56","173.70","169.12","","0.62%"
"2020-04-22","171.31","177.29","177.75","170.55","","-4.63%"
"2020-04-21","179.63","179.14","182.03","177.60","","-0.90%"
"2020-04-20","181.26","180.85","182.53","180.62","","0.03%"
"2020-04-17","181.20","182.55","188.50","179.06","","1.30%"
"2020-04-16","178.87","179.04","179.94","177.81","","-2.11%"
"2020-04-15","182.72","180.85","183.70","179.49","","2.03%"
"2020-04-14","179.09","178.80","180.44","174.67","","-0.43%"
"2020-04-13","179.86","182.39","183.62","178.45","","-0.79%"
"2020-04-10","181.29","182.67","184.58","179.52","","-1.82%"
"2020-04-09","184.66","189.35","195.22","182.46","","-1.10%"
"2020-04-08","186.72","173.91","188.30","173.01","","8.22%"
"2020-04-07","172.54","170.85","177.05","165.40","","3.22%"
"2020-04-06","167.16","157.41","168.41","152.64","","3.77%"
"2020-04-03","161.09","165.65","168.64","159.96","","-2.75%"
"2020-04-02","165.64","174.36","174.69","165.64","","-6.42%"
"2020-04-01","177.00","186.06","186.87","177.00","","-6.69%"
"2020-03-31","189.70","194.89","196.21","189.01","","-2.91%"
"2020-03-30","195.39","200.78","200.78","194.08","","-7.05%"
"2020-03-27","210.21","209.54","210.83","204.62","","1.60%"
"2020-03-26","206.90","206.64","208.53","200.14","","-0.55%"
"2020-03-25","208.05","201.83","208.05","201.34","","5.21%"
"2020-03-24","197.74","196.35","200.15","194.65","","2.64%"
"2020-03-23","192.66","199.53","199.64","186.22","","-5.59%"
"2020-03-19","204.06","197.39","205.05","197.39","","4.47%"
"2020-03-18","195.32","191.52","204.38","190.34","","3.77%"
"2020-03-17","188.23","182.36","189.96","180.88","","1.17%"
"2020-03-16","186.05","182.61","193.30","180.54","","3.99%"
"2020-03-13","178.92","194.27","194.27","174.82","","-9.80%"
"2020-03-12","198.37","207.52","209.21","197.61","","-6.26%"
"2020-03-11","211.62","213.57","219.53","211.58","","-0.63%"
"2020-03-10","212.96","206.90","214.81","199.38","","0.93%"
"2020-03-09","210.99","217.12","217.12","207.97","","-4.62%"
"2020-03-06","221.22","226.51","226.89","220.72","","-3.99%"
"2020-03-05","230.41","232.19","232.19","229.23","","0.17%"
"2020-03-04","230.03","226.08","230.94","224.09","","0.44%"
"2020-03-03","229.02","234.47","236.12","228.12","","-0.58%"
"2020-03-02","230.36","225.45","236.52","225.45","","0.75%"
"2020-02-28","228.64","224.97","230.77","220.88","","-0.19%"
"2020-02-27","229.07","238.92","239.16","228.23","","-4.92%"
"2020-02-26","240.93","240.03","241.05","238.39","","-1.70%"
"2020-02-25","245.10","249.99","249.99","242.94","","-4.15%"
"2020-02-21","255.72","255.92","257.97","255.64","","-0.40%"
"2020-02-20","256.75","259.78","260.69","256.75","","-0.83%"
"2020-02-19","258.89","259.42","259.99","258.32","","-0.31%"
"2020-02-18","259.69","258.85","260.76","258.21","","0.04%"
"2020-02-17","259.59","261.23","261.60","258.78","","-2.37%"
"2020-02-14","265.89","266.34","267.04","265.36","","-1.34%"
"2020-02-13","269.49","268.22","269.92","266.91","","1.24%"
"2020-02-12","266.19","267.44","267.97","265.88","","-0.98%"
"2020-02-10","268.83","269.25","269.61","268.05","","-0.94%"
"2020-02-07","271.37","276.14","276.14","271.13","","-1.30%"
"2020-02-06","274.95","274.74","276.45","273.81","","1.87%"
"2020-02-05","269.91","270.15","271.55","267.62","","1.23%"
"2020-02-04","266.63","263.04","266.96","262.52","","1.54%"
"2020-02-03","262.59","261.50","264.42","259.77","","-1.63%"
"2020-01-31","266.95","266.03","270.35","265.88","","0.35%"
"2020-01-30","266.03","268.94","270.29","266.03","","-1.44%"
"2020-01-29","269.93","269.46","270.22","268.05","","0.23%"
"2020-01-28","269.30","266.92","269.93","266.61","","0.01%"
"2020-01-27","269.26","273.09","273.09","266.98","","-3.43%"
"2020-01-24","278.82","277.69","279.62","277.18","","1.08%"
"2020-01-23","275.85","279.04","279.64","275.85","","-2.03%"
"2020-01-22","281.57","279.68","282.30","277.93","","-0.06%"
"2020-01-21","281.73","288.80","289.09","281.52","","-2.54%"
"2020-01-20","289.06","289.59","290.92","288.78","","0.53%"
"2020-01-17","287.55","287.62","287.83","286.29","","0.21%"
"2020-01-16","286.96","285.88","287.13","285.17","","0.13%"
"2020-01-15","286.58","286.33","286.77","285.64","","-0.48%"
"2020-01-14","287.95","288.09","289.23","287.37","","0.22%"
"2020-01-10","287.31","289.78","290.27","287.19","","-0.76%"
"2020-01-09","289.50","287.60","290.00","286.99","","1.93%"
"2020-01-08","284.03","283.30","284.16","280.79","","-0.28%"
"2020-01-07","284.83","282.38","285.52","282.27","","1.70%"
"2020-01-06","280.07","285.44","285.60","280.00","","-2.79%"
"2019-12-30","288.12","289.15","289.34","288.11","","-0.57%"
"2019-12-27","289.76","290.23","290.43","289.38","","0.26%"
"2019-12-26","289.01","286.82","289.01","286.53","","0.97%"
"2019-12-25","286.22","287.22","287.38","286.01","","-0.29%"
"2019-12-24","287.06","288.54","289.16","286.86","","-0.30%"
"2019-12-23","287.93","287.37","288.32","287.10","","-0.21%"
"2019-12-20","288.55","288.39","289.58","287.55","","0.37%"
"2019-12-19","287.50","288.04","289.04","287.19","","-0.75%"
"2019-12-18","289.68","293.17","293.26","289.68","","-1.12%"
"2019-12-17","292.96","292.44","293.33","291.45","","0.97%"
"2019-12-16","290.14","290.51","291.95","290.14","","0.21%"
"2019-12-13","289.53","291.80","291.91","288.84","","0.25%"
"2019-12-12","288.82","291.26","291.94","288.82","","-0.39%"
"2019-12-11","289.95","289.29","290.00","288.74","","0.46%"
"2019-12-10","288.62","290.71","290.79","288.62","","-0.54%"
"2019-12-09","290.18","289.70","290.26","288.67","","0.43%"
"2019-12-06","288.93","290.03","290.45","288.64","","-0.31%"
"2019-12-05","289.84","287.57","289.92","287.57","","0.56%"
"2019-12-04","288.22","289.22","289.83","287.97","","-0.54%"
"2019-12-03","289.79","291.12","291.43","289.79","","-0.94%"
"2019-12-02","292.54","291.87","293.96","291.83","","0.28%"
"2019-11-29","291.71","292.50","292.79","291.34","","-0.17%"
"2019-11-28","292.22","290.95","292.22","290.26","","0.38%"
"2019-11-27","291.12","290.33","292.02","289.76","","0.82%"
"2019-11-26","288.74","289.29","289.67","288.27","","-0.50%"
"2019-11-25","290.18","288.78","290.18","288.40","","1.07%"
"2019-11-22","287.12","288.35","288.87","287.12","","-1.15%"
"2019-11-21","290.47","289.70","290.67","286.26","","-0.09%"
"2019-11-20","290.72","288.52","291.00","287.99","","1.01%"
"2019-11-19","287.82","288.67","288.67","287.33","","-0.58%"
"2019-11-18","289.50","290.21","290.43","288.97","","-0.24%"
"2019-11-15","290.21","288.87","291.14","288.27","","0.88%"
"2019-11-14","287.68","290.30","290.76","287.17","","-0.61%"
"2019-11-13","289.44","291.43","291.76","289.23","","-1.17%"
"2019-11-12","292.86","292.69","292.98","291.51","","0.48%"
"2019-11-11","291.47","293.09","293.18","290.81","","-0.14%"
"2019-11-08","291.87","293.55","294.64","291.30","","-0.72%"
"2019-11-07","294.00","294.44","294.53","292.28","","0.37%"
"2019-11-06","292.93","290.73","292.93","288.81","","0.83%"
"2019-11-05","290.52","290.16","291.95","288.15","","0.35%"
"2019-11-01","289.50","291.86","293.78","289.30","","-0.20%"
"2019-10-31","290.07","290.81","290.81","288.89","","-0.19%"
"2019-10-30","290.61","286.21","290.61","286.21","","1.25%"
"2019-10-29","287.03","285.93","287.75","285.02","","-0.63%"
"2019-10-28","288.86","289.61","290.76","288.08","","-0.21%"
"2019-10-25","289.47","290.00","290.04","288.74","","0.44%"
"2019-10-24","288.20","289.99","290.44","288.08","","-0.31%"
