"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","7,766.49","7,633.86","7,774.97","7,600.91","","2.45%"
"2020-05-25","7,580.44","7,629.58","7,630.95","7,528.03","","0.74%"
"2020-05-22","7,524.85","7,593.40","7,613.61","7,510.50","","-1.01%"
"2020-05-21","7,601.47","7,609.34","7,636.83","7,557.31","","0.16%"
"2020-05-20","7,589.57","7,529.67","7,624.49","7,529.67","","1.01%"
"2020-05-19","7,513.39","7,509.23","7,560.18","7,486.20","","1.49%"
"2020-05-18","7,403.43","7,392.39","7,430.83","7,331.92","","0.74%"
"2020-05-15","7,348.73","7,360.22","7,368.22","7,263.73","","0.50%"
"2020-05-14","7,312.32","7,434.86","7,487.94","7,312.32","","-2.43%"
"2020-05-13","7,494.11","7,365.54","7,508.89","7,323.97","","1.90%"
"2020-05-12","7,354.25","7,360.13","7,427.10","7,330.60","","0.28%"
"2020-05-11","7,333.94","7,387.97","7,427.78","7,332.48","","-0.50%"
"2020-05-08","7,370.65","7,348.15","7,374.45","7,288.33","","1.74%"
"2020-05-07","7,244.24","7,252.70","7,314.03","7,244.24","","0.45%"
"2020-05-01","7,211.78","7,395.39","7,444.70","7,208.83","","-3.11%"
"2020-04-30","7,443.60","7,605.87","7,605.87","7,441.60","","-0.72%"
"2020-04-28","7,497.66","7,402.80","7,523.03","7,402.00","","0.87%"
"2020-04-27","7,432.99","7,391.97","7,460.21","7,358.88","","1.06%"
"2020-04-24","7,354.98","7,290.60","7,359.91","7,262.04","","0.91%"
"2020-04-23","7,288.69","7,286.35","7,305.62","7,234.80","","1.14%"
"2020-04-22","7,206.65","7,128.56","7,215.81","7,067.77","","-0.25%"
"2020-04-21","7,225.03","7,326.66","7,334.79","7,222.22","","-2.10%"
"2020-04-20","7,380.13","7,548.68","7,548.68","7,379.81","","-2.29%"
"2020-04-17","7,553.39","7,487.05","7,669.50","7,476.68","","2.47%"
"2020-04-16","7,371.44","7,457.38","7,457.38","7,348.46","","-1.79%"
"2020-04-15","7,505.87","7,459.81","7,505.87","7,404.32","","0.99%"
"2020-04-14","7,432.16","7,303.70","7,432.16","7,303.70","","2.02%"
"2020-04-13","7,284.70","7,402.20","7,453.69","7,269.61","","-1.78%"
"2020-04-10","7,416.53","7,325.28","7,422.45","7,244.99","","0.92%"
"2020-04-09","7,348.87","7,409.29","7,436.17","7,293.37","","-1.63%"
"2020-04-08","7,470.36","7,262.23","7,504.35","7,214.77","","2.71%"
"2020-04-07","7,273.12","7,276.50","7,401.32","7,162.96","","1.82%"
"2020-04-06","7,143.45","6,961.18","7,154.82","6,901.11","","3.52%"
"2020-04-03","6,900.33","6,985.21","7,097.83","6,866.54","","-0.05%"
"2020-04-02","6,903.51","6,912.02","7,001.11","6,861.22","","-0.47%"
"2020-04-01","6,936.12","7,141.60","7,161.00","6,885.61","","-3.41%"
"2020-03-31","7,180.70","7,386.04","7,416.19","7,167.81","","-1.59%"
"2020-03-30","7,296.73","7,279.60","7,314.50","7,088.67","","-2.06%"
"2020-03-27","7,449.88","7,052.04","7,449.88","7,051.47","","7.65%"
"2020-03-26","6,920.51","6,927.25","7,029.33","6,769.48","","-1.73%"
"2020-03-25","7,042.39","6,640.91","7,042.39","6,640.90","","8.19%"
"2020-03-24","6,509.34","6,486.98","6,650.94","6,349.12","","1.39%"
"2020-03-23","6,419.84","6,609.07","6,697.67","6,382.70","","-3.72%"
"2020-03-19","6,667.80","6,662.53","6,867.66","6,660.04","","2.09%"
"2020-03-18","6,531.13","6,440.48","6,793.39","6,388.73","","2.77%"
"2020-03-17","6,355.37","6,208.27","6,573.64","6,072.45","","0.99%"
"2020-03-16","6,293.11","6,538.03","6,647.33","6,244.06","","-2.26%"
"2020-03-13","6,438.95","6,636.59","6,647.81","6,090.12","","-4.91%"
"2020-03-12","6,771.63","7,020.79","7,025.39","6,692.71","","-5.27%"
"2020-03-11","7,148.53","7,290.41","7,290.41","7,138.74","","-1.86%"
"2020-03-10","7,283.81","7,137.54","7,335.40","6,921.62","","0.86%"
"2020-03-09","7,221.41","7,438.41","7,438.46","7,128.38","","-4.71%"
"2020-03-06","7,578.73","7,575.86","7,623.34","7,501.96","","-1.54%"
"2020-03-05","7,697.11","7,694.84","7,712.82","7,640.13","","1.54%"
"2020-03-04","7,580.39","7,536.75","7,643.11","7,523.67","","-0.08%"
"2020-03-03","7,586.47","7,765.81","7,803.77","7,586.47","","-0.82%"
"2020-03-02","7,649.10","7,390.33","7,678.87","7,357.88","","1.81%"
"2020-02-28","7,513.33","7,580.85","7,582.50","7,411.66","","-2.86%"
"2020-02-27","7,734.91","7,851.19","7,861.55","7,716.47","","-1.31%"
