"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","2,355.79","2,292.68","2,367.85","2,292.68","","3.81%"
"2020-05-25","2,269.33","2,255.31","2,269.33","2,249.40","","1.93%"
"2020-05-22","2,226.29","2,271.59","2,271.59","2,221.98","","-1.21%"
"2020-05-21","2,253.46","2,270.96","2,274.82","2,250.81","","-0.33%"
"2020-05-20","2,260.91","2,257.38","2,268.97","2,250.53","","-0.40%"
"2020-05-19","2,269.90","2,238.62","2,276.68","2,236.84","","3.17%"
"2020-05-18","2,200.12","2,196.04","2,207.08","2,191.12","","0.51%"
"2020-05-15","2,189.00","2,196.92","2,211.40","2,169.63","","1.00%"
"2020-05-14","2,167.23","2,194.60","2,200.09","2,167.23","","-2.62%"
"2020-05-13","2,225.61","2,220.93","2,238.80","2,210.99","","-1.27%"
"2020-05-12","2,254.28","2,287.67","2,287.67","2,248.64","","-2.21%"
"2020-05-11","2,305.19","2,258.56","2,310.34","2,255.14","","3.77%"
"2020-05-08","2,221.36","2,175.56","2,224.14","2,175.56","","2.97%"
"2020-05-07","2,157.25","2,156.27","2,170.59","2,145.78","","-1.42%"
"2020-05-01","2,188.40","2,239.34","2,247.90","2,177.09","","-3.75%"
"2020-04-30","2,273.64","2,265.12","2,299.03","2,262.12","","2.15%"
"2020-04-28","2,225.71","2,209.56","2,238.72","2,207.12","","0.01%"
"2020-04-27","2,225.49","2,184.89","2,227.04","2,180.31","","1.86%"
"2020-04-24","2,184.89","2,168.37","2,190.54","2,156.01","","-0.30%"
"2020-04-23","2,191.49","2,165.16","2,192.14","2,157.72","","2.35%"
"2020-04-22","2,141.08","2,147.20","2,151.47","2,127.90","","-1.60%"
"2020-04-21","2,175.91","2,197.27","2,203.96","2,172.65","","-1.73%"
"2020-04-20","2,214.24","2,220.72","2,232.90","2,214.24","","-1.13%"
"2020-04-17","2,239.56","2,184.23","2,246.45","2,183.41","","3.69%"
"2020-04-16","2,159.85","2,175.72","2,175.72","2,149.51","","-2.37%"
"2020-04-15","2,212.26","2,204.37","2,220.99","2,189.81","","-0.67%"
"2020-04-14","2,227.11","2,161.80","2,232.33","2,158.94","","2.99%"
"2020-04-13","2,162.51","2,184.55","2,201.67","2,158.47","","-2.08%"
"2020-04-10","2,208.53","2,183.92","2,218.59","2,161.22","","0.23%"
"2020-04-09","2,203.48","2,182.84","2,203.73","2,174.80","","0.24%"
"2020-04-08","2,198.25","2,169.26","2,203.94","2,128.31","","1.97%"
"2020-04-07","2,155.79","2,149.96","2,171.15","2,099.45","","1.90%"
"2020-04-06","2,115.62","2,003.66","2,132.34","1,990.13","","6.05%"
"2020-04-03","1,994.88","2,037.15","2,045.74","1,985.52","","-2.28%"
"2020-04-02","2,041.35","2,069.32","2,073.63","2,035.58","","-1.99%"
"2020-04-01","2,082.78","2,131.24","2,169.67","2,062.42","","-3.33%"
"2020-03-31","2,154.53","2,237.42","2,247.11","2,149.55","","-4.39%"
"2020-03-30","2,253.36","2,240.47","2,255.27","2,186.62","","-2.68%"
"2020-03-27","2,315.44","2,270.92","2,315.44","2,235.60","","3.80%"
"2020-03-26","2,230.74","2,257.67","2,257.67","2,202.16","","-2.45%"
"2020-03-25","2,286.77","2,127.79","2,286.77","2,127.31","","9.55%"
"2020-03-24","2,087.45","2,054.30","2,087.45","2,026.01","","3.15%"
"2020-03-23","2,023.61","2,044.76","2,051.41","2,011.59","","-2.10%"
"2020-03-19","2,066.99","2,087.92","2,136.68","2,066.39","","-0.05%"
"2020-03-18","2,068.07","2,074.80","2,177.01","2,067.00","","-0.80%"
"2020-03-17","2,084.81","1,972.09","2,109.12","1,948.57","","3.97%"
"2020-03-16","2,005.15","2,061.03","2,089.56","2,000.97","","-3.06%"
"2020-03-13","2,068.44","2,125.63","2,154.43","1,973.91","","-4.46%"
"2020-03-12","2,164.93","2,210.16","2,218.05","2,138.13","","-3.58%"
"2020-03-11","2,245.41","2,279.06","2,337.37","2,241.29","","-1.15%"
"2020-03-10","2,271.46","2,205.49","2,288.17","2,152.61","","1.70%"
"2020-03-09","2,233.49","2,323.36","2,323.40","2,206.76","","-5.49%"
"2020-03-06","2,363.34","2,410.73","2,410.97","2,350.95","","-3.68%"
"2020-03-05","2,453.68","2,471.46","2,471.46","2,436.93","","0.46%"
