"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","114.24","112.46","114.26","112.42","","2.29%"
"2020-05-25","111.68","111.02","111.92","111.02","","1.66%"
"2020-05-22","109.86","112.01","112.01","109.46","","-1.92%"
"2020-05-21","112.01","112.76","112.92","111.65","","0.10%"
"2020-05-20","111.90","111.64","112.62","111.43","","-0.48%"
"2020-05-19","112.44","110.91","112.85","110.87","","3.34%"
"2020-05-18","108.81","108.84","109.27","108.18","","0.40%"
"2020-05-15","108.38","109.12","109.33","107.91","","0.28%"
"2020-05-14","108.08","110.04","110.07","108.08","","-2.74%"
"2020-05-13","111.13","109.80","111.73","109.61","","0.52%"
"2020-05-12","110.55","111.90","111.90","110.47","","-1.65%"
"2020-05-11","112.41","111.57","112.89","111.50","","0.96%"
"2020-05-08","111.34","109.82","111.66","109.59","","1.98%"
"2020-05-07","109.18","108.87","109.41","108.31","","-1.16%"
"2020-05-01","110.46","112.35","112.60","109.64","","-3.32%"
"2020-04-30","114.25","114.60","115.85","114.25","","1.54%"
"2020-04-28","112.52","112.93","113.49","111.55","","0.20%"
"2020-04-27","112.30","110.30","112.36","109.57","","1.94%"
"2020-04-24","110.16","110.03","110.99","109.23","","-0.49%"
"2020-04-23","110.70","108.25","110.70","108.07","","2.13%"
"2020-04-22","108.39","108.15","109.08","107.64","","-0.67%"
"2020-04-21","109.12","108.54","109.42","108.22","","-0.65%"
"2020-04-20","109.83","109.15","110.55","109.03","","0.67%"
"2020-04-17","109.10","109.44","111.12","108.67","","0.56%"
"2020-04-16","108.49","108.34","108.72","107.21","","-1.79%"
"2020-04-15","110.47","111.61","112.34","109.88","","-2.43%"
"2020-04-14","113.22","110.96","113.46","110.50","","1.65%"
"2020-04-13","111.38","112.35","113.82","111.29","","-1.89%"
"2020-04-10","113.52","109.63","113.71","109.63","","3.55%"
"2020-04-09","109.63","110.42","110.56","108.06","","-0.28%"
"2020-04-08","109.94","110.69","110.69","108.20","","-0.26%"
"2020-04-07","110.23","109.63","112.08","107.36","","2.63%"
"2020-04-06","107.41","104.03","108.44","102.98","","3.57%"
"2020-04-03","103.71","104.82","106.29","102.78","","-0.45%"
"2020-04-02","104.18","105.63","105.87","103.52","","-2.68%"
"2020-04-01","107.05","108.39","110.65","106.32","","-2.26%"
"2020-03-31","109.53","113.33","114.33","109.22","","-4.93%"
"2020-03-30","115.21","114.69","115.21","111.24","","-4.31%"
"2020-03-27","120.40","118.87","120.40","117.33","","2.99%"
"2020-03-26","116.91","115.79","118.00","114.84","","-0.80%"
"2020-03-25","117.85","113.83","117.97","113.75","","5.73%"
"2020-03-24","111.46","109.27","112.25","109.27","","4.19%"
"2020-03-23","106.98","104.00","107.72","102.69","","2.11%"
"2020-03-19","104.77","104.60","107.07","103.95","","2.12%"
"2020-03-18","102.60","103.24","106.76","102.60","","0.10%"
"2020-03-17","102.50","98.75","103.16","97.10","","1.91%"
"2020-03-16","100.58","100.77","104.23","97.99","","0.37%"
"2020-03-13","100.21","103.32","103.81","96.77","","-5.30%"
"2020-03-12","105.82","109.47","109.47","105.00","","-5.15%"
