"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","2,091.97","2,042.28","2,096.24","2,040.61","","3.50%"
"2020-05-25","2,021.24","1,979.98","2,021.24","1,979.98","","3.06%"
"2020-05-22","1,961.21","1,971.87","1,974.96","1,950.49","","-0.20%"
"2020-05-21","1,965.05","1,990.77","1,992.43","1,965.05","","-1.30%"
"2020-05-20","1,990.93","1,973.86","1,991.69","1,967.16","","1.12%"
"2020-05-19","1,968.86","1,955.44","1,972.94","1,953.31","","2.50%"
"2020-05-18","1,920.91","1,926.19","1,928.73","1,907.93","","-0.09%"
"2020-05-15","1,922.56","1,933.95","1,933.95","1,904.21","","0.15%"
"2020-05-14","1,919.72","1,931.10","1,945.61","1,919.72","","-0.94%"
"2020-05-13","1,938.03","1,927.97","1,944.67","1,920.96","","-0.53%"
"2020-05-12","1,948.31","1,965.48","1,970.49","1,947.03","","-1.52%"
"2020-05-11","1,978.29","1,917.33","1,987.22","1,914.10","","4.02%"
"2020-05-08","1,901.81","1,847.67","1,901.89","1,847.67","","4.27%"
"2020-05-07","1,824.00","1,854.31","1,855.54","1,815.56","","-2.92%"
"2020-05-01","1,878.79","1,917.01","1,931.59","1,876.08","","-2.62%"
"2020-04-30","1,929.30","1,959.60","1,960.80","1,926.74","","-0.20%"
"2020-04-28","1,933.14","1,940.01","1,940.01","1,917.68","","-0.72%"
"2020-04-27","1,947.07","1,937.30","1,949.39","1,922.27","","0.84%"
"2020-04-24","1,930.86","1,938.14","1,938.48","1,914.29","","-0.75%"
"2020-04-23","1,945.39","1,936.11","1,945.39","1,924.13","","0.36%"
"2020-04-22","1,938.48","1,932.32","1,949.74","1,921.89","","0.48%"
"2020-04-21","1,929.15","1,906.06","1,934.35","1,895.11","","0.22%"
"2020-04-20","1,924.97","1,924.99","1,931.69","1,912.82","","-0.84%"
"2020-04-17","1,941.26","1,968.50","1,977.34","1,930.14","","-0.79%"
"2020-04-16","1,956.79","1,956.73","1,970.92","1,950.61","","-1.51%"
"2020-04-15","1,986.69","1,945.28","1,987.71","1,939.67","","1.48%"
"2020-04-14","1,957.77","1,930.34","1,957.82","1,922.12","","1.73%"
"2020-04-13","1,924.47","1,934.57","1,946.19","1,915.40","","-1.65%"
"2020-04-10","1,956.72","1,933.92","1,958.62","1,902.28","","0.45%"
"2020-04-09","1,948.02","1,997.44","2,004.88","1,915.26","","-3.11%"
"2020-04-08","2,010.57","1,944.59","2,026.00","1,938.42","","4.10%"
