"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","460.61","458.56","462.85","456.02","","-0.70%"
"2023-10-18","463.88","463.50","464.40","457.53","","0.17%"
"2023-10-17","463.08","465.28","468.70","460.69","","0.71%"
"2023-10-16","459.83","463.66","466.97","456.95","","-1.42%"
"2023-10-13","466.43","467.56","471.63","465.25","","-0.87%"
"2023-10-12","470.51","472.14","475.86","469.12","","0.13%"
"2023-10-11","469.92","469.25","473.52","465.95","","0.29%"
"2023-10-10","468.55","461.85","469.62","460.92","","3.03%"
"2023-10-06","454.79","451.20","459.20","450.38","","1.24%"
"2023-10-05","449.20","443.24","450.28","443.17","","2.89%"
"2023-10-04","436.58","450.22","450.85","436.55","","-4.24%"
"2023-10-03","455.89","465.20","465.27","455.35","","-2.86%"
"2023-10-02","469.29","482.71","482.71","469.07","","-1.16%"
"2023-09-29","474.80","485.94","485.94","472.16","","-2.94%"
"2023-09-28","489.19","483.27","492.10","481.63","","-0.52%"
"2023-09-27","491.75","490.75","491.75","482.47","","-1.31%"
"2023-09-26","498.28","494.90","501.47","491.86","","0.40%"
"2023-09-25","496.28","500.91","501.41","493.98","","-0.63%"
"2023-09-22","499.44","506.58","506.58","495.56","","-1.94%"
"2023-09-21","509.30","501.34","512.30","499.54","","1.38%"
"2023-09-20","502.35","518.24","518.24","500.94","","-2.48%"
"2023-09-19","515.14","513.32","516.55","509.89","","0.10%"
"2023-09-15","514.61","503.86","517.62","503.86","","3.37%"
"2023-09-14","497.84","492.01","499.23","491.45","","1.70%"
"2023-09-13","489.53","489.06","491.05","486.14","","0.38%"
"2023-09-12","487.69","484.93","489.84","483.61","","0.90%"
"2023-09-11","483.35","482.92","487.23","482.24","","0.95%"
"2023-09-08","478.82","478.33","484.28","477.56","","0.10%"
"2023-09-07","478.34","476.74","480.12","475.77","","0.38%"
"2023-09-06","476.55","478.72","481.77","475.17","","-0.33%"
"2023-09-05","478.13","475.58","478.13","473.40","","0.13%"
"2023-09-04","477.53","475.95","478.28","474.45","","0.48%"
"2023-09-01","475.27","471.42","476.17","470.83","","0.50%"
"2023-08-31","472.89","470.15","474.79","470.15","","0.29%"
"2023-08-30","471.53","471.56","474.32","470.17","","-0.45%"
"2023-08-29","473.66","467.26","474.88","466.94","","1.78%"
"2023-08-28","465.37","462.30","465.87","461.74","","1.53%"
"2023-08-25","458.37","455.83","459.09","455.04","","-0.33%"
"2023-08-24","459.90","454.60","462.31","454.28","","0.54%"
"2023-08-23","457.41","451.90","458.62","451.90","","1.52%"
"2023-08-22","450.54","447.51","450.54","444.14","","0.63%"
"2023-08-21","447.71","445.46","451.47","445.46","","1.54%"
"2023-08-18","440.91","445.57","446.83","439.24","","-2.07%"
"2023-08-17","450.21","453.27","454.78","446.42","","-0.49%"
"2023-08-16","452.44","446.53","454.48","446.30","","0.60%"
"2023-08-15","449.75","445.27","451.10","444.27","","0.61%"
"2023-08-14","447.02","451.65","453.71","440.49","","-0.74%"
"2023-08-10","450.33","448.40","451.57","448.40","","0.40%"
"2023-08-09","448.53","449.83","449.83","446.26","","0.04%"
"2023-08-08","448.34","441.40","449.08","441.40","","2.77%"
"2023-08-07","436.25","437.03","439.90","435.61","","-1.10%"
"2023-08-04","441.08","437.07","441.83","435.08","","-0.24%"
"2023-08-03","442.15","444.20","447.23","441.61","","-0.94%"
"2023-08-02","446.36","453.39","453.39","444.87","","-3.05%"
"2023-08-01","460.40","444.86","460.40","444.86","","3.29%"
"2023-07-31","445.72","440.95","450.22","440.95","","2.65%"
"2023-07-28","434.21","437.60","440.00","427.40","","-1.91%"
"2023-07-27","442.68","433.88","447.00","432.85","","2.12%"
"2023-07-26","433.49","429.63","434.65","427.66","","0.68%"
"2023-07-25","430.58","427.81","432.16","427.73","","0.44%"
"2023-07-24","428.70","426.49","428.70","424.98","","1.35%"
"2023-07-21","423.00","419.34","423.19","417.20","","1.53%"
"2023-07-20","416.61","418.00","419.26","416.13","","0.18%"
"2023-07-19","415.88","412.78","415.88","411.67","","1.13%"
"2023-07-18","411.23","405.22","411.23","405.22","","0.69%"
"2023-07-14","408.41","417.27","417.27","407.23","","-1.77%"
"2023-07-13","415.77","414.72","416.75","412.37","","0.27%"
"2023-07-12","414.65","415.99","418.20","413.63","","-0.37%"
"2023-07-11","416.20","420.50","421.35","415.44","","-1.28%"
"2023-07-10","421.59","423.51","424.48","420.88","","-0.76%"
"2023-07-07","424.83","427.80","428.08","422.94","","-1.36%"
"2023-07-06","430.70","433.22","435.97","430.24","","-0.70%"
"2023-07-05","433.72","430.22","434.13","430.22","","0.47%"
"2023-07-04","431.71","435.57","435.95","431.42","","-1.16%"
"2023-07-03","436.78","431.68","437.24","431.68","","1.48%"
"2023-06-30","430.41","430.91","431.73","427.17","","-0.20%"
"2023-06-29","431.27","434.75","434.75","428.85","","-1.23%"
"2023-06-28","436.66","429.48","436.69","428.87","","1.48%"
"2023-06-27","430.31","430.21","432.67","427.85","","0.64%"
"2023-06-26","427.57","434.91","434.91","425.84","","-1.77%"
"2023-06-23","435.29","431.77","440.51","431.05","","1.23%"
"2023-06-22","430.02","427.78","431.79","427.55","","1.40%"
"2023-06-21","424.09","422.68","427.18","422.68","","0.11%"
"2023-06-20","423.63","427.93","428.20","422.23","","-1.18%"
"2023-06-19","428.70","430.21","431.51","427.46","","0.58%"
"2023-06-16","426.22","423.41","427.13","422.64","","0.23%"
"2023-06-15","425.26","426.23","427.75","424.51","","-0.57%"
"2023-06-14","427.68","429.94","430.63","424.95","","-0.18%"
"2023-06-13","428.47","429.57","429.66","426.51","","-0.43%"
"2023-06-12","430.31","431.88","432.51","426.24","","0.32%"
"2023-06-09","428.95","422.51","429.04","422.10","","2.22%"
"2023-06-08","419.63","418.23","424.34","417.81","","1.48%"
"2023-06-07","413.50","416.60","418.99","412.96","","-0.41%"
"2023-06-06","415.19","410.59","415.19","409.32","","1.15%"
"2023-06-05","410.46","415.56","417.35","409.98","","-0.60%"
"2023-06-02","412.94","408.15","413.48","407.89","","1.07%"
"2023-06-01","408.58","404.34","409.46","403.20","","1.05%"
"2023-05-31","404.33","407.03","408.88","403.22","","-0.86%"
"2023-05-30","407.83","404.20","408.98","403.50","","0.64%"
"2023-05-29","405.22","404.84","406.23","402.32","","0.00%"
"2023-05-26","405.21","409.03","409.31","405.10","","-1.29%"
"2023-05-25","410.49","406.42","411.07","404.20","","0.11%"
"2023-05-24","410.02","403.64","415.37","402.83","","2.55%"
"2023-05-23","399.82","398.45","401.31","396.57","","0.22%"
"2023-05-22","398.96","395.28","399.08","395.28","","1.18%"
"2023-05-19","394.30","395.99","397.85","392.20","","-0.36%"
"2023-05-18","395.73","406.46","406.46","395.73","","-2.75%"
"2023-05-17","406.90","409.10","413.32","406.57","","-0.24%"
"2023-05-16","407.87","402.71","409.57","400.99","","1.46%"
"2023-05-15","401.99","400.00","402.54","396.88","","1.66%"
"2023-05-12","395.41","392.25","396.97","390.69","","1.65%"
"2023-05-11","388.98","389.85","392.90","388.22","","-0.76%"
"2023-05-10","391.94","397.25","397.25","390.97","","-0.97%"
"2023-05-09","395.76","387.65","396.03","387.65","","1.77%"
"2023-05-08","388.89","385.71","391.18","385.71","","0.70%"
"2023-05-02","386.20","388.25","388.25","384.56","","-0.50%"
"2023-05-01","388.13","386.40","392.37","386.40","","1.15%"
"2023-04-28","383.70","375.98","385.04","375.98","","2.91%"
"2023-04-27","372.85","369.99","373.55","369.63","","0.07%"
"2023-04-26","372.58","373.51","375.44","368.94","","-0.17%"
"2023-04-25","373.22","377.04","379.16","373.07","","-0.50%"
"2023-04-24","375.10","375.64","378.09","374.45","","0.02%"
"2023-04-21","375.02","367.75","375.42","366.10","","2.10%"
"2023-04-20","367.29","367.75","368.77","366.67","","-0.40%"
"2023-04-19","368.75","368.43","368.75","366.84","","-0.41%"
"2023-04-18","370.27","368.07","370.92","368.07","","0.97%"
"2023-04-17","366.71","366.70","366.74","364.17","","0.11%"
"2023-04-14","366.30","363.87","367.19","363.87","","0.83%"
"2023-04-13","363.30","364.60","364.95","362.86","","-0.15%"
"2023-04-12","363.83","364.40","365.24","361.87","","0.31%"
"2023-04-11","362.71","361.07","363.31","360.72","","0.68%"
"2023-04-10","360.27","361.78","365.13","359.52","","0.63%"
"2023-04-07","358.02","362.61","362.61","357.72","","-1.61%"
"2023-04-06","363.86","361.69","367.52","360.82","","1.04%"
"2023-04-05","360.13","366.15","366.15","359.99","","-1.71%"
