日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,3806.53,"3,824.99","3,830.17","3,800.44",,-2.04%
2023-10-18,3885.93,"3,873.29","3,891.61","3,862.90",,0.08%
2023-10-17,3882.88,"3,894.76","3,922.61","3,866.09",,1.22%
2023-10-16,3835.96,"3,863.48","3,864.55","3,824.67",,-1.96%
2023-10-13,3912.55,"3,944.30","3,961.11","3,901.86",,-1.20%
2023-10-12,3959.91,"3,888.99","3,962.22","3,888.99",,2.91%
2023-10-11,3847.84,"3,843.32","3,863.46","3,837.21",,0.35%
2023-10-10,3834.5,"3,795.61","3,841.77","3,794.42",,2.16%
2023-10-06,3753.57,"3,776.35","3,781.30","3,744.81",,-0.64%
2023-10-05,3777.75,"3,739.17","3,784.90","3,720.33",,1.65%
2023-10-04,3716.5,"3,743.76","3,746.50","3,711.41",,-2.14%
2023-10-03,3797.82,"3,831.18","3,836.66","3,792.39",,-1.32%
2023-10-02,3848.64,"3,890.12","3,917.52","3,848.64",,-0.08%
2023-09-29,3851.72,"3,881.44","3,884.06","3,839.50",,-0.03%
2023-09-28,3852.7,"3,874.64","3,878.69","3,827.59",,-1.15%
2023-09-27,3897.34,"3,837.02","3,897.82","3,833.21",,0.65%
2023-09-26,3872.12,"3,913.72","3,913.72","3,872.11",,-1.18%
2023-09-25,3918.52,"3,901.39","3,921.67","3,885.22",,1.04%
2023-09-22,3878.14,"3,849.94","3,900.12","3,838.41",,-0.38%
2023-09-21,3892.98,"3,934.13","3,934.13","3,886.73",,-1.80%
2023-09-20,3964.44,"3,969.86","3,986.52","3,957.99",,-0.32%
2023-09-19,3977.02,"4,000.46","4,000.46","3,955.57",,-1.24%
2023-09-15,4027.0,"3,993.47","4,035.53","3,985.81",,1.56%
2023-09-14,3965.12,"3,928.06","3,976.26","3,921.57",,1.46%
2023-09-13,3908.14,"3,920.32","3,937.76","3,902.25",,-1.05%
2023-09-12,3949.77,"3,938.29","3,954.50","3,903.27",,0.63%
2023-09-11,3924.94,"3,957.28","3,962.32","3,918.79",,-0.76%
2023-09-08,3954.87,"3,985.82","3,996.66","3,944.26",,-1.48%
2023-09-07,4014.15,"4,043.03","4,054.68","4,010.66",,-1.33%
2023-09-06,4068.14,"4,046.77","4,074.91","4,045.30",,0.94%
2023-09-05,4030.09,"4,016.54","4,030.09","3,997.09",,0.24%
2023-09-04,4020.35,"4,019.80","4,020.54","3,999.57",,0.33%
2023-09-01,4007.22,"3,981.55","4,021.10","3,981.55",,0.81%
2023-08-31,3974.86,"3,958.94","3,987.24","3,953.36",,0.54%
2023-08-30,3953.39,"3,958.06","3,976.45","3,949.18",,0.83%
2023-08-29,3920.72,"3,937.69","3,942.00","3,915.81",,-0.38%
