"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","1,058.27","1,062.28","1,065.93","1,056.79","","-1.87%"
"2023-10-18","1,078.45","1,090.80","1,091.16","1,073.98","","-0.50%"
"2023-10-17","1,083.87","1,093.44","1,099.14","1,079.47","","-0.21%"
"2023-10-16","1,086.20","1,089.28","1,101.69","1,083.23","","-0.47%"
"2023-10-13","1,091.33","1,093.98","1,100.98","1,088.48","","-1.27%"
"2023-10-12","1,105.33","1,090.57","1,105.86","1,090.57","","1.69%"
"2023-10-11","1,086.96","1,089.49","1,097.24","1,086.10","","-0.23%"
"2023-10-10","1,089.45","1,077.44","1,093.65","1,077.44","","2.79%"
"2023-10-06","1,059.93","1,057.87","1,067.52","1,052.60","","0.20%"
"2023-10-05","1,057.77","1,044.45","1,059.14","1,037.98","","1.48%"
"2023-10-04","1,042.36","1,062.83","1,062.83","1,038.27","","-3.30%"
"2023-10-03","1,077.94","1,108.90","1,108.90","1,076.73","","-3.62%"
"2023-10-02","1,118.41","1,129.30","1,142.06","1,118.41","","-0.28%"
"2023-09-29","1,121.51","1,145.24","1,145.24","1,115.64","","-1.59%"
"2023-09-28","1,139.64","1,147.85","1,161.53","1,137.25","","-1.78%"
"2023-09-27","1,160.27","1,153.67","1,160.27","1,144.77","","-0.01%"
"2023-09-26","1,160.44","1,172.71","1,172.71","1,160.44","","-0.70%"
"2023-09-25","1,168.63","1,173.51","1,173.80","1,162.78","","0.28%"
"2023-09-22","1,165.39","1,167.13","1,172.34","1,154.34","","-1.23%"
"2023-09-21","1,179.86","1,185.90","1,198.24","1,176.41","","-0.08%"
"2023-09-20","1,180.85","1,194.31","1,194.52","1,180.44","","-0.82%"
"2023-09-19","1,190.56","1,170.51","1,191.62","1,169.19","","1.53%"
"2023-09-15","1,172.65","1,172.82","1,181.86","1,168.02","","0.92%"
"2023-09-14","1,161.91","1,155.83","1,164.92","1,152.45","","1.16%"
"2023-09-13","1,148.57","1,137.60","1,151.05","1,135.80","","1.01%"
"2023-09-12","1,137.12","1,133.94","1,139.72","1,129.71","","1.22%"
"2023-09-11","1,123.42","1,132.94","1,134.29","1,119.86","","-0.26%"
"2023-09-08","1,126.31","1,141.61","1,144.27","1,125.52","","-2.20%"
"2023-09-07","1,151.67","1,164.29","1,168.08","1,151.58","","-1.42%"
"2023-09-06","1,168.29","1,157.46","1,170.56","1,156.86","","0.94%"
"2023-09-05","1,157.38","1,155.86","1,157.38","1,143.93","","0.02%"
"2023-09-04","1,157.17","1,146.82","1,157.17","1,143.34","","1.57%"
"2023-09-01","1,139.32","1,127.96","1,142.66","1,127.96","","0.78%"
"2023-08-31","1,130.51","1,125.77","1,133.57","1,123.38","","0.29%"
"2023-08-30","1,127.28","1,129.34","1,132.51","1,124.79","","0.27%"
"2023-08-29","1,124.29","1,124.75","1,130.50","1,120.60","","0.39%"
"2023-08-28","1,119.89","1,113.82","1,122.54","1,113.04","","1.08%"
"2023-08-25","1,107.93","1,105.06","1,108.48","1,103.91","","-0.98%"
"2023-08-24","1,118.84","1,112.74","1,122.45","1,108.46","","0.50%"
"2023-08-23","1,113.23","1,092.56","1,113.58","1,091.13","","1.61%"
"2023-08-22","1,095.58","1,086.45","1,095.58","1,085.86","","1.00%"
"2023-08-21","1,084.75","1,085.97","1,090.09","1,081.39","","-0.31%"
"2023-08-18","1,088.10","1,084.43","1,091.24","1,081.22","","-0.07%"
"2023-08-17","1,088.85","1,083.32","1,090.44","1,070.41","","0.13%"
"2023-08-16","1,087.48","1,094.15","1,095.37","1,087.48","","-1.97%"
"2023-08-15","1,109.31","1,116.24","1,117.52","1,108.00","","-0.45%"
"2023-08-14","1,114.36","1,119.95","1,132.74","1,111.18","","-0.45%"
"2023-08-10","1,119.44","1,112.54","1,119.73","1,096.88","","0.15%"
"2023-08-09","1,117.81","1,129.67","1,131.19","1,116.68","","-0.29%"
"2023-08-08","1,121.04","1,122.94","1,129.39","1,118.49","","-0.12%"
"2023-08-07","1,122.39","1,118.79","1,122.48","1,113.12","","-0.12%"
"2023-08-04","1,123.79","1,121.97","1,131.26","1,117.10","","-0.56%"
"2023-08-03","1,130.17","1,159.51","1,160.01","1,129.20","","-4.08%"
"2023-08-02","1,178.26","1,166.09","1,201.70","1,161.47","","0.24%"
"2023-08-01","1,175.41","1,168.62","1,177.03","1,167.73","","1.09%"
"2023-07-31","1,162.77","1,157.19","1,165.29","1,152.24","","1.45%"
"2023-07-28","1,146.20","1,142.67","1,147.19","1,125.31","","-0.46%"
"2023-07-27","1,151.54","1,142.79","1,152.24","1,139.27","","0.18%"
"2023-07-26","1,149.45","1,154.93","1,154.93","1,142.90","","-0.61%"
"2023-07-25","1,156.55","1,138.98","1,156.55","1,136.35","","2.25%"
"2023-07-24","1,131.08","1,124.34","1,134.88","1,122.26","","1.29%"
"2023-07-21","1,116.62","1,113.73","1,118.96","1,106.75","","0.26%"
"2023-07-20","1,113.77","1,115.36","1,118.52","1,110.38","","-0.22%"
"2023-07-19","1,116.22","1,114.83","1,116.41","1,108.82","","1.24%"
"2023-07-18","1,102.60","1,101.33","1,106.84","1,097.14","","0.02%"
"2023-07-14","1,102.39","1,107.96","1,108.42","1,096.73","","0.39%"
"2023-07-13","1,098.13","1,096.84","1,105.26","1,092.96","","0.71%"
"2023-07-12","1,090.44","1,105.27","1,105.35","1,087.38","","-0.82%"
"2023-07-11","1,099.42","1,102.31","1,106.93","1,096.99","","0.26%"
"2023-07-10","1,096.54","1,108.96","1,108.96","1,092.95","","-0.28%"
"2023-07-07","1,099.65","1,098.80","1,109.19","1,095.62","","-1.12%"
"2023-07-06","1,112.10","1,121.38","1,123.21","1,109.22","","-1.82%"
"2023-07-05","1,132.72","1,124.01","1,132.72","1,119.49","","0.33%"
"2023-07-04","1,129.01","1,129.27","1,134.13","1,127.91","","0.05%"
"2023-07-03","1,128.47","1,122.44","1,131.76","1,122.44","","1.24%"
"2023-06-30","1,114.67","1,115.63","1,118.57","1,106.34","","-0.24%"
"2023-06-29","1,117.39","1,118.79","1,128.82","1,114.57","","0.34%"
"2023-06-28","1,113.60","1,100.16","1,113.60","1,097.56","","2.00%"
"2023-06-27","1,091.73","1,100.45","1,101.77","1,085.19","","-0.25%"
"2023-06-26","1,094.51","1,096.41","1,103.93","1,089.51","","0.23%"
"2023-06-23","1,091.98","1,112.56","1,116.25","1,083.99","","-2.22%"
"2023-06-22","1,116.81","1,117.21","1,124.25","1,114.93","","0.13%"
"2023-06-21","1,115.35","1,099.18","1,116.60","1,098.20","","0.55%"
"2023-06-20","1,109.29","1,112.00","1,114.90","1,105.63","","-0.75%"
"2023-06-19","1,117.72","1,144.95","1,144.95","1,114.20","","-1.81%"
"2023-06-16","1,138.33","1,134.32","1,144.81","1,132.18","","0.14%"
"2023-06-15","1,136.72","1,131.65","1,143.06","1,129.68","","-0.23%"
"2023-06-14","1,139.37","1,116.18","1,142.97","1,115.78","","3.37%"
"2023-06-13","1,102.25","1,094.54","1,106.18","1,093.51","","0.85%"
"2023-06-12","1,092.91","1,089.33","1,095.45","1,088.59","","0.67%"
"2023-06-09","1,085.64","1,079.58","1,087.03","1,079.58","","1.04%"
"2023-06-08","1,074.42","1,087.29","1,090.44","1,068.63","","-0.64%"
"2023-06-07","1,081.37","1,095.61","1,100.50","1,081.37","","-0.56%"
"2023-06-06","1,087.51","1,070.31","1,087.51","1,066.31","","0.68%"
"2023-06-05","1,080.18","1,074.87","1,082.14","1,074.04","","2.12%"
"2023-06-02","1,057.79","1,038.08","1,058.16","1,036.08","","2.26%"
"2023-06-01","1,034.37","1,030.50","1,035.67","1,028.47","","-0.09%"
"2023-05-31","1,035.28","1,043.80","1,047.30","1,035.28","","-2.22%"
"2023-05-30","1,058.76","1,056.13","1,060.74","1,051.45","","-0.13%"
"2023-05-29","1,060.19","1,067.13","1,069.38","1,059.22","","0.92%"
"2023-05-26","1,050.51","1,055.09","1,056.59","1,049.51","","-0.57%"
"2023-05-25","1,056.51","1,055.07","1,059.60","1,052.11","","-0.69%"
"2023-05-24","1,063.85","1,066.74","1,069.39","1,062.10","","-0.21%"
"2023-05-23","1,066.13","1,073.36","1,077.37","1,062.35","","-0.33%"
"2023-05-22","1,069.67","1,062.48","1,069.67","1,055.51","","0.97%"
"2023-05-19","1,059.39","1,060.15","1,065.29","1,056.66","","0.11%"
"2023-05-18","1,058.21","1,056.01","1,058.21","1,050.07","","1.13%"
"2023-05-17","1,046.42","1,053.78","1,057.35","1,045.09","","-1.14%"
"2023-05-16","1,058.52","1,067.94","1,068.65","1,054.43","","-0.28%"
"2023-05-15","1,061.53","1,047.16","1,062.01","1,044.73","","1.25%"
"2023-05-12","1,048.47","1,059.50","1,062.03","1,048.07","","-0.94%"
"2023-05-11","1,058.40","1,091.80","1,093.85","1,057.62","","-4.34%"
"2023-05-10","1,106.44","1,119.78","1,119.85","1,104.53","","-0.72%"
"2023-05-09","1,114.46","1,109.44","1,114.46","1,105.44","","0.65%"
"2023-05-08","1,107.31","1,104.94","1,109.28","1,097.89","","0.61%"
"2023-05-02","1,100.57","1,105.56","1,106.30","1,097.01","","-0.32%"
"2023-05-01","1,104.15","1,107.69","1,108.06","1,099.94","","0.73%"
"2023-04-28","1,096.13","1,095.91","1,096.13","1,088.43","","0.80%"
"2023-04-27","1,087.38","1,077.55","1,088.17","1,076.98","","0.67%"
"2023-04-26","1,080.15","1,075.07","1,081.48","1,072.31","","-0.67%"
"2023-04-25","1,087.45","1,099.62","1,102.66","1,087.44","","-0.74%"
"2023-04-24","1,095.52","1,098.12","1,098.12","1,094.17","","-0.37%"
"2023-04-21","1,099.57","1,095.09","1,104.58","1,094.76","","-0.78%"
"2023-04-20","1,108.18","1,102.82","1,109.05","1,102.82","","-0.22%"
"2023-04-19","1,110.67","1,107.21","1,111.91","1,106.11","","0.75%"
"2023-04-18","1,102.35","1,102.73","1,105.73","1,097.23","","-0.31%"
"2023-04-17","1,105.77","1,103.09","1,106.54","1,096.34","","0.29%"
"2023-04-14","1,102.61","1,095.40","1,104.41","1,095.40","","0.71%"
"2023-04-13","1,094.88","1,096.18","1,096.61","1,091.36","","-0.45%"
"2023-04-12","1,099.85","1,103.18","1,104.47","1,097.93","","0.22%"
"2023-04-11","1,097.48","1,090.74","1,098.36","1,084.57","","1.69%"
"2023-04-10","1,079.29","1,085.39","1,086.14","1,076.54","","0.83%"
"2023-04-07","1,070.42","1,064.50","1,070.77","1,064.39","","0.59%"
"2023-04-06","1,064.10","1,068.94","1,070.17","1,061.06","","-1.63%"
"2023-04-05","1,081.68","1,089.72","1,090.49","1,079.69","","-2.14%"
"2023-04-04","1,105.37","1,108.23","1,112.23","1,101.44","","0.10%"
"2023-04-03","1,104.23","1,100.34","1,104.37","1,095.51","","0.79%"
"2023-03-31","1,095.54","1,094.18","1,103.81","1,094.13","","0.87%"
"2023-03-30","1,086.08","1,091.21","1,093.27","1,078.98","","-1.24%"
"2023-03-29","1,099.73","1,092.58","1,099.73","1,089.93","","1.46%"
"2023-03-28","1,083.91","1,080.02","1,088.94","1,078.83","","1.18%"
"2023-03-27","1,071.22","1,071.68","1,073.33","1,064.77","","0.62%"
"2023-03-24","1,064.59","1,069.51","1,069.51","1,059.79","","-0.53%"
"2023-03-23","1,070.26","1,053.18","1,070.76","1,049.19","","1.05%"
"2023-03-22","1,059.17","1,061.22","1,061.22","1,053.61","","1.58%"
"2023-03-20","1,042.71","1,044.36","1,056.24","1,042.27","","-0.69%"
"2023-03-17","1,049.99","1,058.07","1,058.11","1,040.10","","-0.27%"
"2023-03-16","1,052.82","1,068.24","1,068.89","1,045.12","","-3.44%"
"2023-03-15","1,090.34","1,088.20","1,093.49","1,082.44","","1.66%"
"2023-03-14","1,072.54","1,086.88","1,087.31","1,067.08","","-2.92%"
"2023-03-13","1,104.79","1,113.73","1,113.73","1,096.14","","-2.10%"
"2023-03-10","1,128.45","1,134.28","1,138.09","1,125.05","","-1.47%"
"2023-03-09","1,145.24","1,143.68","1,147.46","1,140.75","","1.03%"
"2023-03-08","1,133.52","1,135.63","1,138.46","1,130.78","","-1.08%"
"2023-03-07","1,145.94","1,130.06","1,146.70","1,130.06","","1.17%"
"2023-03-06","1,132.70","1,133.82","1,136.43","1,130.86","","0.41%"
"2023-03-03","1,128.12","1,126.35","1,132.55","1,120.42","","0.48%"
"2023-03-02","1,122.77","1,127.44","1,141.86","1,122.38","","0.79%"
"2023-03-01","1,113.96","1,096.06","1,114.71","1,096.06","","2.13%"
"2023-02-28","1,090.74","1,105.78","1,107.35","1,090.07","","-0.87%"
"2023-02-27","1,100.28","1,093.47","1,101.55","1,093.47","","0.27%"
"2023-02-24","1,097.29","1,097.64","1,101.13","1,091.27","","-0.56%"
"2023-02-22","1,103.52","1,115.20","1,116.56","1,100.73","","-1.54%"
"2023-02-21","1,120.76","1,109.74","1,123.40","1,108.78","","1.67%"
"2023-02-20","1,102.32","1,106.02","1,106.06","1,096.79","","-0.11%"
"2023-02-17","1,103.53","1,094.36","1,103.53","1,094.36","","0.04%"
"2023-02-16","1,103.12","1,099.58","1,104.43","1,098.73","","0.66%"
"2023-02-15","1,095.94","1,096.91","1,097.94","1,090.75","","0.60%"
"2023-02-14","1,089.44","1,090.14","1,093.04","1,085.64","","0.99%"
"2023-02-13","1,078.74","1,082.88","1,083.14","1,072.36","","-1.22%"
"2023-02-10","1,092.05","1,099.32","1,105.65","1,090.58","","-0.52%"
"2023-02-09","1,097.71","1,086.69","1,098.72","1,086.49","","1.29%"
"2023-02-08","1,083.77","1,087.08","1,087.90","1,075.77","","-0.39%"
"2023-02-07","1,087.99","1,088.43","1,091.35","1,084.33","","-0.59%"
"2023-02-06","1,094.46","1,094.30","1,097.70","1,089.96","","1.36%"
"2023-02-03","1,079.76","1,079.15","1,086.58","1,075.94","","-0.25%"
"2023-02-02","1,082.51","1,090.15","1,092.90","1,077.49","","-0.95%"
"2023-02-01","1,092.87","1,101.60","1,104.26","1,092.36","","-0.34%"
"2023-01-31","1,096.60","1,094.43","1,102.17","1,093.98","","0.16%"
"2023-01-30","1,094.80","1,098.54","1,100.22","1,089.93","","-0.75%"
"2023-01-27","1,103.05","1,106.76","1,106.76","1,097.27","","-0.18%"
"2023-01-26","1,105.07","1,107.61","1,110.39","1,099.87","","0.03%"
"2023-01-25","1,104.70","1,093.23","1,107.10","1,093.07","","0.60%"
"2023-01-24","1,098.14","1,090.34","1,104.11","1,089.82","","1.32%"
"2023-01-23","1,083.86","1,087.32","1,087.62","1,080.27","","0.70%"
"2023-01-20","1,076.32","1,062.40","1,076.37","1,055.95","","1.44%"
"2023-01-19","1,061.06","1,071.76","1,074.75","1,059.25","","-1.34%"
"2023-01-18","1,075.51","1,061.11","1,085.83","1,056.08","","1.55%"
"2023-01-17","1,059.05","1,049.55","1,061.99","1,047.70","","1.51%"
"2023-01-16","1,043.31","1,053.00","1,056.13","1,042.54","","-2.13%"
"2023-01-13","1,066.02","1,073.41","1,076.23","1,064.48","","-0.87%"
"2023-01-12","1,075.40","1,062.26","1,080.47","1,062.26","","2.02%"
"2023-01-11","1,054.14","1,049.66","1,055.47","1,046.98","","1.33%"
"2023-01-10","1,040.28","1,032.38","1,045.10","1,030.96","","1.60%"
"2023-01-06","1,023.90","1,009.81","1,027.01","1,007.35","","1.62%"
"2023-01-05","1,007.56","1,010.58","1,014.94","1,002.92","","-0.21%"
"2023-01-04","1,009.69","1,023.96","1,024.91","1,008.72","","-2.51%"
"2022-12-30","1,035.70","1,041.63","1,042.75","1,035.06","","-0.04%"
