"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","2,065.08","2,054.38","2,073.49","2,054.12","","-0.04%"
"2023-10-18","2,065.96","2,048.72","2,069.91","2,044.06","","0.20%"
"2023-10-17","2,061.92","2,071.61","2,080.73","2,055.96","","0.01%"
"2023-10-16","2,061.64","2,087.18","2,087.18","2,057.03","","-1.47%"
"2023-10-13","2,092.46","2,093.94","2,098.70","2,085.50","","-0.96%"
"2023-10-12","2,112.65","2,116.35","2,119.42","2,103.83","","0.06%"
"2023-10-11","2,111.39","2,118.65","2,121.82","2,110.04","","-0.47%"
"2023-10-10","2,121.27","2,114.22","2,127.58","2,114.22","","0.91%"
"2023-10-06","2,102.24","2,083.66","2,111.04","2,080.38","","1.15%"
"2023-10-05","2,078.35","2,055.28","2,083.66","2,051.27","","1.58%"
"2023-10-04","2,045.95","2,061.21","2,064.82","2,042.73","","-1.79%"
"2023-10-03","2,083.16","2,095.33","2,097.13","2,076.66","","-0.56%"
"2023-10-02","2,094.91","2,108.95","2,125.78","2,094.45","","-0.47%"
"2023-09-29","2,104.80","2,121.15","2,122.05","2,096.07","","-0.74%"
"2023-09-28","2,120.50","2,125.41","2,134.70","2,107.50","","-0.99%"
"2023-09-27","2,141.69","2,126.85","2,141.69","2,112.49","","0.36%"
"2023-09-26","2,134.09","2,138.96","2,144.46","2,132.83","","-0.32%"
"2023-09-25","2,140.91","2,120.56","2,144.76","2,118.57","","1.22%"
"2023-09-22","2,115.02","2,107.84","2,123.43","2,102.44","","-0.37%"
"2023-09-21","2,122.88","2,133.33","2,139.52","2,120.05","","-0.48%"
"2023-09-20","2,133.11","2,148.65","2,150.63","2,131.76","","-0.82%"
"2023-09-19","2,150.70","2,151.57","2,159.35","2,138.96","","-0.15%"
"2023-09-15","2,153.86","2,147.66","2,162.10","2,146.11","","0.35%"
"2023-09-14","2,146.38","2,138.56","2,149.97","2,133.89","","0.85%"
"2023-09-13","2,128.33","2,135.84","2,139.79","2,128.07","","-0.64%"
"2023-09-12","2,142.05","2,126.21","2,142.48","2,126.21","","0.95%"
"2023-09-11","2,121.89","2,138.07","2,138.75","2,115.12","","-0.33%"
"2023-09-08","2,128.93","2,133.68","2,136.30","2,119.06","","-0.31%"
"2023-09-07","2,135.53","2,122.51","2,145.31","2,122.51","","0.59%"
"2023-09-06","2,123.01","2,133.62","2,136.46","2,119.93","","-0.43%"
"2023-09-05","2,132.13","2,133.60","2,141.97","2,121.85","","0.05%"
"2023-09-04","2,131.07","2,119.17","2,131.07","2,116.77","","0.36%"
"2023-09-01","2,123.40","2,107.06","2,126.41","2,107.06","","0.60%"
"2023-08-31","2,110.81","2,106.45","2,112.91","2,102.32","","0.44%"
"2023-08-30","2,101.59","2,095.74","2,110.93","2,093.30","","0.33%"
"2023-08-29","2,094.63","2,094.73","2,102.94","2,091.80","","0.14%"
"2023-08-28","2,091.79","2,074.05","2,092.87","2,071.91","","1.59%"
"2023-08-25","2,059.00","2,061.55","2,071.57","2,056.38","","-0.70%"
"2023-08-24","2,073.55","2,060.35","2,075.22","2,058.64","","0.65%"
"2023-08-23","2,060.16","2,040.15","2,061.26","2,039.88","","0.74%"
"2023-08-22","2,044.96","2,024.84","2,045.60","2,023.99","","0.81%"
"2023-08-21","2,028.43","2,021.99","2,038.43","2,021.99","","0.38%"
"2023-08-18","2,020.67","2,028.05","2,033.92","2,014.52","","-1.12%"
"2023-08-17","2,043.50","2,055.09","2,055.09","2,032.82","","-0.35%"
"2023-08-16","2,050.61","2,044.41","2,058.21","2,042.58","","-0.12%"
"2023-08-15","2,053.12","2,053.32","2,055.47","2,047.51","","0.13%"
"2023-08-14","2,050.40","2,061.48","2,069.03","2,046.67","","-0.65%"
"2023-08-10","2,063.78","2,040.45","2,064.40","2,040.45","","1.26%"
