"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","1,601.81","1,571.41","1,602.85","1,569.89","","2.23%"
"2020-05-25","1,566.91","1,565.71","1,571.94","1,558.85","","0.81%"
"2020-05-22","1,554.39","1,564.74","1,565.38","1,550.39","","-0.85%"
"2020-05-21","1,567.68","1,573.20","1,574.38","1,567.64","","-0.43%"
"2020-05-20","1,574.47","1,573.86","1,581.01","1,573.44","","-0.07%"
"2020-05-19","1,575.64","1,584.62","1,589.11","1,572.09","","0.35%"
"2020-05-18","1,570.15","1,558.61","1,571.11","1,556.74","","1.45%"
"2020-05-15","1,547.64","1,565.12","1,565.59","1,533.86","","-0.80%"
"2020-05-14","1,560.14","1,581.51","1,581.51","1,560.14","","-1.12%"
"2020-05-13","1,577.76","1,569.88","1,580.18","1,563.52","","0.11%"
"2020-05-12","1,575.99","1,570.12","1,581.28","1,570.12","","0.72%"
"2020-05-11","1,564.70","1,552.88","1,572.89","1,551.26","","1.23%"
"2020-05-08","1,545.76","1,541.60","1,548.27","1,539.78","","0.98%"
"2020-05-07","1,530.81","1,513.60","1,535.34","1,511.11","","0.21%"
"2020-05-01","1,527.59","1,544.91","1,557.22","1,521.55","","-1.46%"
"2020-04-30","1,550.28","1,587.91","1,587.91","1,550.28","","-0.97%"
"2020-04-28","1,565.48","1,568.76","1,568.76","1,554.53","","-0.47%"
"2020-04-27","1,572.90","1,575.27","1,576.80","1,563.78","","0.22%"
"2020-04-24","1,569.39","1,569.49","1,569.49","1,554.97","","0.15%"
"2020-04-23","1,567.06","1,553.74","1,567.06","1,553.44","","1.17%"
"2020-04-22","1,549.01","1,547.66","1,556.12","1,535.56","","-0.59%"
"2020-04-21","1,558.26","1,547.46","1,562.11","1,544.16","","0.16%"
"2020-04-20","1,555.84","1,547.48","1,559.20","1,547.12","","-0.28%"
"2020-04-17","1,560.15","1,577.63","1,577.63","1,553.29","","-0.40%"
"2020-04-16","1,566.35","1,558.63","1,569.57","1,553.73","","0.02%"
"2020-04-15","1,566.06","1,546.84","1,567.45","1,543.73","","1.22%"
"2020-04-14","1,547.13","1,536.19","1,549.23","1,535.04","","1.42%"
"2020-04-13","1,525.45","1,530.14","1,538.79","1,521.99","","-1.15%"
"2020-04-10","1,543.14","1,538.59","1,544.37","1,517.43","","0.13%"
"2020-04-09","1,541.07","1,562.56","1,568.18","1,521.82","","-1.88%"
"2020-04-08","1,570.57","1,542.22","1,578.68","1,534.38","","2.20%"
"2020-04-07","1,536.77","1,540.36","1,544.52","1,511.99","","0.73%"
"2020-04-06","1,525.56","1,497.25","1,532.35","1,491.81","","2.22%"
"2020-04-03","1,492.39","1,505.98","1,525.97","1,485.66","","-0.55%"
"2020-04-02","1,500.61","1,514.11","1,531.84","1,500.61","","-1.24%"
"2020-04-01","1,519.52","1,550.63","1,558.37","1,511.18","","-2.72%"
"2020-03-31","1,561.96","1,606.39","1,607.29","1,559.18","","-3.36%"
"2020-03-30","1,616.25","1,569.85","1,616.25","1,562.31","","1.19%"
"2020-03-27","1,597.32","1,561.15","1,597.32","1,543.16","","4.27%"
"2020-03-26","1,531.93","1,517.80","1,543.80","1,486.03","","-0.14%"
"2020-03-25","1,534.06","1,473.10","1,534.06","1,470.15","","5.97%"
"2020-03-24","1,447.70","1,474.04","1,492.57","1,431.90","","-0.12%"
"2020-03-23","1,449.45","1,440.46","1,457.52","1,413.23","","0.23%"
"2020-03-19","1,446.11","1,427.89","1,462.48","1,421.51","","2.87%"
"2020-03-18","1,405.72","1,393.38","1,443.31","1,390.01","","2.07%"
"2020-03-17","1,377.24","1,315.96","1,387.76","1,301.15","","3.82%"
"2020-03-16","1,326.55","1,362.88","1,372.15","1,322.80","","-2.22%"
"2020-03-13","1,356.63","1,396.14","1,398.57","1,306.56","","-4.86%"
"2020-03-12","1,425.89","1,446.49","1,447.68","1,398.58","","-2.88%"
"2020-03-11","1,468.22","1,467.81","1,494.03","1,464.48","","0.29%"
"2020-03-10","1,464.02","1,437.19","1,470.88","1,396.72","","0.61%"
"2020-03-09","1,455.20","1,488.06","1,488.41","1,443.70","","-4.09%"
"2020-03-06","1,517.20","1,532.32","1,539.77","1,513.97","","-2.14%"
"2020-03-05","1,550.31","1,549.40","1,556.20","1,542.52","","1.49%"
"2020-03-04","1,527.51","1,515.96","1,539.65","1,510.64","","-0.02%"
"2020-03-03","1,527.88","1,566.74","1,572.95","1,527.88","","-1.04%"
"2020-03-02","1,543.87","1,504.84","1,552.30","1,504.77","","1.48%"
"2020-02-28","1,521.38","1,541.58","1,543.62","1,511.94","","-3.09%"
"2020-02-27","1,569.81","1,586.36","1,587.21","1,564.16","","-1.36%"
"2020-02-26","1,591.52","1,582.86","1,597.09","1,578.43","","-0.47%"
"2020-02-25","1,599.11","1,633.48","1,633.63","1,599.11","","-3.93%"
"2020-02-21","1,664.56","1,671.40","1,675.44","1,663.24","","-0.70%"
"2020-02-20","1,676.37","1,687.64","1,690.50","1,673.94","","-0.21%"
"2020-02-19","1,679.97","1,677.43","1,688.31","1,676.16","","0.47%"
"2020-02-18","1,672.19","1,677.51","1,683.11","1,671.70","","-0.62%"
"2020-02-17","1,682.70","1,703.20","1,703.20","1,681.75","","-2.07%"
"2020-02-14","1,718.24","1,717.65","1,723.88","1,711.62","","-0.49%"
"2020-02-13","1,726.75","1,723.12","1,726.75","1,714.45","","-0.57%"
"2020-02-12","1,736.69","1,744.66","1,745.43","1,734.57","","-0.59%"
"2020-02-10","1,746.96","1,736.03","1,748.56","1,734.20","","0.12%"
"2020-02-07","1,744.89","1,760.01","1,761.64","1,744.16","","-0.77%"
"2020-02-06","1,758.39","1,755.58","1,772.82","1,754.08","","0.86%"
"2020-02-05","1,743.48","1,731.30","1,748.41","1,730.04","","1.38%"
