Date,Price,Open,High,Low,Vol.,Change %
2011-08-17,776.65,775.38,778.02,771.12,161.09K,-0.31%
2011-08-18,767.31,775.57,775.66,765.91,173.94K,-1.20%
2011-08-19,751.69,753.27,756.08,749.45,204.70K,-2.04%
2011-08-22,742.84,748.51,752.86,742.13,196.61K,-1.18%
2011-08-23,750.39,747.97,751.85,742.76,209.05K,1.02%
2011-08-24,742.24,756.95,759.40,740.51,218.09K,-1.09%
2011-08-25,751.82,749.93,759.34,749.21,205.82K,1.29%
2011-08-26,756.07,750.82,756.35,749.99,189.33K,0.57%
2011-08-29,758.83,757.21,765.64,751.53,195.47K,0.37%
2011-08-30,767.30,768.00,773.31,766.37,183.24K,1.12%
2011-08-31,770.60,767.14,771.18,764.48,185.80K,0.43%
2011-09-01,778.28,776.04,780.99,774.52,170.51K,1.00%
2011-09-02,769.78,772.42,774.26,766.38,171.45K,-1.09%
2011-09-05,755.82,760.77,762.15,753.46,159.51K,-1.81%
2011-09-06,741.20,750.31,750.34,740.39,210.13K,-1.93%
2011-09-07,753.63,750.87,755.29,748.43,175.97K,1.68%
2011-09-08,757.41,761.76,763.08,754.12,146.27K,0.50%
2011-09-09,755.70,754.60,760.52,754.60,220.90K,-0.23%
2011-09-12,741.26,742.61,743.09,738.80,169.39K,-1.91%
2011-09-13,749.82,745.40,751.75,741.90,168.95K,1.15%
2011-09-14,741.69,749.81,753.56,740.58,177.64K,-1.08%
2011-09-15,751.76,750.53,754.92,749.46,168.61K,1.36%
2011-09-16,768.13,760.41,768.42,759.56,192.64K,2.18%
2011-09-20,755.04,760.62,760.74,753.37,141.62K,-1.70%
2011-09-21,757.13,755.50,758.93,754.39,144.20K,0.28%
2011-09-22,744.54,749.56,749.77,740.85,170.41K,-1.66%
2011-09-26,728.85,744.06,744.28,727.33,212.77K,-2.11%
2011-09-27,748.55,738.64,748.55,737.55,188.39K,2.70%
2011-09-28,754.07,746.96,755.60,746.59,185.95K,0.74%
2011-09-29,762.30,747.78,762.30,747.26,215.88K,1.09%
2011-09-30,761.17,764.06,765.89,755.56,201.32K,-0.15%
2011-10-03,747.11,748.80,749.67,735.94,192.22K,-1.85%
2011-10-04,736.18,737.20,737.61,729.80,206.92K,-1.46%
2011-10-05,726.25,739.36,739.81,724.77,206.77K,-1.35%
2011-10-06,736.86,732.60,740.28,732.25,162.81K,1.46%
2011-10-07,741.55,742.98,748.64,740.95,161.83K,0.64%
2011-10-11,755.00,752.38,757.93,751.83,156.64K,1.81%
2011-10-12,753.44,750.71,754.92,747.25,152.45K,-0.21%
2011-10-13,758.83,761.08,762.02,758.00,157.85K,0.72%
2011-10-14,748.81,752.81,753.87,748.71,156.17K,-1.32%
2011-10-17,761.88,759.36,763.85,757.93,145.31K,1.75%
2011-10-18,751.24,752.62,754.94,749.64,116.97K,-1.40%
2011-10-19,751.49,756.34,757.88,749.62,129.87K,0.03%
2011-10-20,746.02,749.73,749.88,742.72,145.79K,-0.73%
2011-10-21,744.21,744.77,746.59,741.87,131.97K,-0.24%
2011-10-24,755.44,749.25,755.55,749.14,133.94K,1.51%
2011-10-25,747.70,757.60,757.85,747.04,143.87K,-1.02%
2011-10-26,746.48,741.78,751.21,736.50,146.10K,-0.16%
2011-10-27,762.79,748.11,763.04,744.28,180.53K,2.18%
2011-10-28,771.43,774.11,777.39,769.94,216.38K,1.13%
2011-10-31,764.06,768.55,779.08,764.06,177.91K,-0.96%
2011-11-01,754.50,757.77,761.04,753.39,146.68K,-1.25%
2011-11-02,738.58,745.07,745.21,737.21,176.72K,-2.11%
2011-11-04,752.02,747.69,752.85,745.38,167.14K,1.82%
2011-11-07,750.45,749.96,750.45,747.06,145.02K,-0.21%
2011-11-08,738.03,747.57,749.93,736.89,184.60K,-1.66%
2011-11-09,749.40,744.06,749.87,740.90,180.04K,1.54%
2011-11-10,730.30,735.64,735.64,727.72,196.35K,-2.55%
2011-11-11,729.13,731.54,733.19,726.24,166.39K,-0.16%
2011-11-14,735.85,738.04,739.91,733.93,141.43K,0.92%
2011-11-15,730.91,731.82,735.04,729.97,122.80K,-0.67%
2011-11-16,724.11,730.57,731.61,723.58,134.57K,-0.93%
2011-11-17,727.71,720.63,728.63,717.78,152.09K,0.50%
2011-11-18,719.98,719.57,721.47,717.61,145.08K,-1.06%
