dates,JPYBEI5Y,JPYBEI10Y,USDBEI5Y,USDBEI10Y,JPYZeroRate1M,JPYZeroRate5Y,JPYZeroRate10Y,USDZeroRate1M,USDZeroRate5Y,USDZeroRate10Y,JPYFXImpliedRate1M,JPYFXImpliedRate5Y,JPYFXImpliedRate10Y,USDJPYIV1MATM,USDJPYIV5YATM,USDJPYIV10YATM,USDJPY,NK225,SP500,NK225VolatilityIndex,SPXVolatilityIndex
2000/1/3 0:00,,,,,,,,5.82%,7.20%,7.42%,0.42%,,,0.1425,,,101.45,,1455.22,,0.2421
2000/1/4 0:00,,,,,,,,5.81%,7.12%,7.34%,0.52%,,,0.124,,,103.22,19002.86,1399.42,,0.2701
2000/1/5 0:00,,,,,,,,5.79%,7.19%,7.44%,-0.22%,,,0.122,,,104.14,18542.55,1402.11,,0.2641
2000/1/6 0:00,,,,,,,,5.79%,7.14%,7.39%,0.52%,,,0.1305,,,105.23,18168.27,1403.45,,0.2573
2000/1/7 0:00,,,,,,,,5.79%,7.10%,7.33%,0.34%,,,0.1235,,,105.34,18193.41,1441.47,,0.2172
2000/1/10 0:00,,,,,,,,5.78%,7.15%,7.37%,0.47%,,,0.125,,,105.16,,1457.6,,0.2171
2000/1/11 0:00,,,,,,,,5.78%,7.26%,7.50%,0.50%,,,0.1185,,,105.95,18850.92,1438.56,,0.225
2000/1/12 0:00,,,,,,,,5.78%,7.31%,7.52%,0.30%,,,0.117,,,105.79,18677.42,1432.25,,0.2284
2000/1/13 0:00,,,,,,,,5.78%,7.22%,7.47%,0.33%,,,0.1185,,,106.17,18833.29,1449.68,,0.2171
2000/1/14 0:00,,,,,,,,5.79%,7.26%,7.49%,0.31%,,,0.1125,,,105.87,18956.55,1465.15,,0.1966
2000/1/17 0:00,,,,,,,,5.80%,7.27%,7.49%,0.44%,,,0.122,,,104.9,19437.23,,,
2000/1/18 0:00,,,,,,,,5.81%,7.31%,7.57%,0.42%,,,0.114,,,105.67,19196.57,1455.14,,0.215
2000/1/19 0:00,,,,,,,,5.81%,7.30%,7.56%,0.46%,,,0.115,,,105.32,18897.75,1455.9,,0.2172
2000/1/20 0:00,,,,,,,,5.81%,7.32%,7.60%,0.31%,,,0.11,,,105.47,19008.01,1445.57,,0.2175
2000/1/21 0:00,,,,2.39%,,,,5.81%,7.29%,7.55%,0.28%,,,0.115,,,104.78,18878.09,1441.36,,0.2082
2000/1/24 0:00,,,,2.32%,,,,5.82%,7.21%,7.47%,6.06%,,,0.107,,,105.57,19056.71,1401.53,,0.2407
2000/1/25 0:00,,,,2.36%,,,,5.82%,7.23%,7.45%,0.27%,,,0.10625,,,106.04,18895.53,1410.03,,0.2302
2000/1/26 0:00,,,,2.34%,,,,5.82%,7.24%,7.43%,0.64%,,,0.1055,,,105.66,19111.19,1404.09,,0.2303
2000/1/27 0:00,,,,2.37%,,,,5.83%,7.34%,7.47%,0.30%,,,0.106,,,105.12,19209.72,1398.56,,0.2354
2000/1/28 0:00,,,,2.34%,,,,5.86%,7.38%,7.50%,0.28%,,,0.1095,,,107.13,19434.78,1360.16,,0.2614
