日付,終値(電気機器),終値(輸送用機器),終値(情報 - 通信業),終値(卸売業),終値(銀行業),終値(化学),終値(小売業)
2023-10-19,3806.53,4283.28,5139.56,3108.97,260.17,2238.92,1538.87
2023-10-18,3885.93,4344.74,5162.05,3174.77,263.42,2257.31,1543.95
2023-10-17,3882.88,4356.51,5177.67,3164.09,259.17,2260.16,1538.92
2023-10-16,3835.96,4322.2,5115.32,3149.4,258.05,2244.21,1526.38
2023-10-13,3912.55,4370.85,5222.16,3166.63,259.21,2277.86,1552.41
2023-10-12,3959.91,4453.13,5277.65,3201.17,264.58,2303.93,1574.46
2023-10-11,3847.84,4334.46,5254.77,3146.15,262.95,2271.23,1571.01
2023-10-10,3834.5,4299.87,5259.74,3176.28,264.46,2275.89,1580.32
2023-10-06,3753.57,4198.01,5165.82,3045.61,258.45,2241.39,1560.51
2023-10-05,3777.75,4201.73,5177.72,3021.59,259.63,2246.33,1553.32
2023-10-04,3716.5,4054.22,5111.56,2977.97,250.49,2209.93,1529.76
2023-10-03,3797.82,4264.35,5186.89,3090.48,261.64,2237.81,1543.96
2023-10-02,3848.64,4403.21,5215.99,3163.21,265.0,2273.21,1554.87
2023-09-29,3851.72,4394.1,5273.54,3179.12,261.73,2281.14,1576.08
2023-09-28,3852.7,4469.97,5295.22,3240.16,267.92,2292.24,1584.25
2023-09-27,3897.34,4524.56,5399.81,3296.48,271.92,2336.54,1603.36
2023-09-26,3872.12,4494.27,5358.5,3294.97,272.15,2332.94,1604.19
2023-09-25,3918.52,4546.16,5400.5,3313.64,269.12,2345.48,1608.31
2023-09-22,3878.14,4561.21,5341.28,3292.81,276.36,2337.19,1584.37
2023-09-21,3892.98,4564.82,5341.58,3329.89,273.56,2350.73,1595.52
2023-09-20,3964.44,4602.24,5407.98,3358.54,270.76,2369.56,1610.19
2023-09-19,3977.02,4700.92,5449.76,3388.1,273.95,2398.9,1618.37
2023-09-15,4027.0,4606.16,5476.68,3365.23,268.37,2407.17,1633.66
2023-09-14,3965.12,4505.85,5403.17,3327.44,271.6,2395.16,1642.7
2023-09-13,3908.14,4423.49,5375.17,3280.88,269.94,2368.5,1634.5
2023-09-12,3949.77,4385.48,5401.02,3285.61,265.94,2385.7,1625.34
2023-09-11,3924.94,4297.85,5335.81,3301.14,263.83,2361.35,1613.54
2023-09-08,3954.87,4308.86,5323.92,3293.4,252.01,2366.48,1619.65
2023-09-07,4014.15,4355.45,5359.67,3333.81,254.86,2396.73,1634.99
2023-09-06,4068.14,4382.59,5343.12,3339.16,255.5,2414.85,1632.35
2023-09-05,4030.09,4296.67,5311.56,3331.54,252.15,2413.74,1630.3
2023-09-04,4020.35,4300.87,5319.57,3324.4,252.13,2401.82,1625.2
2023-09-01,4007.22,4184.46,5317.42,3261.28,246.62,2380.84,1614.08
2023-08-31,3974.86,4175.34,5303.25,3209.7,242.89,2369.44,1607.36
2023-08-30,3953.39,4097.97,5269.75,3166.75,243.36,2347.47,1595.44
2023-08-29,3920.72,4066.08,5256.16,3158.95,239.98,2338.29,1607.54
2023-08-28,3935.71,4074.38,5239.08,3169.31,240.3,2329.73,1593.46
2023-08-25,3859.4,3993.99,5205.26,3116.16,236.99,2307.0,1595.54
2023-08-24,3939.4,4009.23,5246.51,3145.14,237.73,2325.86,1610.32
2023-08-23,3911.2,4023.91,5199.71,3141.58,236.06,2321.76,1601.77
2023-08-22,3889.16,4009.19,5186.07,3155.81,235.31,2314.27,1590.3
2023-08-21,3842.69,3928.55,5134.44,3103.56,228.63,2299.89,1584.29
2023-08-18,3848.37,3922.77,5106.03,3110.13,229.26,2299.25,1569.56
2023-08-17,3862.76,3957.12,5138.51,3106.76,230.6,2315.7,1596.0
2023-08-16,3865.76,3947.29,5157.01,3149.97,227.94,2328.24,1611.86
2023-08-15,3914.56,4018.54,5199.41,3229.78,233.29,2349.35,1627.24
2023-08-14,3887.7,4005.39,5163.7,3211.69,232.19,2356.53,1623.61
2023-08-10,3954.04,4064.61,5194.64,3252.57,233.72,2378.56,1611.46
2023-08-09,3963.39,3989.06,5171.56,3215.9,230.45,2344.74,1591.49
2023-08-08,3975.46,4039.32,5199.08,3208.52,235.72,2335.37,1590.09
2023-08-07,3980.56,4042.84,5189.01,3185.04,236.09,2332.24,1577.06
2023-08-04,3980.04,4042.59,5157.01,3200.07,237.57,2300.11,1565.07
2023-08-03,3986.74,4015.79,5147.04,3171.56,233.73,2298.4,1554.35
2023-08-02,4065.86,4130.21,5202.2,3209.75,235.1,2330.78,1569.9
2023-08-01,4133.65,4118.61,5289.45,3272.2,237.89,2361.57,1603.32
