日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,1201.85,"1,200.97","1,209.39","1,198.53",,-1.03%
2023-10-18,1214.38,"1,226.69","1,227.64","1,210.52",,-0.59%
2023-10-17,1221.61,"1,227.56","1,231.55","1,214.96",,0.53%
2023-10-16,1215.23,"1,220.08","1,224.98","1,211.74",,-1.02%
2023-10-13,1227.73,"1,235.43","1,240.26","1,225.04",,-1.51%
2023-10-12,1246.6,"1,233.89","1,248.41","1,232.63",,1.82%
2023-10-11,1224.37,"1,226.12","1,232.66","1,221.87",,-0.54%
2023-10-10,1230.96,"1,223.49","1,234.56","1,223.49",,1.90%
2023-10-06,1208.01,"1,204.44","1,213.57","1,200.73",,0.25%
2023-10-05,1205.05,"1,194.08","1,206.78","1,187.72",,1.90%
2023-10-04,1182.53,"1,195.46","1,200.35","1,181.43",,-2.63%
2023-10-03,1214.47,"1,243.45","1,243.45","1,213.57",,-3.02%
2023-10-02,1252.27,"1,257.06","1,273.27","1,252.27",,0.31%
2023-09-29,1248.36,"1,256.04","1,256.55","1,245.05",,-0.38%
2023-09-28,1253.15,"1,261.22","1,263.35","1,248.09",,-1.33%
2023-09-27,1270.08,"1,261.40","1,270.08","1,255.35",,0.03%
2023-09-26,1269.74,"1,278.23","1,278.60","1,267.62",,-0.51%
2023-09-25,1276.29,"1,271.83","1,279.19","1,268.59",,0.54%
2023-09-22,1269.44,"1,265.00","1,275.72","1,260.70",,-0.62%
2023-09-21,1277.38,"1,285.81","1,291.83","1,275.49",,-0.67%
2023-09-20,1286.0,"1,293.95","1,296.04","1,286.00",,-0.50%
2023-09-19,1292.45,"1,283.98","1,292.57","1,282.70",,0.61%
2023-09-15,1284.67,"1,286.26","1,291.40","1,283.28",,0.73%
2023-09-14,1275.39,"1,263.59","1,276.61","1,263.59",,1.06%
2023-09-13,1261.97,"1,269.21","1,271.50","1,258.89",,-0.49%
2023-09-12,1268.2,"1,266.13","1,270.87","1,259.73",,0.59%
2023-09-11,1260.77,"1,273.00","1,273.00","1,258.57",,-0.55%
2023-09-08,1267.77,"1,279.87","1,280.78","1,266.41",,-1.23%
2023-09-07,1283.52,"1,282.13","1,292.62","1,281.22",,-0.11%
2023-09-06,1284.87,"1,281.21","1,287.25","1,279.77",,0.15%
2023-09-05,1282.98,"1,282.55","1,284.26","1,275.95",,-0.12%
2023-09-04,1284.46,"1,274.63","1,284.46","1,271.13",,1.11%
2023-09-01,1270.38,"1,260.97","1,272.77","1,259.11",,0.66%
2023-08-31,1262.01,"1,251.29","1,262.71","1,251.29",,0.71%
2023-08-30,1253.14,"1,251.84","1,256.75","1,250.04",,0.13%
