"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","2,452.50","2,417.36","2,469.41","2,417.36","","1.83%"
"2020-05-25","2,408.31","2,397.64","2,412.91","2,387.48","","1.91%"
"2020-05-22","2,363.24","2,416.82","2,416.95","2,359.97","","-1.78%"
"2020-05-21","2,405.97","2,441.01","2,441.01","2,405.81","","-1.22%"
"2020-05-20","2,435.63","2,406.23","2,443.05","2,405.78","","0.66%"
"2020-05-19","2,419.59","2,391.22","2,426.37","2,389.42","","3.37%"
"2020-05-18","2,340.82","2,323.44","2,351.55","2,311.97","","1.23%"
"2020-05-15","2,312.28","2,347.54","2,357.83","2,292.31","","0.39%"
"2020-05-14","2,303.40","2,357.51","2,364.52","2,302.17","","-3.04%"
"2020-05-13","2,375.50","2,352.72","2,390.61","2,346.46","","0.70%"
"2020-05-12","2,359.05","2,397.53","2,400.49","2,350.71","","-3.12%"
"2020-05-11","2,434.95","2,401.46","2,440.14","2,399.26","","3.54%"
"2020-05-08","2,351.60","2,314.08","2,351.60","2,310.51","","2.40%"
"2020-05-07","2,296.41","2,285.94","2,303.92","2,274.68","","-1.13%"
"2020-05-01","2,322.63","2,363.42","2,366.49","2,311.49","","-3.43%"
"2020-04-30","2,405.05","2,416.43","2,437.15","2,390.04","","1.68%"
"2020-04-28","2,365.34","2,335.42","2,365.34","2,333.29","","1.48%"
"2020-04-27","2,330.93","2,327.76","2,332.76","2,302.23","","1.16%"
"2020-04-24","2,304.13","2,309.55","2,309.82","2,282.47","","-0.51%"
"2020-04-23","2,315.93","2,275.92","2,315.93","2,272.61","","2.81%"
"2020-04-22","2,252.71","2,270.12","2,270.12","2,235.52","","-1.72%"
"2020-04-21","2,292.24","2,274.47","2,292.67","2,260.30","","-0.64%"
"2020-04-20","2,307.07","2,310.92","2,331.14","2,302.21","","-0.94%"
"2020-04-17","2,328.93","2,296.22","2,357.09","2,292.80","","2.30%"
"2020-04-16","2,276.48","2,275.66","2,287.10","2,260.09","","-1.85%"
"2020-04-15","2,319.49","2,307.69","2,330.83","2,295.62","","-0.48%"
"2020-04-14","2,330.76","2,307.38","2,343.21","2,289.92","","1.45%"
"2020-04-13","2,297.41","2,333.46","2,341.19","2,294.79","","-2.29%"
"2020-04-10","2,351.14","2,349.07","2,368.70","2,304.70","","-0.81%"
"2020-04-09","2,370.37","2,337.73","2,370.37","2,325.92","","0.89%"
"2020-04-08","2,349.55","2,314.32","2,359.08","2,284.37","","2.24%"
"2020-04-07","2,298.03","2,264.13","2,311.53","2,243.94","","3.71%"
"2020-04-06","2,215.84","2,152.80","2,230.64","2,120.73","","2.64%"
"2020-04-03","2,158.87","2,174.70","2,191.79","2,133.54","","-1.41%"
"2020-04-02","2,189.72","2,212.71","2,237.99","2,180.79","","-2.31%"
"2020-04-01","2,241.48","2,325.45","2,342.38","2,223.27","","-4.73%"
"2020-03-31","2,352.65","2,412.20","2,438.18","2,346.99","","-3.18%"
"2020-03-30","2,429.86","2,367.35","2,430.97","2,323.64","","0.48%"
"2020-03-27","2,418.24","2,370.00","2,418.24","2,331.41","","4.27%"
"2020-03-26","2,319.13","2,363.72","2,363.72","2,263.57","","-3.85%"
"2020-03-25","2,412.04","2,276.70","2,415.51","2,276.70","","8.26%"
"2020-03-24","2,227.93","2,201.64","2,229.19","2,163.43","","3.38%"
"2020-03-23","2,155.16","2,172.04","2,217.43","2,140.26","","-0.18%"
"2020-03-19","2,159.15","2,135.06","2,190.85","2,110.26","","2.94%"
"2020-03-18","2,097.56","2,128.30","2,203.72","2,093.01","","-1.69%"
"2020-03-17","2,133.68","2,072.76","2,149.89","2,021.55","","1.10%"
"2020-03-16","2,110.39","2,199.32","2,218.38","2,106.39","","-4.46%"
"2020-03-13","2,208.97","2,248.23","2,301.84","2,112.35","","-3.80%"
"2020-03-12","2,296.34","2,335.92","2,346.43","2,257.50","","-3.71%"
"2020-03-11","2,384.80","2,361.36","2,434.88","2,361.11","","0.99%"
"2020-03-10","2,361.31","2,310.72","2,373.69","2,245.49","","0.11%"
"2020-03-09","2,358.69","2,439.04","2,439.21","2,337.71","","-5.33%"
"2020-03-06","2,491.50","2,542.70","2,544.60","2,480.20","","-3.59%"
"2020-03-05","2,584.19","2,589.48","2,599.37","2,567.14","","0.73%"
"2020-03-04","2,565.45","2,536.73","2,584.82","2,528.33","","-0.37%"
"2020-03-03","2,574.96","2,645.07","2,658.85","2,574.96","","-1.82%"
"2020-03-02","2,622.60","2,557.47","2,649.19","2,544.30","","1.04%"
"2020-02-28","2,595.65","2,636.12","2,636.12","2,574.53","","-3.50%"
"2020-02-27","2,689.70","2,718.79","2,723.40","2,679.26","","-1.91%"
"2020-02-26","2,742.11","2,737.72","2,746.95","2,725.94","","-1.47%"
"2020-02-25","2,782.94","2,822.57","2,823.77","2,758.95","","-3.29%"
"2020-02-21","2,877.53","2,881.02","2,898.69","2,877.53","","-0.43%"
"2020-02-20","2,889.86","2,905.50","2,919.80","2,873.61","","0.00%"
"2020-02-19","2,889.81","2,859.10","2,903.61","2,845.20","","1.57%"
"2020-02-18","2,845.19","2,838.74","2,868.09","2,832.21","","-0.04%"
"2020-02-17","2,846.44","2,814.47","2,848.81","2,803.15","","0.90%"
"2020-02-14","2,821.14","2,794.34","2,821.38","2,786.71","","0.58%"
"2020-02-13","2,804.84","2,794.37","2,804.84","2,781.01","","0.65%"
"2020-02-12","2,786.86","2,804.08","2,808.76","2,782.82","","-2.07%"
"2020-02-10","2,845.87","2,872.32","2,874.69","2,844.71","","-1.58%"
"2020-02-07","2,891.56","2,900.19","2,900.19","2,874.43","","-0.12%"
"2020-02-06","2,894.90","2,885.09","2,912.40","2,883.94","","1.70%"
"2020-02-05","2,846.60","2,845.86","2,855.49","2,829.70","","1.13%"
"2020-02-04","2,814.93","2,793.51","2,822.66","2,793.33","","0.17%"
"2020-02-03","2,810.20","2,792.59","2,823.85","2,788.74","","-0.22%"
"2020-01-31","2,816.50","2,813.97","2,830.93","2,810.11","","0.39%"
"2020-01-30","2,805.48","2,828.98","2,828.98","2,780.57","","-0.71%"
"2020-01-29","2,825.67","2,800.12","2,828.20","2,799.97","","1.02%"
"2020-01-28","2,797.23","2,788.66","2,802.89","2,777.64","","-0.59%"
"2020-01-27","2,813.93","2,816.39","2,826.01","2,805.39","","-1.33%"
"2020-01-24","2,851.92","2,870.14","2,870.52","2,849.43","","-0.65%"
"2020-01-23","2,870.66","2,886.73","2,887.79","2,869.82","","-1.07%"
"2020-01-22","2,901.65","2,906.09","2,911.06","2,896.43","","-0.59%"
"2020-01-21","2,918.77","2,933.92","2,940.99","2,914.11","","-0.56%"
"2020-01-20","2,935.30","2,922.44","2,940.58","2,922.44","","0.33%"
"2020-01-17","2,925.75","2,905.88","2,925.75","2,904.02","","1.12%"
"2020-01-16","2,893.47","2,921.62","2,921.62","2,893.47","","-0.76%"
"2020-01-15","2,915.49","2,898.58","2,921.65","2,898.58","","0.31%"
"2020-01-14","2,906.44","2,908.07","2,917.00","2,899.94","","-0.59%"
"2020-01-10","2,923.82","2,959.83","2,965.35","2,923.59","","-0.82%"
"2020-01-09","2,947.89","2,958.38","2,967.36","2,945.21","","0.65%"
"2020-01-08","2,928.90","2,926.43","2,944.92","2,915.36","","-1.76%"
"2020-01-07","2,981.42","2,941.80","2,987.47","2,941.80","","1.62%"
"2020-01-06","2,934.00","2,941.89","2,946.94","2,924.18","","-1.78%"
"2019-12-30","2,987.28","2,993.31","2,999.93","2,982.42","","-0.79%"
"2019-12-27","3,011.11","3,023.10","3,024.60","3,007.23","","-1.96%"
"2019-12-26","3,071.29","3,054.75","3,072.40","3,050.68","","0.78%"
"2019-12-25","3,047.45","3,059.78","3,059.78","3,041.18","","-0.91%"
"2019-12-24","3,075.43","3,085.92","3,089.15","3,071.12","","-0.31%"
"2019-12-23","3,085.07","3,095.69","3,100.86","3,084.10","","-0.55%"
"2019-12-20","3,102.26","3,102.31","3,110.72","3,087.19","","-0.18%"
"2019-12-19","3,107.77","3,115.49","3,126.13","3,105.88","","-0.60%"
"2019-12-18","3,126.45","3,124.63","3,133.89","3,121.56","","-0.20%"
"2019-12-17","3,132.56","3,149.98","3,161.01","3,130.79","","-0.32%"
"2019-12-16","3,142.49","3,162.51","3,162.51","3,137.98","","-1.22%"
"2019-12-13","3,181.45","3,192.41","3,197.90","3,163.58","","1.43%"
"2019-12-12","3,136.47","3,155.03","3,156.80","3,136.47","","-0.82%"
"2019-12-11","3,162.28","3,173.16","3,180.67","3,159.12","","-0.22%"
"2019-12-10","3,169.29","3,152.10","3,173.76","3,152.10","","-0.07%"
"2019-12-09","3,171.58","3,178.50","3,178.50","3,162.55","","0.41%"
"2019-12-06","3,158.63","3,194.10","3,194.85","3,155.29","","-1.25%"
"2019-12-05","3,198.73","3,190.17","3,211.45","3,190.17","","0.58%"
"2019-12-04","3,180.37","3,165.53","3,183.19","3,153.65","","0.12%"
"2019-12-03","3,176.68","3,168.32","3,190.57","3,158.42","","-0.90%"
"2019-12-02","3,205.56","3,187.01","3,213.97","3,187.01","","1.12%"
"2019-11-29","3,169.93","3,201.06","3,201.91","3,168.75","","-0.57%"
"2019-11-28","3,188.18","3,187.59","3,207.05","3,181.63","","-0.03%"
"2019-11-27","3,189.07","3,190.94","3,201.47","3,181.78","","0.00%"
"2019-11-26","3,189.20","3,194.28","3,210.94","3,185.18","","0.71%"
"2019-11-25","3,166.76","3,177.10","3,183.12","3,160.71","","-0.20%"
"2019-11-22","3,173.15","3,174.58","3,186.09","3,165.09","","0.15%"
"2019-11-21","3,168.35","3,153.39","3,174.72","3,124.72","","0.68%"
"2019-11-20","3,146.91","3,142.95","3,172.83","3,139.47","","-0.42%"
"2019-11-19","3,160.06","3,175.16","3,178.10","3,158.35","","-1.26%"
"2019-11-18","3,200.34","3,202.23","3,217.27","3,190.47","","-0.37%"
"2019-11-15","3,212.20","3,194.30","3,233.73","3,192.28","","0.11%"
"2019-11-14","3,208.53","3,233.01","3,248.05","3,208.53","","-2.06%"
"2019-11-13","3,275.99","3,277.48","3,286.90","3,265.08","","-0.71%"
"2019-11-12","3,299.32","3,312.90","3,314.93","3,278.82","","-1.15%"
"2019-11-11","3,337.60","3,314.36","3,338.81","3,261.70","","-0.20%"
"2019-11-08","3,344.30","3,348.48","3,355.55","3,322.49","","0.45%"
"2019-11-07","3,329.22","3,328.16","3,331.86","3,301.57","","-0.52%"
"2019-11-06","3,346.74","3,367.51","3,404.53","3,328.10","","0.75%"
"2019-11-05","3,321.77","3,279.07","3,325.27","3,276.51","","2.20%"
"2019-11-01","3,250.33","3,234.52","3,250.33","3,224.34","","-0.55%"
"2019-10-31","3,268.42","3,298.92","3,298.92","3,248.15","","-1.32%"
"2019-10-30","3,312.20","3,294.69","3,312.20","3,284.45","","0.49%"
"2019-10-29","3,296.06","3,263.33","3,296.52","3,260.55","","1.25%"
"2019-10-28","3,255.46","3,261.08","3,261.45","3,242.01","","1.57%"
"2019-10-25","3,205.07","3,185.96","3,205.99","3,177.55","","-0.04%"
"2019-10-24","3,206.26","3,195.43","3,219.44","3,195.43","","1.46%"
"2019-10-23","3,160.04","3,138.61","3,163.22","3,116.92","","1.09%"
"2019-10-21","3,125.93","3,135.41","3,141.02","3,125.93","","0.15%"
"2019-10-18","3,121.31","3,104.80","3,143.48","3,104.80","","-0.43%"
"2019-10-17","3,134.82","3,121.68","3,143.38","3,113.09","","0.01%"
"2019-10-16","3,134.51","3,133.04","3,156.22","3,126.23","","1.64%"
"2019-10-15","3,083.84","3,053.65","3,088.41","3,053.65","","2.31%"
"2019-10-11","3,014.27","2,989.78","3,015.47","2,980.46","","1.58%"
"2019-10-10","2,967.42","2,971.90","2,978.07","2,943.40","","0.19%"
"2019-10-09","2,961.85","2,947.09","2,964.20","2,937.44","","-0.62%"
"2019-10-08","2,980.37","2,967.78","2,991.63","2,967.78","","0.91%"
"2019-10-07","2,953.40","2,996.17","2,999.96","2,947.97","","-1.60%"
"2019-10-04","3,001.55","2,991.30","3,001.55","2,979.43","","0.11%"
"2019-10-03","2,998.22","3,002.23","3,006.35","2,978.20","","-1.84%"
"2019-10-02","3,054.28","3,027.71","3,063.24","3,025.94","","-0.35%"
"2019-10-01","3,065.13","3,036.43","3,070.99","3,021.59","","2.26%"
"2019-09-30","2,997.44","3,016.52","3,035.80","2,987.21","","-1.81%"
"2019-09-27","3,052.59","3,085.94","3,092.46","3,029.91","","-0.89%"
