日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,4137.35,"4,129.80","4,169.00","4,125.60",,-1.15%
2023-10-18,4185.34,"4,196.42","4,197.26","4,159.33",,-0.21%
2023-10-17,4194.3,"4,218.53","4,221.78","4,168.15",,0.50%
2023-10-16,4173.6,"4,233.21","4,233.97","4,163.21",,-2.31%
2023-10-13,4272.21,"4,298.64","4,317.99","4,258.57",,-2.14%
2023-10-12,4365.8,"4,353.47","4,380.16","4,338.16",,1.05%
2023-10-11,4320.42,"4,310.54","4,340.64","4,287.27",,0.95%
2023-10-10,4279.82,"4,283.71","4,311.16","4,267.16",,1.30%
2023-10-06,4224.79,"4,206.65","4,246.97","4,192.99",,0.74%
2023-10-05,4193.57,"4,143.64","4,208.44","4,140.00",,2.81%
2023-10-04,4079.0,"4,125.99","4,127.92","4,065.53",,-2.51%
2023-10-03,4184.18,"4,244.67","4,244.67","4,170.72",,-1.63%
2023-10-02,4253.66,"4,285.88","4,339.23","4,253.66",,0.05%
2023-09-29,4251.42,"4,335.59","4,335.59","4,240.36",,-1.54%
2023-09-28,4318.12,"4,343.38","4,362.52","4,297.61",,-0.62%
2023-09-27,4345.22,"4,320.11","4,345.22","4,273.44",,-0.13%
2023-09-26,4350.96,"4,400.85","4,400.85","4,334.62",,-0.75%
2023-09-25,4383.75,"4,412.49","4,413.70","4,380.02",,0.19%
2023-09-22,4375.41,"4,344.91","4,399.54","4,344.18",,-0.43%
2023-09-21,4394.3,"4,410.95","4,443.11","4,385.24",,0.34%
2023-09-20,4379.26,"4,466.94","4,473.97","4,372.44",,-1.83%
2023-09-19,4460.7,"4,407.68","4,460.70","4,394.35",,1.49%
2023-09-15,4395.31,"4,360.44","4,413.14","4,357.31",,1.56%
2023-09-14,4327.65,"4,308.56","4,332.82","4,294.27",,0.28%
2023-09-13,4315.38,"4,259.20","4,325.64","4,253.41",,2.97%
2023-09-12,4190.98,"4,147.70","4,190.98","4,147.70",,1.82%
2023-09-11,4115.89,"4,152.57","4,155.05","4,107.38",,-0.50%
2023-09-08,4136.66,"4,156.87","4,156.87","4,110.27",,-0.33%
2023-09-07,4150.49,"4,164.11","4,191.23","4,150.49",,-0.57%
2023-09-06,4174.45,"4,161.18","4,193.81","4,159.37",,0.47%
2023-09-05,4154.72,"4,153.04","4,160.11","4,123.20",,0.07%
2023-09-04,4151.99,"4,128.82","4,151.99","4,117.84",,0.85%
2023-09-01,4117.07,"4,103.09","4,132.06","4,093.87",,0.04%
2023-08-31,4115.4,"4,098.51","4,143.70","4,096.60",,0.39%
2023-08-30,4099.44,"4,111.39","4,119.83","4,088.08",,-0.07%
2023-08-29,4102.48,"4,100.51","4,121.20","4,089.83",,0.56%
2023-08-28,4079.57,"4,040.35","4,079.57","4,032.08",,2.04%
2023-08-25,3998.08,"3,992.02","4,015.00","3,989.53",,-0.46%
2023-08-24,4016.65,"4,009.80","4,024.93","3,993.56",,-0.44%
2023-08-23,4034.52,"3,989.22","4,034.58","3,985.03",,0.75%
2023-08-22,4004.54,"3,989.95","4,004.54","3,972.16",,0.88%
2023-08-21,3969.44,"3,992.19","4,002.06","3,964.50",,-0.60%
2023-08-18,3993.59,"3,976.34","4,005.42","3,971.77",,-0.36%
2023-08-17,4008.15,"3,968.76","4,016.63","3,959.82",,0.69%
2023-08-16,3980.79,"3,998.28","4,001.12","3,962.59",,-1.36%
2023-08-15,4035.65,"4,038.76","4,049.80","4,019.48",,0.55%
2023-08-14,4013.73,"4,056.54","4,104.89","3,995.79",,-0.71%
2023-08-10,4042.24,"3,953.86","4,061.75","3,953.86",,0.72%
2023-08-09,4013.3,"4,137.07","4,139.13","3,998.19",,-2.73%
2023-08-08,4125.74,"4,103.65","4,135.00","4,103.05",,1.22%
2023-08-07,4075.87,"4,015.48","4,115.02","4,010.33",,1.01%
2023-08-04,4035.23,"4,041.84","4,077.24","4,022.24",,-1.52%
2023-08-03,4097.46,"4,169.47","4,172.48","4,085.79",,-2.47%
2023-08-02,4201.08,"4,207.64","4,260.36","4,194.49",,-0.85%
2023-08-01,4237.21,"4,182.38","4,242.56","4,166.09",,1.21%
2023-07-31,4186.69,"4,169.15","4,208.05","4,153.02",,1.14%
2023-07-28,4139.52,"4,084.89","4,139.98","4,050.67",,0.78%
2023-07-27,4107.49,"4,088.06","4,114.32","4,075.73",,0.17%
2023-07-26,4100.72,"4,147.55","4,149.08","4,093.20",,-1.31%
2023-07-25,4155.14,"4,121.90","4,155.74","4,111.48",,0.76%
2023-07-24,4123.77,"4,115.98","4,149.82","4,112.10",,1.09%
2023-07-21,4079.17,"4,068.28","4,107.60","4,049.40",,-0.44%
2023-07-20,4097.1,"4,127.50","4,140.19","4,088.36",,-0.66%
2023-07-19,4124.2,"4,107.50","4,124.20","4,093.23",,1.27%
2023-07-18,4072.37,"4,043.45","4,072.37","4,022.14",,0.54%
2023-07-14,4050.44,"4,072.60","4,072.60","4,003.60",,0.44%
2023-07-13,4032.77,"4,046.63","4,058.70","4,009.90",,-0.52%
2023-07-12,4054.05,"4,062.26","4,072.47","4,029.64",,-0.15%
2023-07-11,4060.34,"4,098.00","4,110.22","4,052.39",,-0.12%
2023-07-10,4065.16,"4,071.89","4,095.65","4,045.31",,-0.39%
2023-07-07,4080.98,"4,082.39","4,110.55","4,042.73",,-0.62%
2023-07-06,4106.54,"4,140.55","4,154.67","4,091.13",,-1.29%
2023-07-05,4160.24,"4,122.45","4,160.24","4,111.57",,0.51%
2023-07-04,4139.25,"4,191.32","4,197.32","4,133.25",,-1.42%
2023-07-03,4198.7,"4,208.93","4,225.84","4,188.52",,0.83%
2023-06-30,4163.96,"4,176.55","4,188.34","4,140.32",,-0.73%
2023-06-29,4194.38,"4,225.74","4,230.37","4,183.55",,-1.56%
2023-06-28,4261.01,"4,200.32","4,261.01","4,192.61",,1.97%
2023-06-27,4178.78,"4,177.89","4,184.64","4,152.24",,0.24%
2023-06-26,4168.76,"4,150.11","4,199.98","4,121.87",,0.56%
2023-06-23,4145.7,"4,211.21","4,223.26","4,120.12",,-1.28%
2023-06-22,4199.27,"4,202.22","4,234.57","4,196.96",,0.10%
2023-06-21,4195.09,"4,121.34","4,197.31","4,115.88",,1.00%
2023-06-20,4153.61,"4,175.51","4,181.29","4,126.87",,-0.80%
2023-06-19,4187.29,"4,243.87","4,243.87","4,166.61",,-0.72%
2023-06-16,4217.6,"4,242.13","4,242.13","4,191.92",,-0.45%
2023-06-15,4236.46,"4,226.78","4,257.20","4,186.33",,0.36%
2023-06-14,4221.1,"4,218.05","4,238.86","4,201.46",,1.23%
2023-06-13,4169.83,"4,163.48","4,197.63","4,145.75",,1.24%
2023-06-12,4118.95,"4,147.18","4,167.90","4,108.16",,0.31%
