日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,527.9,520.59,528.89,520.08,,0.76%
2023-10-18,523.94,530.67,530.67,521.63,,-0.50%
2023-10-17,526.57,530.74,531.81,523.43,,-0.17%
2023-10-16,527.47,529.5,533.24,525.77,,-0.12%
2023-10-13,528.12,531.28,531.75,526.02,,-1.44%
2023-10-12,535.81,539.3,539.46,535.44,,-0.51%
2023-10-11,538.58,537.21,542.35,534.71,,0.01%
2023-10-10,538.53,539.2,542.35,534.98,,1.02%
2023-10-06,533.08,526.07,537.42,521.34,,1.45%
2023-10-05,525.48,517.96,525.51,515.9,,2.25%
2023-10-04,513.9,519.97,520.35,511.87,,-2.58%
2023-10-03,527.53,537.13,537.13,527.01,,-2.33%
2023-10-02,540.1,546.69,551.05,540.1,,-0.70%
2023-09-29,543.93,557.3,557.3,540.71,,-2.66%
2023-09-28,558.8,557.13,563.69,556.85,,-0.78%
2023-09-27,563.2,560.52,563.39,553.5,,0.18%
2023-09-26,562.2,560.62,563.69,557.62,,0.53%
2023-09-25,559.26,561.24,561.75,557.53,,-0.51%
2023-09-22,562.15,555.78,564.84,553.12,,0.29%
2023-09-21,560.53,561.19,564.92,558.73,,0.03%
2023-09-20,560.34,573.31,573.31,558.73,,-2.11%
2023-09-19,572.43,562.99,572.55,560.05,,1.92%
2023-09-15,561.66,556.94,566.18,555.99,,1.98%
2023-09-14,550.74,544.25,551.24,543.86,,1.74%
2023-09-13,541.31,539.3,544.44,538.41,,0.64%
2023-09-12,537.85,537.91,538.9,534.01,,1.03%
2023-09-11,532.37,532.69,534.05,526.83,,0.94%
2023-09-08,527.4,536.31,536.91,527.27,,-0.58%
2023-09-07,530.5,525.23,532.09,525.0,,1.32%
2023-09-06,523.61,525.41,526.39,521.89,,-0.33%
2023-09-05,525.34,527.08,527.45,522.23,,0.18%
2023-09-04,524.39,519.16,524.39,517.71,,1.08%
2023-09-01,518.8,510.8,519.85,510.65,,0.84%
2023-08-31,514.49,510.73,515.73,510.66,,0.38%
2023-08-30,512.52,513.41,515.16,511.42,,-0.40%
2023-08-29,514.56,517.88,520.83,513.92,,0.08%
2023-08-28,514.16,514.14,517.07,513.82,,1.19%
2023-08-25,508.11,506.74,508.49,504.44,,-0.15%
2023-08-24,508.85,506.0,510.52,505.94,,0.48%
2023-08-23,506.41,498.95,506.41,497.91,,1.54%
2023-08-22,498.75,492.67,498.75,492.67,,1.39%
2023-08-21,491.9,494.25,498.39,491.82,,0.10%
2023-08-18,491.4,488.45,493.07,487.48,,0.06%
2023-08-17,491.09,495.2,495.43,485.12,,-1.15%
2023-08-16,496.81,494.86,499.71,494.37,,-0.74%
2023-08-15,500.5,502.33,504.3,497.43,,-0.50%
2023-08-14,503.04,502.76,510.82,501.83,,0.85%
2023-08-10,498.79,489.9,498.79,485.79,,2.18%
2023-08-09,488.17,494.5,494.51,485.01,,-1.51%
2023-08-08,495.64,494.49,496.3,488.31,,0.73%
2023-08-07,492.03,490.24,502.12,486.83,,-0.16%
2023-08-04,492.8,498.82,501.17,491.85,,-0.92%
2023-08-03,497.38,494.16,500.33,486.74,,0.05%
2023-08-02,497.13,495.5,498.61,493.0,,-0.38%
2023-08-01,499.03,494.39,501.55,493.61,,0.26%
2023-07-31,497.73,496.52,500.85,495.68,,1.55%
