日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,1679.68,"1,687.69","1,697.67","1,670.31",,-1.23%
2023-10-18,1700.62,"1,693.78","1,711.44","1,684.58",,0.94%
2023-10-17,1684.84,"1,686.09","1,694.86","1,668.68",,1.03%
2023-10-16,1667.68,"1,674.14","1,679.54","1,660.86",,-1.06%
2023-10-13,1685.56,"1,710.96","1,712.78","1,680.92",,-1.89%
2023-10-12,1718.09,"1,718.46","1,723.75","1,707.16",,1.37%
2023-10-11,1694.94,"1,693.35","1,703.28","1,680.15",,-0.03%
2023-10-10,1695.39,"1,676.76","1,700.89","1,671.47",,2.67%
2023-10-06,1651.37,"1,633.20","1,663.64","1,627.12",,0.04%
2023-10-05,1650.74,"1,608.93","1,655.41","1,608.93",,2.19%
2023-10-04,1615.39,"1,618.04","1,637.27","1,605.89",,-1.10%
2023-10-03,1633.3,"1,655.18","1,655.18","1,623.62",,-1.92%
2023-10-02,1665.32,"1,676.60","1,690.93","1,661.88",,-0.89%
2023-09-29,1680.34,"1,708.52","1,708.52","1,667.47",,-2.22%
2023-09-28,1718.42,"1,728.26","1,737.95","1,710.57",,-1.94%
2023-09-27,1752.44,"1,750.10","1,752.44","1,729.59",,0.03%
2023-09-26,1751.83,"1,755.26","1,760.24","1,744.77",,1.08%
2023-09-25,1733.15,"1,742.56","1,745.12","1,719.78",,-0.92%
2023-09-22,1749.23,"1,739.31","1,759.28","1,724.70",,0.31%
2023-09-21,1743.91,"1,742.49","1,753.31","1,737.55",,-0.04%
2023-09-20,1744.6,"1,770.50","1,771.92","1,730.75",,-0.42%
2023-09-19,1752.01,"1,715.63","1,753.65","1,715.63",,2.02%
2023-09-15,1717.37,"1,733.64","1,748.03","1,708.58",,-0.25%
2023-09-14,1721.76,"1,721.72","1,727.68","1,711.39",,1.54%
2023-09-13,1695.66,"1,679.14","1,705.73","1,675.18",,1.45%
2023-09-12,1671.49,"1,672.66","1,672.66","1,650.77",,-0.09%
2023-09-11,1672.93,"1,656.92","1,673.22","1,648.60",,2.15%
2023-09-08,1637.75,"1,645.03","1,662.90","1,635.73",,-1.07%
2023-09-07,1655.44,"1,647.16","1,660.01","1,640.33",,1.06%
2023-09-06,1638.13,"1,619.78","1,643.08","1,618.47",,1.69%
2023-09-05,1610.89,"1,618.00","1,622.72","1,596.60",,-0.04%
2023-09-04,1611.57,"1,593.85","1,611.57","1,589.78",,1.62%
2023-09-01,1585.9,"1,560.98","1,590.63","1,560.98",,1.22%
2023-08-31,1566.76,"1,548.41","1,572.13","1,548.41",,0.55%
2023-08-30,1558.21,"1,559.00","1,568.89","1,554.46",,0.10%
2023-08-29,1556.6,"1,553.71","1,563.03","1,548.94",,-0.05%
2023-08-28,1557.33,"1,551.96","1,569.69","1,550.90",,1.53%
2023-08-25,1533.89,"1,534.89","1,551.72","1,532.52",,-0.68%
2023-08-24,1544.32,"1,537.44","1,545.40","1,532.30",,0.23%
2023-08-23,1540.76,"1,517.24","1,541.72","1,515.85",,0.84%
2023-08-22,1527.86,"1,514.83","1,530.11","1,514.83",,1.20%
2023-08-21,1509.67,"1,521.92","1,525.81","1,505.10",,-0.61%
2023-08-18,1518.98,"1,516.28","1,524.10","1,511.19",,-0.26%
2023-08-17,1522.92,"1,510.42","1,522.92","1,497.74",,0.92%
2023-08-16,1509.07,"1,505.45","1,515.78","1,502.08",,-1.14%
2023-08-15,1526.41,"1,530.33","1,535.32","1,524.24",,0.71%
2023-08-14,1515.66,"1,537.70","1,549.44","1,514.05",,-1.40%
2023-08-10,1537.19,"1,517.81","1,542.82","1,517.81",,1.64%
2023-08-09,1512.44,"1,506.42","1,515.91","1,498.78",,0.03%
2023-08-08,1512.03,"1,514.11","1,517.16","1,504.14",,-0.68%
2023-08-07,1522.31,"1,505.33","1,525.46","1,505.33",,1.15%
2023-08-04,1504.97,"1,476.10","1,508.44","1,476.10",,1.96%
2023-08-03,1476.11,"1,500.26","1,505.70","1,475.60",,-2.21%
2023-08-02,1509.42,"1,555.91","1,555.91","1,507.83",,-4.85%
2023-08-01,1586.39,"1,587.42","1,595.36","1,581.21",,-0.34%
2023-07-31,1591.74,"1,597.39","1,604.50","1,583.61",,0.76%
2023-07-28,1579.71,"1,546.24","1,581.07","1,539.95",,2.05%
2023-07-27,1547.98,"1,529.22","1,551.29","1,529.22",,1.59%
2023-07-26,1523.78,"1,521.63","1,525.08","1,513.74",,-0.36%
2023-07-25,1529.26,"1,537.91","1,542.33","1,521.87",,-0.84%
2023-07-24,1542.18,"1,538.28","1,553.18","1,533.14",,-0.12%
2023-07-21,1544.1,"1,554.15","1,554.59","1,534.63",,0.73%
2023-07-20,1532.97,"1,551.47","1,554.06","1,529.49",,-1.33%
2023-07-19,1553.65,"1,541.79","1,554.82","1,541.79",,1.46%
2023-07-18,1531.31,"1,531.28","1,541.90","1,522.77",,0.43%
2023-07-14,1524.75,"1,534.03","1,535.88","1,503.87",,-1.11%
2023-07-13,1541.79,"1,546.79","1,554.37","1,539.16",,-0.97%
2023-07-12,1556.96,"1,581.50","1,584.19","1,543.54",,-1.15%
2023-07-11,1575.13,"1,587.45","1,591.80","1,568.62",,-1.09%
2023-07-10,1592.46,"1,593.03","1,603.82","1,586.16",,-0.05%
2023-07-07,1593.33,"1,590.83","1,610.10","1,582.38",,-0.63%
2023-07-06,1603.42,"1,613.40","1,617.25","1,596.30",,-1.02%
2023-07-05,1620.01,"1,596.69","1,624.34","1,596.69",,1.07%
2023-07-04,1602.92,"1,586.69","1,602.92","1,585.10",,1.09%
2023-07-03,1585.66,"1,574.29","1,585.79","1,574.29",,1.04%
2023-06-30,1569.39,"1,574.70","1,579.65","1,560.20",,-0.30%
2023-06-29,1574.15,"1,586.22","1,589.57","1,569.69",,-0.37%
2023-06-28,1579.99,"1,566.52","1,579.99","1,562.64",,1.09%
2023-06-27,1562.95,"1,566.86","1,570.16","1,550.88",,0.16%
2023-06-26,1560.43,"1,563.16","1,573.99","1,547.95",,-0.43%
2023-06-23,1567.18,"1,587.71","1,588.15","1,557.54",,-1.17%
2023-06-22,1585.78,"1,573.29","1,589.88","1,572.43",,1.65%
2023-06-21,1560.01,"1,534.44","1,560.55","1,526.72",,2.73%
2023-06-20,1518.48,"1,556.76","1,556.76","1,512.08",,-3.84%
2023-06-19,1579.2,"1,578.36","1,587.77","1,568.91",,0.74%
2023-06-16,1567.6,"1,574.38","1,574.38","1,552.28",,-0.06%
2023-06-15,1568.49,"1,554.02","1,581.89","1,548.83",,0.37%
2023-06-14,1562.67,"1,549.04","1,563.01","1,543.47",,1.26%
2023-06-13,1543.26,"1,541.47","1,546.78","1,531.48",,1.12%
2023-06-12,1526.2,"1,534.01","1,537.84","1,520.65",,0.42%
2023-06-09,1519.78,"1,508.92","1,527.47","1,508.43",,1.37%
2023-06-08,1499.25,"1,510.47","1,523.07","1,492.78",,-0.24%
2023-06-07,1502.82,"1,538.40","1,545.61","1,501.28",,-1.54%
2023-06-06,1526.31,"1,491.39","1,528.47","1,486.08",,1.88%
2023-06-05,1498.17,"1,506.97","1,508.66","1,492.08",,0.94%
2023-06-02,1484.28,"1,466.62","1,487.18","1,458.41",,2.52%
2023-06-01,1447.77,"1,431.42","1,450.61","1,422.02",,0.06%
2023-05-31,1446.94,"1,434.44","1,446.94","1,426.74",,0.77%
2023-05-30,1435.82,"1,452.82","1,452.82","1,429.76",,-1.37%
2023-05-29,1455.77,"1,445.19","1,459.22","1,439.06",,1.67%
2023-05-26,1431.79,"1,440.43","1,446.69","1,431.79",,-0.51%
2023-05-25,1439.09,"1,440.21","1,446.38","1,433.10",,-1.32%
2023-05-24,1458.38,"1,451.60","1,463.90","1,441.73",,0.73%
2023-05-23,1447.75,"1,460.73","1,470.51","1,435.75",,-0.33%
2023-05-22,1452.57,"1,438.77","1,458.36","1,438.77",,2.35%
2023-05-19,1419.2,"1,429.76","1,430.01","1,415.61",,-0.40%
