日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,2238.92,"2,236.39","2,250.64","2,235.25",,-0.81%
2023-10-18,2257.31,"2,251.11","2,261.47","2,248.14",,-0.13%
2023-10-17,2260.16,"2,264.75","2,279.39","2,251.58",,0.71%
2023-10-16,2244.21,"2,259.56","2,264.16","2,239.04",,-1.48%
2023-10-13,2277.86,"2,287.33","2,290.51","2,274.55",,-1.13%
2023-10-12,2303.93,"2,277.25","2,305.28","2,277.25",,1.44%
2023-10-11,2271.23,"2,278.94","2,281.58","2,267.32",,-0.20%
2023-10-10,2275.89,"2,257.92","2,281.13","2,257.92",,1.54%
2023-10-06,2241.39,"2,246.89","2,255.18","2,241.39",,-0.22%
2023-10-05,2246.33,"2,216.12","2,246.33","2,210.46",,1.65%
2023-10-04,2209.93,"2,213.78","2,227.16","2,205.33",,-1.25%
2023-10-03,2237.81,"2,265.95","2,265.95","2,234.26",,-1.56%
2023-10-02,2273.21,"2,296.44","2,311.81","2,273.21",,-0.35%
2023-09-29,2281.14,"2,297.66","2,297.66","2,274.62",,-0.48%
2023-09-28,2292.24,"2,305.02","2,306.64","2,277.76",,-1.90%
2023-09-27,2336.54,"2,318.17","2,336.54","2,313.39",,0.15%
2023-09-26,2332.94,"2,347.62","2,347.62","2,329.41",,-0.53%
2023-09-25,2345.48,"2,344.30","2,351.51","2,336.41",,0.35%
2023-09-22,2337.19,"2,332.54","2,346.78","2,324.46",,-0.58%
2023-09-21,2350.73,"2,362.88","2,368.91","2,347.82",,-0.79%
2023-09-20,2369.56,"2,396.84","2,397.48","2,368.59",,-1.22%
2023-09-19,2398.9,"2,402.93","2,404.55","2,384.62",,-0.34%
2023-09-15,2407.17,"2,404.19","2,413.55","2,397.95",,0.50%
2023-09-14,2395.16,"2,382.90","2,400.63","2,380.37",,1.13%
2023-09-13,2368.5,"2,382.56","2,382.56","2,365.79",,-0.72%
2023-09-12,2385.7,"2,373.65","2,387.08","2,369.21",,1.03%
2023-09-11,2361.35,"2,373.58","2,378.27","2,356.22",,-0.22%
2023-09-08,2366.48,"2,389.58","2,396.73","2,362.30",,-1.26%
2023-09-07,2396.73,"2,408.09","2,416.14","2,394.88",,-0.75%
2023-09-06,2414.85,"2,413.02","2,416.69","2,406.75",,0.05%
2023-09-05,2413.74,"2,407.97","2,415.16","2,396.61",,0.50%
2023-09-04,2401.82,"2,388.72","2,401.82","2,382.06",,0.88%
2023-09-01,2380.84,"2,361.96","2,387.34","2,360.11",,0.48%
2023-08-31,2369.44,"2,342.44","2,375.36","2,342.44",,0.94%
2023-08-30,2347.47,"2,347.03","2,357.29","2,344.68",,0.39%
2023-08-29,2338.29,"2,338.17","2,343.15","2,333.85",,0.37%
2023-08-28,2329.73,"2,319.64","2,333.11","2,314.04",,0.99%
2023-08-25,2307.0,"2,306.68","2,317.47","2,303.67",,-0.81%
2023-08-24,2325.86,"2,319.10","2,329.35","2,315.77",,0.18%
2023-08-23,2321.76,"2,301.96","2,322.72","2,301.09",,0.32%
2023-08-22,2314.27,"2,307.96","2,314.46","2,300.76",,0.63%
2023-08-21,2299.89,"2,299.83","2,310.45","2,290.64",,0.03%
2023-08-18,2299.25,"2,296.21","2,309.15","2,291.75",,-0.71%
2023-08-17,2315.7,"2,323.70","2,324.19","2,294.47",,-0.54%
2023-08-16,2328.24,"2,339.81","2,342.16","2,328.24",,-0.90%
2023-08-15,2349.35,"2,360.06","2,361.36","2,348.90",,-0.30%
2023-08-14,2356.53,"2,380.03","2,385.48","2,351.81",,-0.93%
2023-08-10,2378.56,"2,341.82","2,378.76","2,341.82",,1.44%
2023-08-09,2344.74,"2,344.04","2,348.74","2,330.65",,0.40%
2023-08-08,2335.37,"2,334.53","2,338.69","2,327.53",,0.13%
2023-08-07,2332.24,"2,293.79","2,332.58","2,293.05",,1.40%
2023-08-04,2300.11,"2,285.36","2,304.11","2,284.26",,0.07%
2023-08-03,2298.4,"2,308.29","2,316.61","2,295.58",,-1.39%
2023-08-02,2330.78,"2,344.69","2,355.11","2,326.80",,-1.30%
2023-08-01,2361.57,"2,368.65","2,370.03","2,353.83",,-0.08%
2023-07-31,2363.43,"2,343.70","2,369.06","2,342.48",,2.02%
2023-07-28,2316.66,"2,298.60","2,321.41","2,282.78",,-0.50%
2023-07-27,2328.21,"2,313.42","2,329.57","2,304.92",,0.08%
2023-07-26,2326.24,"2,326.03","2,329.03","2,310.99",,0.42%
2023-07-25,2316.49,"2,312.64","2,318.86","2,307.80",,0.03%
2023-07-24,2315.84,"2,319.74","2,324.89","2,312.23",,0.74%
2023-07-21,2298.92,"2,296.57","2,310.02","2,287.82",,-0.32%
2023-07-20,2306.36,"2,325.40","2,334.11","2,306.36",,-0.97%
2023-07-19,2329.0,"2,329.70","2,332.10","2,315.95",,0.82%
2023-07-18,2310.17,"2,308.40","2,321.02","2,301.96",,0.11%
2023-07-14,2307.61,"2,329.64","2,329.64","2,297.61",,-0.27%
2023-07-13,2313.77,"2,305.26","2,325.20","2,294.49",,0.85%
2023-07-12,2294.22,"2,315.22","2,316.94","2,291.76",,-1.01%
2023-07-11,2317.72,"2,336.07","2,338.44","2,311.23",,-0.15%
2023-07-10,2321.31,"2,323.35","2,334.49","2,309.73",,0.07%
2023-07-07,2319.62,"2,328.99","2,341.76","2,317.60",,-1.26%
2023-07-06,2349.16,"2,365.36","2,366.67","2,342.65",,-1.35%
2023-07-05,2381.42,"2,374.25","2,387.98","2,369.17",,-0.14%
2023-07-04,2384.8,"2,392.61","2,396.89","2,383.34",,-0.96%
2023-07-03,2407.89,"2,381.81","2,409.26","2,381.81",,2.00%
2023-06-30,2360.71,"2,365.11","2,366.73","2,345.91",,-0.56%
2023-06-29,2373.92,"2,392.32","2,393.58","2,369.83",,-0.28%
2023-06-28,2380.53,"2,357.07","2,380.53","2,353.62",,1.70%
2023-06-27,2340.67,"2,349.74","2,355.04","2,328.82",,-0.22%
2023-06-26,2345.93,"2,327.72","2,361.26","2,324.57",,1.22%
2023-06-23,2317.74,"2,353.26","2,357.30","2,304.80",,-1.14%
2023-06-22,2344.51,"2,357.09","2,372.38","2,343.29",,-0.70%
2023-06-21,2361.15,"2,349.91","2,366.62","2,344.72",,-0.01%
2023-06-20,2361.43,"2,367.57","2,370.00","2,352.91",,-0.69%
2023-06-19,2377.94,"2,395.01","2,402.08","2,367.80",,-0.54%
2023-06-16,2390.88,"2,368.28","2,392.03","2,361.78",,1.01%
2023-06-15,2367.05,"2,371.08","2,379.69","2,360.91",,-0.29%
2023-06-14,2373.91,"2,363.23","2,382.27","2,359.44",,1.31%
2023-06-13,2343.25,"2,328.84","2,350.13","2,325.27",,0.93%
2023-06-12,2321.74,"2,317.59","2,324.10","2,312.64",,0.88%
2023-06-09,2301.55,"2,279.27","2,305.33","2,279.27",,1.28%
2023-06-08,2272.43,"2,289.98","2,298.94","2,259.66",,-0.85%
2023-06-07,2291.88,"2,333.09","2,342.90","2,291.88",,-1.20%
2023-06-06,2319.68,"2,279.87","2,320.20","2,276.01",,0.88%
2023-06-05,2299.55,"2,286.70","2,299.55","2,284.89",,1.98%
2023-06-02,2254.81,"2,236.00","2,255.15","2,234.94",,1.55%
2023-06-01,2220.48,"2,204.63","2,222.85","2,202.53",,0.28%
2023-05-31,2214.33,"2,226.09","2,232.41","2,208.76",,-1.47%
2023-05-30,2247.43,"2,244.45","2,251.03","2,229.38",,-0.34%
2023-05-29,2255.05,"2,273.69","2,287.95","2,255.01",,0.31%
2023-05-26,2248.17,"2,249.23","2,263.29","2,247.28",,0.03%
2023-05-25,2247.6,"2,241.35","2,261.09","2,241.35",,0.26%
2023-05-24,2241.84,"2,253.58","2,255.32","2,238.65",,-1.12%
2023-05-23,2267.14,"2,284.02","2,296.73","2,259.94",,-0.35%
2023-05-22,2275.1,"2,266.33","2,275.10","2,258.20",,0.42%
2023-05-19,2265.67,"2,260.10","2,269.38","2,252.93",,0.93%
2023-05-18,2244.85,"2,231.52","2,247.64","2,229.68",,1.18%
2023-05-17,2218.63,"2,224.67","2,225.31","2,217.91",,-0.08%
2023-05-16,2220.47,"2,218.08","2,221.76","2,210.71",,0.35%
2023-05-15,2212.62,"2,201.96","2,212.62","2,199.57",,0.91%
2023-05-12,2192.6,"2,185.86","2,197.54","2,185.36",,0.56%
2023-05-11,2180.31,"2,178.70","2,183.07","2,174.90",,-0.18%
2023-05-10,2184.3,"2,188.23","2,190.53","2,180.74",,-0.56%
2023-05-09,2196.71,"2,187.58","2,196.76","2,177.68",,0.47%
2023-05-08,2186.46,"2,204.73","2,205.90","2,182.78",,-0.83%
2023-05-02,2204.65,"2,214.54","2,215.28","2,200.70",,-0.19%
2023-05-01,2208.79,"2,193.93","2,208.79","2,192.10",,1.57%
2023-04-28,2174.72,"2,177.03","2,180.36","2,154.81",,0.21%
2023-04-27,2170.13,"2,151.47","2,172.01","2,150.22",,0.25%
2023-04-26,2164.75,"2,171.16","2,172.10","2,160.66",,-0.57%
2023-04-25,2177.11,"2,189.88","2,198.32","2,175.21",,-0.02%
2023-04-24,2177.48,"2,179.93","2,182.95","2,172.47",,0.00%
2023-04-21,2177.4,"2,168.83","2,185.02","2,168.83",,0.35%
2023-04-20,2169.76,"2,162.07","2,175.59","2,161.97",,-0.24%
2023-04-19,2175.03,"2,165.38","2,175.03","2,165.02",,-0.25%
2023-04-18,2180.46,"2,174.84","2,187.19","2,171.19",,0.44%
2023-04-17,2170.83,"2,167.55","2,175.74","2,163.06",,0.07%
2023-04-14,2169.42,"2,166.92","2,173.57","2,159.74",,0.67%
2023-04-13,2155.06,"2,142.35","2,156.94","2,138.17",,0.33%
2023-04-12,2147.98,"2,130.47","2,149.61","2,130.47",,1.20%
2023-04-11,2122.5,"2,131.65","2,137.76","2,121.30",,0.41%
2023-04-10,2113.92,"2,123.19","2,124.79","2,109.87",,0.30%
2023-04-07,2107.56,"2,100.87","2,113.54","2,100.87",,0.12%
2023-04-06,2105.09,"2,109.43","2,110.20","2,093.43",,-1.24%
2023-04-05,2131.48,"2,160.00","2,160.00","2,130.05",,-1.79%
2023-04-04,2170.4,"2,174.37","2,174.37","2,166.70",,0.26%
2023-04-03,2164.68,"2,166.92","2,170.82","2,157.46",,0.13%
2023-03-31,2161.95,"2,157.38","2,170.70","2,154.72",,0.96%
2023-03-30,2141.34,"2,148.01","2,151.94","2,131.01",,-0.66%
2023-03-29,2155.63,"2,130.67","2,155.63","2,125.15",,1.59%
2023-03-28,2121.99,"2,128.23","2,132.55","2,113.99",,0.03%
2023-03-27,2121.39,"2,123.84","2,126.09","2,114.01",,0.48%
2023-03-24,2111.2,"2,107.02","2,114.03","2,099.27",,0.24%
2023-03-23,2106.11,"2,092.32","2,110.02","2,083.33",,-0.07%
2023-03-22,2107.68,"2,102.15","2,111.87","2,099.57",,1.68%
2023-03-20,2072.85,"2,093.11","2,102.59","2,072.85",,-1.35%
2023-03-17,2101.28,"2,090.30","2,105.71","2,089.20",,0.90%
2023-03-16,2082.6,"2,060.76","2,082.60","2,051.67",,-0.44%
2023-03-15,2091.86,"2,094.79","2,099.63","2,082.68",,0.61%
2023-03-14,2079.12,"2,096.73","2,096.73","2,065.76",,-2.21%
2023-03-13,2126.21,"2,128.10","2,129.82","2,111.48",,-1.00%
2023-03-10,2147.78,"2,154.00","2,162.45","2,142.97",,-1.16%
2023-03-09,2173.09,"2,171.60","2,178.18","2,167.13",,0.82%
2023-03-08,2155.33,"2,143.60","2,157.56","2,143.60",,0.19%
2023-03-07,2151.14,"2,148.44","2,159.46","2,146.58",,0.02%
2023-03-06,2150.75,"2,143.31","2,151.38","2,139.01",,0.77%
2023-03-03,2134.32,"2,110.59","2,136.73","2,107.80",,1.83%
2023-03-02,2095.96,"2,103.90","2,103.90","2,091.88",,-0.01%
2023-03-01,2096.19,"2,089.74","2,096.19","2,084.52",,0.05%
2023-02-28,2095.19,"2,094.94","2,099.39","2,090.96",,0.01%
2023-02-27,2094.91,"2,083.55","2,095.13","2,079.00",,0.30%
2023-02-24,2088.6,"2,081.83","2,093.40","2,075.86",,0.71%
2023-02-22,2073.89,"2,087.05","2,087.60","2,071.13",,-1.13%
2023-02-21,2097.51,"2,098.92","2,102.62","2,092.69",,-0.08%
2023-02-20,2099.26,"2,090.49","2,099.53","2,083.24",,0.46%
2023-02-17,2089.75,"2,086.75","2,094.48","2,086.75",,-0.65%
2023-02-16,2103.47,"2,098.29","2,104.70","2,092.31",,0.81%
2023-02-15,2086.59,"2,093.20","2,099.30","2,080.98",,-0.31%
2023-02-14,2093.03,"2,093.91","2,096.53","2,088.86",,0.74%
2023-02-13,2077.56,"2,090.76","2,090.91","2,063.44",,-1.23%
2023-02-10,2103.4,"2,090.48","2,113.03","2,088.26",,0.15%
2023-02-09,2100.26,"2,083.07","2,105.00","2,081.61",,0.34%
2023-02-08,2093.2,"2,102.22","2,107.18","2,089.71",,-0.12%
2023-02-07,2095.79,"2,090.25","2,102.36","2,088.16",,0.70%
2023-02-06,2081.29,"2,088.31","2,096.22","2,075.54",,0.59%
2023-02-03,2069.17,"2,055.67","2,072.67","2,055.67",,0.02%
2023-02-02,2068.79,"2,096.76","2,096.76","2,066.23",,-1.02%
2023-02-01,2090.15,"2,113.08","2,114.41","2,089.86",,-0.31%
2023-01-31,2096.67,"2,102.87","2,108.26","2,095.09",,-0.10%
2023-01-30,2098.81,"2,085.26","2,100.63","2,085.26",,1.11%
2023-01-27,2075.76,"2,071.40","2,089.30","2,070.64",,0.82%
2023-01-26,2058.94,"2,055.76","2,065.98","2,052.46",,0.42%
2023-01-25,2050.35,"2,037.06","2,052.88","2,035.92",,0.26%
2023-01-24,2045.05,"2,042.78","2,048.48","2,039.64",,1.06%
2023-01-23,2023.58,"2,020.73","2,027.40","2,013.87",,1.49%
2023-01-20,1993.96,"1,988.74","1,994.90","1,986.38",,0.17%
2023-01-19,1990.59,"1,986.71","2,000.70","1,984.85",,-0.58%
2023-01-18,2002.21,"1,974.32","2,009.68","1,970.54",,1.64%
2023-01-17,1969.87,"1,948.04","1,972.74","1,945.38",,1.27%
2023-01-16,1945.19,"1,953.76","1,958.81","1,944.64",,-1.20%
2023-01-13,1968.76,"1,978.79","1,987.54","1,965.87",,-0.88%
2023-01-12,1986.2,"1,999.21","1,999.21","1,984.29",,-0.24%
2023-01-11,1991.05,"1,991.48","1,997.38","1,986.03",,0.32%
2023-01-10,1984.77,"1,990.25","1,996.40","1,981.04",,0.91%
2023-01-06,1966.81,"1,958.06","1,974.43","1,954.59",,0.27%
2023-01-05,1961.57,"1,954.04","1,966.15","1,950.36",,0.74%
2023-01-04,1947.17,"1,961.12","1,961.50","1,945.57",,-1.80%
2022-12-30,1982.78,"2,002.30","2,006.03","1,982.78",,-0.26%
2022-12-29,1987.88,"1,985.02","1,987.88","1,974.05",,-1.10%
2022-12-28,2010.07,"2,003.00","2,010.79","1,997.49",,0.12%
2022-12-27,2007.72,"2,012.67","2,018.75","2,007.01",,0.46%
2022-12-26,1998.44,"1,991.15","1,998.51","1,989.68",,0.48%
2022-12-23,1988.93,"1,983.13","1,992.51","1,980.15",,-0.62%
2022-12-22,2001.31,"1,998.33","2,004.55","1,992.17",,0.39%
2022-12-21,1993.6,"2,012.13","2,014.50","1,992.85",,-0.97%
2022-12-20,2013.19,"2,050.76","2,059.82","2,002.21",,-1.72%
2022-12-19,2048.42,"2,049.07","2,055.77","2,044.40",,-0.70%
2022-12-16,2062.76,"2,064.22","2,070.10","2,060.94",,-1.38%
2022-12-15,2091.55,"2,090.59","2,101.37","2,089.71",,-0.57%
2022-12-14,2103.57,"2,091.86","2,103.93","2,091.66",,1.03%
2022-12-13,2082.08,"2,094.16","2,097.52","2,081.47",,0.23%
2022-12-12,2077.25,"2,073.47","2,081.60","2,073.06",,-0.25%
2022-12-09,2082.44,"2,063.53","2,084.21","2,063.53",,0.99%
2022-12-08,2061.98,"2,068.63","2,069.12","2,053.87",,-0.41%
2022-12-07,2070.39,"2,062.39","2,079.38","2,062.25",,-0.22%
2022-12-06,2074.97,"2,068.60","2,081.51","2,066.99",,-0.33%
2022-12-05,2081.94,"2,087.30","2,092.56","2,076.94",,0.04%
2022-12-02,2081.11,"2,090.92","2,090.92","2,073.16",,-1.24%
2022-12-01,2107.21,"2,105.50","2,112.81","2,099.95",,0.98%
2022-11-30,2086.84,"2,081.50","2,089.72","2,079.24",,-0.33%
2022-11-29,2093.7,"2,090.81","2,096.26","2,081.51",,-0.44%
2022-11-28,2103.02,"2,116.49","2,116.49","2,101.37",,-0.73%
2022-11-25,2118.51,"2,124.17","2,124.17","2,115.30",,0.06%
2022-11-24,2117.3,"2,113.03","2,119.42","2,109.06",,1.29%
2022-11-22,2090.28,"2,087.66","2,097.66","2,087.21",,0.50%
2022-11-21,2079.9,"2,075.31","2,079.90","2,065.72",,0.35%
2022-11-18,2072.59,"2,085.35","2,088.33","2,070.07",,-0.12%
2022-11-17,2075.09,"2,073.42","2,084.96","2,070.97",,0.06%
2022-11-16,2073.8,"2,074.42","2,077.73","2,059.62",,0.06%
2022-11-15,2072.53,"2,063.76","2,073.34","2,060.86",,0.58%
2022-11-14,2060.62,"2,069.48","2,072.62","2,059.90",,0.23%
2022-11-11,2055.95,"2,012.16","2,056.04","2,010.63",,3.93%
2022-11-10,1978.3,"1,990.18","1,990.18","1,977.09",,-1.27%
2022-11-09,2003.77,"1,994.76","2,006.18","1,994.68",,0.66%
