"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","3,108.97","3,136.58","3,140.47","3,098.13","","-2.07%"
"2023-10-18","3,174.77","3,184.22","3,192.61","3,152.27","","0.34%"
"2023-10-17","3,164.09","3,178.98","3,196.86","3,144.80","","0.47%"
"2023-10-16","3,149.40","3,153.56","3,169.92","3,136.27","","-0.54%"
"2023-10-13","3,166.63","3,165.64","3,190.57","3,156.53","","-1.08%"
"2023-10-12","3,201.17","3,154.87","3,201.89","3,154.87","","1.75%"
"2023-10-11","3,146.15","3,171.47","3,179.94","3,146.15","","-0.95%"
"2023-10-10","3,176.28","3,095.40","3,180.21","3,095.23","","4.29%"
"2023-10-06","3,045.61","3,036.36","3,086.47","3,031.80","","0.79%"
"2023-10-05","3,021.59","2,985.31","3,026.19","2,948.41","","1.46%"
"2023-10-04","2,977.97","3,041.48","3,044.88","2,965.17","","-3.64%"
"2023-10-03","3,090.48","3,136.20","3,136.92","3,081.98","","-2.30%"
"2023-10-02","3,163.21","3,204.82","3,230.75","3,160.28","","-0.50%"
"2023-09-29","3,179.12","3,238.30","3,238.30","3,166.26","","-1.88%"
"2023-09-28","3,240.16","3,264.10","3,291.34","3,226.40","","-1.71%"
"2023-09-27","3,296.48","3,272.72","3,296.48","3,241.98","","0.05%"
"2023-09-26","3,294.97","3,320.39","3,320.39","3,284.83","","-0.56%"
"2023-09-25","3,313.64","3,313.10","3,328.58","3,299.13","","0.63%"
"2023-09-22","3,292.81","3,296.33","3,309.72","3,258.75","","-1.11%"
"2023-09-21","3,329.89","3,353.07","3,368.43","3,325.60","","-0.85%"
"2023-09-20","3,358.54","3,394.72","3,394.72","3,353.55","","-0.87%"
"2023-09-19","3,388.10","3,359.41","3,388.10","3,347.88","","0.68%"
"2023-09-15","3,365.23","3,349.06","3,387.60","3,346.90","","1.14%"
"2023-09-14","3,327.44","3,292.14","3,333.63","3,288.48","","1.42%"
"2023-09-13","3,280.88","3,295.04","3,295.04","3,272.52","","-0.14%"
"2023-09-12","3,285.61","3,315.51","3,320.78","3,275.79","","-0.47%"
"2023-09-11","3,301.14","3,319.01","3,328.98","3,291.48","","0.24%"
"2023-09-08","3,293.40","3,299.95","3,324.45","3,290.15","","-1.21%"
"2023-09-07","3,333.81","3,344.57","3,379.56","3,332.07","","-0.16%"
"2023-09-06","3,339.16","3,331.28","3,356.72","3,328.30","","0.23%"
"2023-09-05","3,331.54","3,311.56","3,331.54","3,293.93","","0.21%"
"2023-09-04","3,324.40","3,266.21","3,324.40","3,261.44","","1.94%"
"2023-09-01","3,261.28","3,207.89","3,264.93","3,203.46","","1.61%"
"2023-08-31","3,209.70","3,170.10","3,209.70","3,170.10","","1.36%"
"2023-08-30","3,166.75","3,176.66","3,182.13","3,160.52","","0.25%"
"2023-08-29","3,158.95","3,178.09","3,178.09","3,154.44","","-0.33%"
"2023-08-28","3,169.31","3,149.68","3,170.83","3,138.40","","1.71%"
"2023-08-25","3,116.16","3,103.62","3,122.12","3,103.62","","-0.92%"
"2023-08-24","3,145.14","3,147.28","3,155.59","3,135.32","","0.11%"
"2023-08-23","3,141.58","3,127.96","3,143.82","3,123.96","","-0.45%"
"2023-08-22","3,155.81","3,127.19","3,158.90","3,127.19","","1.68%"
