"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","1,345.59","1,335.53","1,348.56","1,330.66","","1.65%"
"2020-05-25","1,323.74","1,321.80","1,324.22","1,314.57","","1.47%"
"2020-05-22","1,304.50","1,325.47","1,327.10","1,302.52","","-1.60%"
"2020-05-21","1,325.65","1,325.85","1,331.54","1,322.21","","0.13%"
"2020-05-20","1,323.89","1,314.27","1,326.50","1,310.80","","0.32%"
"2020-05-19","1,319.66","1,322.01","1,331.21","1,318.97","","1.76%"
"2020-05-18","1,296.81","1,290.90","1,301.09","1,284.08","","1.06%"
"2020-05-15","1,283.20","1,298.97","1,300.21","1,275.87","","0.11%"
"2020-05-14","1,281.74","1,302.16","1,304.51","1,281.74","","-2.43%"
"2020-05-13","1,313.71","1,309.67","1,322.27","1,306.19","","-0.63%"
"2020-05-12","1,322.05","1,333.80","1,333.80","1,319.64","","-1.22%"
"2020-05-11","1,338.32","1,321.81","1,343.13","1,321.65","","2.45%"
"2020-05-08","1,306.30","1,266.17","1,307.15","1,265.29","","4.13%"
"2020-05-07","1,254.46","1,253.33","1,263.89","1,248.15","","-0.85%"
"2020-05-01","1,265.21","1,276.65","1,281.41","1,258.70","","-2.05%"
"2020-04-30","1,291.64","1,295.00","1,304.65","1,291.64","","1.51%"
"2020-04-28","1,272.41","1,271.27","1,274.38","1,263.02","","-0.38%"
"2020-04-27","1,277.31","1,260.64","1,278.97","1,256.95","","1.87%"
"2020-04-24","1,253.92","1,247.63","1,254.32","1,243.00","","-0.14%"
"2020-04-23","1,255.73","1,235.37","1,255.73","1,233.53","","2.59%"
"2020-04-22","1,224.08","1,217.75","1,230.32","1,207.28","","-0.93%"
"2020-04-21","1,235.53","1,234.69","1,238.72","1,226.78","","-1.35%"
"2020-04-20","1,252.47","1,254.24","1,261.17","1,252.30","","-0.83%"
"2020-04-17","1,262.99","1,267.71","1,279.42","1,255.82","","0.45%"
"2020-04-16","1,257.38","1,245.41","1,259.48","1,239.76","","-0.26%"
"2020-04-15","1,260.70","1,264.88","1,265.08","1,250.19","","-0.50%"
"2020-04-14","1,266.99","1,250.53","1,269.66","1,248.87","","1.52%"
"2020-04-13","1,248.05","1,263.52","1,264.40","1,246.96","","-2.28%"
"2020-04-10","1,277.23","1,263.17","1,277.23","1,244.57","","0.97%"
"2020-04-09","1,264.94","1,262.66","1,268.84","1,249.30","","0.09%"
"2020-04-08","1,263.82","1,252.97","1,269.34","1,234.45","","1.10%"
"2020-04-07","1,250.04","1,248.04","1,256.99","1,219.25","","1.86%"
"2020-04-06","1,227.16","1,184.97","1,234.30","1,177.82","","2.83%"
"2020-04-03","1,193.33","1,200.57","1,216.25","1,184.19","","-0.44%"
"2020-04-02","1,198.65","1,213.05","1,219.39","1,197.18","","-2.30%"
"2020-04-01","1,226.89","1,269.31","1,272.88","1,218.34","","-4.12%"
"2020-03-31","1,279.61","1,313.92","1,316.49","1,274.29","","-3.55%"
"2020-03-30","1,326.77","1,306.41","1,326.77","1,281.44","","-2.26%"
"2020-03-27","1,357.41","1,320.39","1,357.41","1,314.68","","4.91%"
"2020-03-26","1,293.94","1,310.28","1,310.28","1,276.93","","-2.85%"
"2020-03-25","1,331.94","1,289.10","1,333.37","1,288.66","","5.46%"
"2020-03-24","1,263.02","1,239.22","1,263.02","1,231.81","","3.57%"
"2020-03-23","1,219.52","1,206.35","1,222.82","1,189.05","","0.65%"
"2020-03-19","1,211.60","1,219.85","1,243.20","1,202.56","","1.06%"
"2020-03-18","1,198.86","1,203.09","1,238.40","1,197.52","","-0.48%"
"2020-03-17","1,204.60","1,144.06","1,212.01","1,134.44","","3.41%"
"2020-03-16","1,164.85","1,185.67","1,209.22","1,163.12","","-1.39%"
"2020-03-13","1,181.26","1,216.75","1,222.04","1,136.12","","-5.01%"
"2020-03-12","1,243.51","1,273.75","1,274.94","1,229.83","","-3.76%"
"2020-03-11","1,292.12","1,313.31","1,331.49","1,291.00","","-1.35%"
"2020-03-10","1,309.79","1,282.22","1,317.86","1,239.30","","0.48%"
"2020-03-09","1,303.55","1,353.22","1,353.80","1,296.51","","-5.56%"
"2020-03-06","1,380.26","1,395.98","1,400.90","1,375.84","","-2.65%"
"2020-03-05","1,417.90","1,426.28","1,426.59","1,409.81","","0.89%"
"2020-03-04","1,405.44","1,397.56","1,413.50","1,393.35","","0.11%"
"2020-03-03","1,403.86","1,441.34","1,446.04","1,403.86","","-1.37%"
"2020-03-02","1,423.40","1,401.60","1,438.32","1,396.76","","-0.14%"
"2020-02-28","1,425.44","1,443.23","1,444.19","1,411.65","","-3.13%"
"2020-02-27","1,471.57","1,492.72","1,493.33","1,465.46","","-1.97%"
"2020-02-26","1,501.08","1,485.39","1,503.41","1,479.05","","-0.04%"
"2020-02-25","1,501.70","1,524.27","1,524.27","1,489.97","","-3.36%"
"2020-02-21","1,553.88","1,553.23","1,565.90","1,552.74","","0.27%"
"2020-02-20","1,549.62","1,559.28","1,566.28","1,549.41","","0.10%"
"2020-02-19","1,548.05","1,553.06","1,554.90","1,547.70","","0.01%"
"2020-02-18","1,547.96","1,555.92","1,562.75","1,544.44","","-1.04%"
"2020-02-17","1,564.24","1,559.67","1,566.38","1,549.03","","-0.51%"
"2020-02-14","1,572.18","1,569.96","1,572.18","1,564.85","","-0.38%"
"2020-02-13","1,578.13","1,581.46","1,583.64","1,573.65","","-0.13%"
"2020-02-12","1,580.24","1,591.23","1,592.27","1,576.48","","-0.73%"
"2020-02-10","1,591.94","1,589.85","1,598.41","1,588.45","","-1.05%"
"2020-02-07","1,608.90","1,606.81","1,609.23","1,598.07","","-0.10%"
"2020-02-06","1,610.44","1,596.19","1,617.73","1,595.77","","2.18%"
"2020-02-05","1,576.15","1,576.46","1,581.28","1,568.54","","1.08%"
"2020-02-04","1,559.38","1,544.92","1,560.71","1,542.93","","0.64%"
"2020-02-03","1,549.51","1,541.68","1,554.83","1,537.96","","-1.08%"
"2020-01-31","1,566.49","1,557.91","1,578.71","1,557.77","","0.91%"
"2020-01-30","1,552.41","1,567.39","1,570.47","1,546.04","","-1.38%"
"2020-01-29","1,574.20","1,564.79","1,574.78","1,560.93","","0.45%"
"2020-01-28","1,567.08","1,566.48","1,571.50","1,558.44","","-0.88%"
"2020-01-27","1,580.96","1,574.87","1,587.32","1,573.43","","-1.24%"
"2020-01-24","1,600.82","1,601.09","1,603.43","1,596.88","","0.13%"
"2020-01-23","1,598.82","1,603.99","1,606.46","1,598.02","","-0.60%"
"2020-01-22","1,608.49","1,602.91","1,610.01","1,601.20","","0.15%"
"2020-01-21","1,606.02","1,610.80","1,612.61","1,602.80","","-0.18%"
"2020-01-20","1,608.95","1,597.28","1,610.41","1,597.28","","0.88%"
"2020-01-17","1,594.98","1,588.76","1,595.67","1,586.20","","0.64%"
"2020-01-16","1,584.78","1,582.57","1,585.57","1,577.61","","-0.04%"
"2020-01-15","1,585.35","1,590.11","1,593.96","1,581.72","","-0.63%"
"2020-01-14","1,595.36","1,594.49","1,595.49","1,588.23","","0.09%"
"2020-01-10","1,593.86","1,597.93","1,601.15","1,592.56","","-0.08%"
"2020-01-09","1,595.16","1,588.63","1,598.14","1,587.63","","1.54%"
"2020-01-08","1,570.97","1,572.73","1,576.59","1,557.34","","-1.45%"
"2020-01-07","1,594.02","1,573.49","1,595.40","1,573.49","","1.39%"
"2020-01-06","1,572.11","1,570.97","1,572.77","1,561.23","","-0.82%"
"2019-12-30","1,585.04","1,591.48","1,592.01","1,581.91","","-0.73%"
"2019-12-27","1,596.65","1,599.79","1,600.84","1,595.10","","0.05%"
"2019-12-26","1,595.88","1,584.65","1,595.88","1,584.59","","0.72%"
"2019-12-25","1,584.46","1,592.87","1,592.87","1,583.29","","-0.26%"
"2019-12-24","1,588.59","1,593.32","1,594.04","1,586.59","","-0.26%"
"2019-12-23","1,592.66","1,600.58","1,600.58","1,592.60","","-0.35%"
"2019-12-20","1,598.18","1,603.84","1,603.90","1,593.35","","-0.18%"
"2019-12-19","1,601.12","1,598.95","1,605.14","1,597.28","","-0.10%"
"2019-12-18","1,602.75","1,613.25","1,613.56","1,601.22","","-0.67%"
"2019-12-17","1,613.61","1,610.29","1,613.61","1,605.33","","0.72%"
"2019-12-16","1,602.01","1,602.63","1,606.86","1,602.01","","-0.19%"
"2019-12-13","1,605.02","1,605.33","1,609.60","1,599.10","","1.45%"
"2019-12-12","1,582.09","1,585.60","1,586.46","1,576.53","","-0.33%"
"2019-12-11","1,587.39","1,587.17","1,592.10","1,583.81","","-0.05%"
"2019-12-10","1,588.16","1,589.84","1,592.60","1,587.17","","-0.08%"
"2019-12-09","1,589.36","1,591.05","1,591.05","1,580.04","","0.58%"
"2019-12-06","1,580.26","1,584.36","1,587.21","1,577.42","","-0.18%"
"2019-12-05","1,583.13","1,578.52","1,583.64","1,574.55","","0.94%"
"2019-12-04","1,568.31","1,551.76","1,568.86","1,549.11","","0.37%"
"2019-12-03","1,562.58","1,557.91","1,564.59","1,554.17","","-0.73%"
"2019-12-02","1,574.02","1,557.39","1,575.44","1,557.11","","1.35%"
"2019-11-29","1,553.10","1,565.77","1,565.87","1,551.14","","-0.80%"
"2019-11-28","1,565.65","1,569.79","1,570.47","1,557.80","","-0.33%"
"2019-11-27","1,570.89","1,574.38","1,577.63","1,570.36","","-0.04%"
"2019-11-26","1,571.53","1,581.11","1,585.48","1,568.49","","-0.02%"
"2019-11-25","1,571.86","1,567.12","1,573.48","1,566.57","","1.04%"
