"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","1,195.84","1,183.21","1,197.64","1,182.91","","1.77%"
"2020-05-25","1,175.08","1,158.65","1,175.08","1,158.34","","2.39%"
"2020-05-22","1,147.70","1,147.74","1,154.41","1,144.30","","-0.18%"
"2020-05-21","1,149.75","1,151.46","1,155.43","1,147.63","","0.32%"
"2020-05-20","1,146.09","1,138.39","1,147.72","1,136.34","","0.58%"
"2020-05-19","1,139.43","1,141.06","1,146.78","1,135.42","","0.69%"
"2020-05-18","1,131.64","1,122.58","1,133.08","1,117.88","","1.31%"
"2020-05-15","1,117.01","1,118.08","1,120.12","1,106.71","","0.60%"
"2020-05-14","1,110.37","1,123.40","1,129.57","1,110.37","","-1.54%"
"2020-05-13","1,127.73","1,117.52","1,129.36","1,114.81","","0.16%"
"2020-05-12","1,125.88","1,125.93","1,131.53","1,123.04","","0.02%"
"2020-05-11","1,125.67","1,116.19","1,129.23","1,114.45","","1.37%"
"2020-05-08","1,110.47","1,096.02","1,110.47","1,095.03","","2.68%"
"2020-05-07","1,081.45","1,081.42","1,086.01","1,077.55","","-0.60%"
"2020-05-01","1,088.01","1,092.68","1,098.88","1,084.35","","-1.32%"
"2020-04-30","1,102.55","1,104.96","1,111.04","1,099.15","","0.99%"
"2020-04-28","1,091.74","1,090.14","1,091.87","1,080.63","","-0.37%"
"2020-04-27","1,095.80","1,092.93","1,096.67","1,088.12","","0.94%"
"2020-04-24","1,085.64","1,082.84","1,088.32","1,076.17","","-0.25%"
"2020-04-23","1,088.36","1,082.02","1,088.36","1,078.98","","1.09%"
"2020-04-22","1,076.59","1,080.46","1,084.09","1,072.64","","-1.33%"
"2020-04-21","1,091.07","1,087.60","1,096.38","1,083.69","","-0.41%"
"2020-04-20","1,095.56","1,087.49","1,099.75","1,086.31","","-0.15%"
"2020-04-17","1,097.21","1,094.84","1,105.72","1,087.22","","1.20%"
"2020-04-16","1,084.18","1,073.06","1,085.40","1,070.57","","0.68%"
"2020-04-15","1,076.82","1,071.51","1,081.15","1,066.22","","0.54%"
"2020-04-14","1,071.06","1,045.63","1,071.06","1,043.56","","3.20%"
"2020-04-13","1,037.89","1,040.80","1,047.85","1,035.39","","-0.84%"
"2020-04-10","1,046.71","1,041.95","1,047.75","1,023.30","","-0.06%"
"2020-04-09","1,047.33","1,059.27","1,062.11","1,031.46","","-1.23%"
"2020-04-08","1,060.39","1,037.20","1,066.84","1,027.47","","2.25%"
"2020-04-07","1,037.01","1,052.83","1,058.10","1,023.62","","0.23%"
"2020-04-06","1,034.63","998.25","1,038.07","994.03","","3.54%"
"2020-04-03","999.22","1,016.30","1,029.87","992.70","","-1.53%"
"2020-04-02","1,014.78","1,025.82","1,032.82","1,014.43","","-1.54%"
"2020-04-01","1,030.64","1,055.71","1,063.00","1,025.88","","-3.50%"
"2020-03-31","1,067.98","1,083.53","1,094.34","1,064.91","","-1.66%"
"2020-03-30","1,085.97","1,062.60","1,085.97","1,054.36","","0.01%"
