日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,1466.11,"1,462.47","1,475.23","1,460.85",,-0.87%
2023-10-18,1478.91,"1,479.89","1,480.94","1,468.35",,0.50%
2023-10-17,1471.5,"1,479.99","1,484.73","1,464.24",,0.38%
2023-10-16,1465.9,"1,476.23","1,478.29","1,459.47",,-1.26%
2023-10-13,1484.54,"1,491.89","1,497.12","1,480.25",,-1.54%
2023-10-12,1507.79,"1,505.05","1,508.77","1,497.84",,0.60%
2023-10-11,1498.81,"1,505.09","1,507.82","1,496.54",,-0.65%
2023-10-10,1508.65,"1,495.44","1,511.98","1,495.44",,2.23%
2023-10-06,1475.78,"1,465.79","1,487.43","1,465.08",,0.90%
2023-10-05,1462.65,"1,436.65","1,464.88","1,434.18",,2.63%
2023-10-04,1425.23,"1,453.06","1,457.58","1,424.94",,-3.06%
2023-10-03,1470.24,"1,502.16","1,502.16","1,466.72",,-2.44%
2023-10-02,1507.06,"1,521.31","1,534.19","1,506.68",,-0.67%
2023-09-29,1517.23,"1,536.68","1,536.68","1,511.03",,-0.99%
2023-09-28,1532.4,"1,530.39","1,545.69","1,522.95",,-1.41%
2023-09-27,1554.36,"1,539.64","1,554.36","1,526.89",,0.52%
2023-09-26,1546.36,"1,549.75","1,551.64","1,541.29",,-0.47%
2023-09-25,1553.6,"1,557.09","1,562.97","1,547.41",,0.45%
2023-09-22,1546.63,"1,546.21","1,555.36","1,539.00",,-1.00%
2023-09-21,1562.28,"1,573.77","1,582.73","1,561.71",,-0.53%
2023-09-20,1570.59,"1,590.35","1,591.09","1,570.59",,-1.14%
2023-09-19,1588.71,"1,582.98","1,588.71","1,574.69",,0.12%
2023-09-15,1586.78,"1,575.45","1,591.51","1,574.25",,1.94%
2023-09-14,1556.52,"1,539.46","1,560.15","1,535.96",,1.70%
2023-09-13,1530.57,"1,542.59","1,543.70","1,526.33",,-0.94%
2023-09-12,1545.16,"1,542.16","1,547.40","1,531.57",,0.60%
2023-09-11,1536.01,"1,544.63","1,547.24","1,531.40",,-0.23%
2023-09-08,1539.48,"1,546.87","1,553.91","1,535.94",,-0.60%
2023-09-07,1548.78,"1,533.80","1,557.99","1,533.80",,1.03%
2023-09-06,1532.99,"1,533.61","1,538.54","1,528.82",,0.23%
2023-09-05,1529.51,"1,528.70","1,535.29","1,516.90",,-0.01%
2023-09-04,1529.6,"1,514.39","1,529.61","1,509.62",,1.00%
2023-09-01,1514.41,"1,492.80","1,517.07","1,492.80",,1.09%
2023-08-31,1498.1,"1,490.86","1,502.26","1,490.86",,0.57%
2023-08-30,1489.54,"1,484.32","1,496.50","1,483.19",,0.20%
2023-08-29,1486.51,"1,489.14","1,491.67","1,481.59",,0.00%
2023-08-28,1486.53,"1,474.23","1,486.92","1,472.77",,1.59%
2023-08-25,1463.29,"1,465.70","1,469.89","1,460.37",,-0.82%
2023-08-24,1475.46,"1,459.43","1,478.16","1,457.53",,1.01%
2023-08-23,1460.75,"1,445.04","1,461.22","1,443.86",,0.80%
2023-08-22,1449.11,"1,439.85","1,449.11","1,438.71",,0.50%
2023-08-21,1441.86,"1,442.36","1,450.24","1,439.72",,0.38%
2023-08-18,1436.42,"1,446.78","1,448.77","1,429.92",,-1.52%
2023-08-17,1458.65,"1,464.22","1,464.22","1,440.41",,-0.36%
2023-08-16,1463.95,"1,449.93","1,469.48","1,449.93",,0.64%
2023-08-15,1454.65,"1,459.81","1,459.91","1,448.82",,0.26%
2023-08-14,1450.9,"1,463.87","1,469.39","1,448.17",,-0.99%
2023-08-10,1465.42,"1,446.49","1,465.42","1,441.24",,1.33%
2023-08-09,1446.23,"1,430.01","1,449.74","1,420.54",,0.99%
2023-08-08,1432.02,"1,417.79","1,432.41","1,417.79",,0.84%
2023-08-07,1420.06,"1,427.44","1,445.59","1,409.22",,-0.82%
2023-08-04,1431.8,"1,425.58","1,438.14","1,421.02",,-0.04%
2023-08-03,1432.41,"1,442.76","1,444.66","1,430.28",,-1.26%
2023-08-02,1450.63,"1,451.05","1,465.75","1,447.85",,-0.61%
2023-08-01,1459.49,"1,452.17","1,459.56","1,448.59",,0.52%
2023-07-31,1451.87,"1,445.83","1,456.16","1,443.37",,1.40%
2023-07-28,1431.8,"1,420.50","1,436.67","1,410.79",,-0.67%
2023-07-27,1441.52,"1,439.73","1,442.34","1,431.78",,-0.19%
2023-07-26,1444.25,"1,445.97","1,447.14","1,433.29",,-0.21%
2023-07-25,1447.35,"1,441.76","1,448.02","1,437.52",,0.86%
2023-07-24,1435.03,"1,427.74","1,435.85","1,426.08",,1.22%
2023-07-21,1417.67,"1,415.85","1,423.47","1,410.00",,0.53%
2023-07-20,1410.2,"1,411.54","1,416.44","1,407.75",,0.12%
2023-07-19,1408.46,"1,404.56","1,408.46","1,397.88",,1.00%
2023-07-18,1394.48,"1,385.58","1,397.32","1,384.60",,0.84%
2023-07-14,1382.8,"1,390.16","1,390.16","1,372.47",,0.09%
2023-07-13,1381.51,"1,384.57","1,387.95","1,373.37",,-0.15%
2023-07-12,1383.52,"1,395.53","1,396.59","1,381.81",,-0.31%
2023-07-11,1387.79,"1,399.64","1,401.94","1,384.53",,-0.36%
2023-07-10,1392.82,"1,394.07","1,402.26","1,389.41",,0.19%
2023-07-07,1390.2,"1,390.20","1,400.55","1,381.63",,-0.70%
2023-07-06,1399.94,"1,406.02","1,407.98","1,394.78",,-0.71%
2023-07-05,1409.97,"1,405.73","1,412.93","1,400.71",,-0.27%
2023-07-04,1413.84,"1,421.96","1,423.85","1,412.40",,-0.90%
2023-07-03,1426.63,"1,420.91","1,429.57","1,420.79",,1.03%
2023-06-30,1412.03,"1,414.10","1,417.17","1,403.90",,0.00%
2023-06-29,1412.09,"1,419.43","1,427.65","1,407.78",,-0.24%
2023-06-28,1415.52,"1,401.09","1,415.52","1,397.54",,1.70%
2023-06-27,1391.9,"1,393.48","1,395.36","1,380.26",,0.28%
2023-06-26,1387.95,"1,391.20","1,394.43","1,377.63",,-0.18%
2023-06-23,1390.43,"1,410.11","1,413.26","1,384.45",,-0.91%
2023-06-22,1403.25,"1,394.58","1,405.75","1,394.58",,1.19%
2023-06-21,1386.7,"1,365.91","1,387.56","1,364.12",,1.65%
2023-06-20,1364.22,"1,365.85","1,368.05","1,358.28",,-0.54%
2023-06-19,1371.64,"1,379.06","1,380.71","1,362.57",,0.01%
2023-06-16,1371.54,"1,370.19","1,371.73","1,360.34",,-0.38%
2023-06-15,1376.84,"1,370.55","1,380.76","1,366.97",,0.47%
2023-06-14,1370.38,"1,369.15","1,373.11","1,363.83",,0.52%
2023-06-13,1363.29,"1,360.75","1,368.81","1,356.97",,0.34%
2023-06-12,1358.63,"1,361.27","1,364.04","1,353.93",,-0.29%
2023-06-09,1362.64,"1,350.50","1,363.61","1,350.50",,0.94%
2023-06-08,1349.89,"1,360.17","1,365.73","1,343.93",,-0.34%
2023-06-07,1354.5,"1,372.73","1,378.40","1,354.50",,-1.03%
2023-06-06,1368.64,"1,347.63","1,368.89","1,343.85",,1.27%
2023-06-05,1351.47,"1,348.94","1,352.58","1,347.63",,1.57%
2023-06-02,1330.55,"1,314.29","1,330.55","1,314.29",,0.93%
2023-06-01,1318.24,"1,311.78","1,325.73","1,311.53",,0.41%
2023-05-31,1312.88,"1,325.74","1,326.63","1,309.33",,-1.63%
2023-05-30,1334.62,"1,336.62","1,338.32","1,327.47",,-0.66%
2023-05-29,1343.48,"1,349.70","1,349.70","1,342.45",,0.46%
2023-05-26,1337.34,"1,348.07","1,350.23","1,337.23",,-0.85%
2023-05-25,1348.74,"1,342.86","1,353.56","1,342.86",,-0.06%
2023-05-24,1349.54,"1,350.64","1,356.24","1,346.91",,-0.49%
2023-05-23,1356.18,"1,366.59","1,371.63","1,351.49",,-0.43%
2023-05-22,1362.03,"1,346.50","1,362.03","1,346.50",,1.07%
2023-05-19,1347.64,"1,350.44","1,355.52","1,347.29",,-0.32%
2023-05-18,1351.99,"1,360.24","1,360.24","1,344.91",,-0.27%
2023-05-17,1355.68,"1,351.01","1,357.25","1,344.60",,0.48%
2023-05-16,1349.23,"1,344.76","1,350.10","1,339.91",,0.87%
2023-05-15,1337.63,"1,330.16","1,338.19","1,327.80",,1.53%
2023-05-12,1317.51,"1,307.50","1,319.95","1,300.75",,0.94%
2023-05-11,1305.25,"1,313.25","1,320.13","1,302.79",,-1.46%
2023-05-10,1324.59,"1,329.25","1,329.25","1,320.49",,0.06%
2023-05-09,1323.85,"1,309.11","1,324.79","1,309.11",,1.38%
2023-05-08,1305.88,"1,294.58","1,306.31","1,292.43",,0.92%
2023-05-02,1294.01,"1,305.46","1,305.62","1,289.02",,-0.58%
2023-05-01,1301.61,"1,299.83","1,301.71","1,290.91",,0.61%
2023-04-28,1293.67,"1,283.33","1,293.67","1,282.00",,1.87%
2023-04-27,1269.93,"1,262.24","1,271.49","1,258.34",,0.13%
2023-04-26,1268.23,"1,251.92","1,271.12","1,249.69",,1.58%
2023-04-25,1248.45,"1,246.90","1,255.12","1,246.32",,0.69%
2023-04-24,1239.9,"1,237.07","1,242.46","1,235.06",,0.51%
2023-04-21,1233.63,"1,227.60","1,237.65","1,227.60",,0.26%
2023-04-20,1230.48,"1,224.75","1,231.53","1,221.18",,0.30%
2023-04-19,1226.86,"1,226.87","1,228.52","1,222.47",,-0.02%
2023-04-18,1227.1,"1,226.05","1,230.85","1,225.02",,0.04%
2023-04-17,1226.6,"1,222.28","1,227.24","1,218.21",,0.73%
2023-04-14,1217.76,"1,211.50","1,220.33","1,210.40",,0.71%
2023-04-13,1209.13,"1,209.09","1,210.33","1,204.52",,0.01%
2023-04-12,1208.96,"1,205.78","1,210.41","1,203.33",,0.94%
2023-04-11,1197.67,"1,197.58","1,199.21","1,191.05",,0.69%
2023-04-10,1189.48,"1,194.11","1,195.80","1,187.21",,0.28%
2023-04-07,1186.12,"1,184.14","1,188.03","1,182.87",,0.08%
2023-04-06,1185.12,"1,184.48","1,191.67","1,183.43",,-0.60%
2023-04-05,1192.28,"1,212.13","1,214.70","1,191.90",,-2.44%
2023-04-04,1222.06,"1,220.77","1,222.06","1,213.18",,0.70%
2023-04-03,1213.59,"1,205.95","1,214.10","1,201.57",,1.34%
2023-03-31,1197.6,"1,195.00","1,202.79","1,195.00",,0.80%
2023-03-30,1188.15,"1,187.87","1,188.57","1,179.21",,-1.38%
2023-03-29,1204.76,"1,194.04","1,204.76","1,188.09",,1.43%
2023-03-28,1187.81,"1,193.65","1,195.90","1,183.32",,0.10%
2023-03-27,1186.63,"1,193.72","1,193.72","1,186.63",,0.26%
2023-03-24,1183.52,"1,177.16","1,185.07","1,175.04",,-0.04%
2023-03-23,1183.99,"1,175.96","1,184.50","1,171.17",,0.06%
2023-03-22,1183.33,"1,185.66","1,185.70","1,178.82",,1.47%
2023-03-20,1166.15,"1,181.64","1,184.24","1,166.15",,-2.03%
2023-03-17,1190.28,"1,198.85","1,201.74","1,187.28",,-0.39%
2023-03-16,1194.96,"1,190.43","1,196.51","1,183.32",,-1.45%
2023-03-15,1212.54,"1,202.73","1,215.43","1,200.73",,1.82%
2023-03-14,1190.81,"1,204.60","1,204.60","1,182.13",,-2.72%
2023-03-13,1224.08,"1,238.30","1,238.30","1,214.07",,-2.00%
2023-03-10,1249.03,"1,247.76","1,256.62","1,244.89",,-0.66%
2023-03-09,1257.29,"1,247.90","1,257.82","1,247.90",,1.36%
2023-03-08,1240.46,"1,226.82","1,240.55","1,226.54",,1.14%
2023-03-07,1226.49,"1,219.01","1,227.17","1,218.69",,0.65%
2023-03-06,1218.61,"1,217.38","1,220.68","1,213.07",,0.35%
2023-03-03,1214.38,"1,207.25","1,216.45","1,205.04",,0.91%
2023-03-02,1203.38,"1,207.44","1,207.44","1,201.82",,0.08%
2023-03-01,1202.4,"1,199.23","1,203.27","1,197.86",,0.19%
2023-02-28,1200.08,"1,206.87","1,207.16","1,198.75",,-0.62%
2023-02-27,1207.55,"1,196.32","1,207.89","1,196.32",,1.26%
2023-02-24,1192.56,"1,188.26","1,194.14","1,185.86",,0.80%
2023-02-22,1183.13,"1,187.56","1,188.25","1,180.35",,-0.71%
2023-02-21,1191.61,"1,184.68","1,193.00","1,184.12",,0.43%
2023-02-20,1186.53,"1,184.21","1,187.16","1,181.57",,0.79%
2023-02-17,1177.27,"1,170.47","1,177.76","1,170.47",,0.33%
2023-02-16,1173.43,"1,173.15","1,176.65","1,167.59",,0.01%
2023-02-15,1173.35,"1,180.94","1,182.06","1,172.67",,-0.35%
2023-02-14,1177.5,"1,169.56","1,177.50","1,165.94",,1.31%
2023-02-13,1162.3,"1,158.62","1,165.09","1,155.30",,0.62%
2023-02-10,1155.17,"1,149.12","1,160.35","1,147.49",,0.48%
2023-02-09,1149.65,"1,144.72","1,151.77","1,141.27",,0.32%
2023-02-08,1146.02,"1,151.36","1,153.33","1,144.73",,-0.13%
2023-02-07,1147.5,"1,155.13","1,156.86","1,147.14",,-0.51%
2023-02-06,1153.34,"1,150.60","1,154.21","1,146.56",,1.19%
2023-02-03,1139.75,"1,138.19","1,141.81","1,134.65",,-0.46%
2023-02-02,1145.03,"1,156.89","1,157.72","1,143.79",,-1.21%
2023-02-01,1159.03,"1,180.60","1,180.60","1,158.75",,-1.43%
2023-01-31,1175.85,"1,172.71","1,178.92","1,171.42",,0.60%
2023-01-30,1168.87,"1,164.27","1,171.16","1,164.27",,-0.25%
2023-01-27,1171.8,"1,173.27","1,173.74","1,169.08",,0.02%
2023-01-26,1171.59,"1,171.63","1,175.08","1,168.56",,0.03%
2023-01-25,1171.22,"1,167.46","1,174.47","1,166.52",,0.40%
2023-01-24,1166.54,"1,157.82","1,167.70","1,157.82",,1.04%
2023-01-23,1154.54,"1,152.45","1,155.69","1,145.37",,0.84%
2023-01-20,1144.97,"1,134.14","1,145.29","1,133.39",,1.42%
2023-01-19,1128.95,"1,133.58","1,136.92","1,128.83",,-0.42%
2023-01-18,1133.73,"1,120.01","1,137.55","1,118.38",,1.17%
2023-01-17,1120.66,"1,114.21","1,121.51","1,111.75",,0.78%
2023-01-16,1112.03,"1,114.17","1,117.53","1,111.12",,-0.72%
2023-01-13,1120.04,"1,115.31","1,124.63","1,115.31",,0.16%
2023-01-12,1118.25,"1,123.32","1,124.58","1,117.75",,-0.49%
2023-01-11,1123.74,"1,119.39","1,124.46","1,118.98",,0.87%
2023-01-10,1114.01,"1,118.93","1,121.76","1,113.20",,0.12%
2023-01-06,1112.64,"1,111.54","1,115.29","1,108.50",,-0.22%
2023-01-05,1115.13,"1,123.52","1,123.52","1,112.86",,-1.02%
2023-01-04,1126.65,"1,136.31","1,136.31","1,121.90",,-0.95%
2022-12-30,1137.49,"1,142.25","1,144.55","1,137.49",,-0.15%
2022-12-29,1139.24,"1,138.67","1,139.80","1,130.43",,-0.75%
2022-12-28,1147.84,"1,144.60","1,147.94","1,141.04",,0.33%
2022-12-27,1144.04,"1,148.83","1,150.83","1,143.32",,-0.05%
2022-12-26,1144.63,"1,145.29","1,146.02","1,138.86",,0.96%
2022-12-23,1133.71,"1,133.40","1,135.14","1,127.24",,-0.44%
2022-12-22,1138.7,"1,130.44","1,139.48","1,130.44",,1.04%
2022-12-21,1127.0,"1,137.96","1,137.96","1,125.07",,-1.05%
2022-12-20,1138.98,"1,159.36","1,161.49","1,131.89",,-1.29%
2022-12-19,1153.91,"1,155.23","1,158.76","1,153.33",,-0.31%
2022-12-16,1157.55,"1,160.96","1,164.21","1,155.94",,-0.69%
2022-12-15,1165.57,"1,161.71","1,168.59","1,161.71",,0.23%
2022-12-14,1162.93,"1,157.36","1,163.55","1,157.36",,0.88%
2022-12-13,1152.84,"1,153.90","1,156.82","1,152.65",,0.45%
2022-12-12,1147.65,"1,152.47","1,155.15","1,146.89",,-0.30%
2022-12-09,1151.1,"1,153.23","1,158.33","1,147.68",,-0.10%
2022-12-08,1152.28,"1,154.40","1,154.89","1,146.70",,-0.16%
2022-12-07,1154.18,"1,150.03","1,161.60","1,148.88",,0.58%
2022-12-06,1147.55,"1,141.31","1,149.77","1,139.96",,0.60%
2022-12-05,1140.76,"1,144.00","1,144.01","1,134.14",,-0.30%
2022-12-02,1144.18,"1,155.87","1,155.87","1,137.93",,-1.65%
2022-12-01,1163.43,"1,175.95","1,175.95","1,163.09",,-1.14%
2022-11-30,1176.87,"1,178.55","1,181.40","1,171.67",,-0.16%
