"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","2,537.89","2,547.11","2,558.69","2,533.31","","-2.14%"
"2023-10-18","2,593.32","2,585.42","2,596.23","2,584.90","","-0.20%"
"2023-10-17","2,598.46","2,609.82","2,624.55","2,583.98","","0.97%"
"2023-10-16","2,573.37","2,603.77","2,603.77","2,567.00","","-2.28%"
"2023-10-13","2,633.30","2,650.16","2,662.34","2,625.70","","-1.34%"
"2023-10-12","2,668.98","2,611.46","2,669.67","2,611.46","","2.90%"
"2023-10-11","2,593.65","2,594.35","2,607.01","2,585.53","","-0.29%"
"2023-10-10","2,601.18","2,569.65","2,609.22","2,568.64","","2.52%"
"2023-10-06","2,537.28","2,537.53","2,553.99","2,530.84","","-0.30%"
"2023-10-05","2,545.01","2,528.45","2,552.37","2,511.14","","1.50%"
"2023-10-04","2,507.42","2,530.06","2,535.75","2,505.93","","-2.23%"
"2023-10-03","2,564.53","2,611.00","2,611.00","2,561.12","","-2.39%"
"2023-10-02","2,627.22","2,645.73","2,676.04","2,627.22","","0.15%"
"2023-09-29","2,623.21","2,651.61","2,651.68","2,613.26","","-0.66%"
"2023-09-28","2,640.66","2,650.94","2,661.07","2,624.09","","-0.76%"
"2023-09-27","2,660.90","2,638.29","2,660.90","2,630.08","","-0.29%"
"2023-09-26","2,668.77","2,702.34","2,702.34","2,666.97","","-1.22%"
"2023-09-25","2,701.81","2,697.71","2,708.72","2,688.70","","0.39%"
"2023-09-22","2,691.31","2,670.41","2,706.18","2,665.52","","-0.49%"
"2023-09-21","2,704.61","2,734.61","2,740.33","2,702.31","","-1.13%"
"2023-09-20","2,735.54","2,758.40","2,760.56","2,734.24","","-0.92%"
"2023-09-19","2,760.82","2,748.77","2,760.82","2,734.99","","-0.03%"
"2023-09-15","2,761.77","2,756.01","2,770.27","2,749.84","","1.02%"
"2023-09-14","2,733.82","2,715.88","2,739.55","2,709.36","","0.84%"
"2023-09-13","2,711.03","2,716.30","2,725.16","2,704.62","","-0.33%"
"2023-09-12","2,720.01","2,729.29","2,740.86","2,697.18","","-0.03%"
"2023-09-11","2,720.70","2,742.12","2,746.79","2,712.07","","-0.79%"
"2023-09-08","2,742.46","2,761.76","2,769.46","2,736.20","","-1.36%"
"2023-09-07","2,780.26","2,782.72","2,807.38","2,777.79","","-0.67%"
"2023-09-06","2,799.11","2,782.42","2,803.86","2,781.06","","0.75%"
"2023-09-05","2,778.33","2,763.65","2,778.33","2,750.47","","0.50%"
"2023-09-04","2,764.47","2,751.09","2,764.47","2,734.90","","0.78%"
"2023-09-01","2,742.97","2,725.57","2,747.84","2,724.21","","0.82%"
"2023-08-31","2,720.67","2,705.87","2,726.90","2,705.09","","0.54%"
"2023-08-30","2,706.10","2,701.13","2,716.36","2,695.30","","1.09%"
"2023-08-29","2,676.85","2,678.42","2,690.26","2,671.22","","0.60%"
"2023-08-28","2,660.86","2,613.54","2,662.25","2,613.54","","3.05%"
"2023-08-25","2,582.16","2,587.70","2,595.71","2,578.67","","-1.43%"
"2023-08-24","2,619.69","2,605.96","2,624.86","2,603.61","","0.70%"
"2023-08-23","2,601.39","2,566.60","2,602.17","2,565.55","","0.89%"
"2023-08-22","2,578.52","2,567.53","2,578.52","2,553.27","","1.07%"
"2023-08-21","2,551.25","2,564.07","2,574.23","2,550.38","","-0.45%"
"2023-08-18","2,562.91","2,550.51","2,580.69","2,550.51","","-0.50%"
"2023-08-17","2,575.84","2,570.84","2,580.61","2,541.68","","-0.60%"
"2023-08-16","2,591.40","2,604.91","2,617.52","2,591.34","","-1.68%"
"2023-08-15","2,635.55","2,643.66","2,655.77","2,634.40","","0.51%"
"2023-08-14","2,622.29","2,666.39","2,669.77","2,616.06","","-1.83%"
"2023-08-10","2,671.23","2,628.71","2,673.21","2,624.09","","1.24%"
"2023-08-09","2,638.48","2,693.92","2,693.92","2,635.83","","-2.65%"
"2023-08-08","2,710.43","2,712.00","2,731.53","2,703.88","","0.85%"
"2023-08-07","2,687.47","2,659.15","2,689.28","2,644.95","","0.32%"
"2023-08-04","2,679.03","2,646.03","2,679.03","2,643.42","","0.60%"
"2023-08-03","2,662.93","2,678.33","2,683.25","2,658.41","","-1.76%"
"2023-08-02","2,710.60","2,736.40","2,749.83","2,704.50","","-1.51%"
"2023-08-01","2,752.29","2,728.10","2,755.47","2,727.43","","1.40%"
"2023-07-31","2,714.16","2,725.66","2,732.10","2,700.15","","0.32%"
"2023-07-28","2,705.48","2,676.77","2,715.75","2,658.00","","-0.13%"
"2023-07-27","2,708.91","2,684.26","2,712.76","2,676.03","","0.38%"
"2023-07-26","2,698.60","2,706.85","2,708.23","2,689.11","","-0.06%"
"2023-07-25","2,700.20","2,682.15","2,700.20","2,680.23","","0.90%"
"2023-07-24","2,676.21","2,675.93","2,678.10","2,666.05","","1.09%"
"2023-07-21","2,647.36","2,634.48","2,660.46","2,628.75","","-0.08%"
"2023-07-20","2,649.40","2,677.21","2,689.44","2,649.17","","-1.53%"
