"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","1,681.27","1,654.03","1,685.48","1,654.03","","2.31%"
"2020-05-25","1,643.35","1,637.07","1,643.35","1,630.49","","1.59%"
"2020-05-22","1,617.61","1,633.00","1,635.47","1,612.33","","-1.15%"
"2020-05-21","1,636.41","1,642.82","1,646.78","1,632.09","","0.08%"
"2020-05-20","1,635.17","1,624.74","1,642.91","1,622.58","","0.71%"
"2020-05-19","1,623.66","1,609.72","1,629.56","1,608.11","","2.64%"
"2020-05-18","1,581.83","1,581.72","1,585.65","1,569.74","","-0.26%"
"2020-05-15","1,585.93","1,585.27","1,592.90","1,563.54","","1.46%"
"2020-05-14","1,563.12","1,584.99","1,586.56","1,563.12","","-2.04%"
"2020-05-13","1,595.70","1,569.49","1,598.38","1,564.32","","0.46%"
"2020-05-12","1,588.46","1,588.35","1,592.68","1,577.97","","-0.62%"
"2020-05-11","1,598.33","1,585.58","1,600.17","1,581.23","","1.64%"
"2020-05-08","1,572.53","1,554.34","1,572.53","1,554.19","","2.63%"
"2020-05-07","1,532.26","1,514.91","1,537.45","1,514.91","","0.27%"
"2020-05-01","1,528.10","1,549.02","1,549.61","1,519.32","","-2.53%"
"2020-04-30","1,567.74","1,554.94","1,580.55","1,553.03","","2.66%"
"2020-04-28","1,527.17","1,521.82","1,528.23","1,514.67","","0.56%"
"2020-04-27","1,518.73","1,496.83","1,519.61","1,495.00","","2.13%"
"2020-04-24","1,487.05","1,486.62","1,488.95","1,474.73","","-0.33%"
"2020-04-23","1,491.93","1,484.39","1,493.49","1,476.45","","1.32%"
"2020-04-22","1,472.48","1,462.49","1,474.02","1,449.74","","-0.33%"
"2020-04-21","1,477.34","1,483.39","1,491.80","1,473.19","","-1.60%"
"2020-04-20","1,501.40","1,501.43","1,509.98","1,497.39","","-0.67%"
"2020-04-17","1,511.49","1,504.77","1,529.61","1,498.95","","1.96%"
"2020-04-16","1,482.39","1,481.17","1,484.82","1,470.84","","-1.44%"
"2020-04-15","1,504.02","1,508.08","1,513.71","1,493.43","","-0.39%"
"2020-04-14","1,509.89","1,481.14","1,515.17","1,473.70","","2.11%"
"2020-04-13","1,478.72","1,494.71","1,499.05","1,478.26","","-2.02%"
"2020-04-10","1,509.14","1,489.72","1,510.66","1,471.67","","1.47%"
"2020-04-09","1,487.32","1,481.92","1,488.26","1,466.80","","0.34%"
"2020-04-08","1,482.34","1,476.54","1,492.70","1,456.96","","1.06%"
"2020-04-07","1,466.84","1,453.62","1,481.31","1,434.06","","2.79%"
"2020-04-06","1,427.02","1,387.36","1,434.85","1,374.17","","3.03%"
"2020-04-03","1,385.10","1,389.03","1,405.93","1,373.81","","0.37%"
"2020-04-02","1,379.95","1,392.05","1,402.84","1,377.59","","-1.33%"
"2020-04-01","1,398.60","1,436.45","1,455.49","1,385.50","","-4.17%"
"2020-03-31","1,459.39","1,487.06","1,499.19","1,451.18","","-1.44%"
"2020-03-30","1,480.65","1,492.53","1,494.33","1,443.32","","-3.72%"
"2020-03-27","1,537.78","1,509.53","1,537.78","1,491.00","","3.91%"
"2020-03-26","1,479.95","1,478.15","1,491.87","1,446.69","","-1.41%"
