日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,512.53,510.67,513.66,509.37,,-0.29%
2023-10-18,514.02,513.59,514.69,509.29,,0.31%
2023-10-17,512.42,516.46,516.82,510.62,,0.09%
2023-10-16,511.98,519.48,520.43,510.2,,-1.70%
2023-10-13,520.81,524.44,526.52,519.16,,-1.47%
2023-10-12,528.57,528.53,530.96,527.4,,0.21%
2023-10-11,527.46,532.44,532.44,527.46,,-0.95%
2023-10-10,532.54,535.94,537.1,527.58,,-0.32%
2023-10-06,534.26,531.75,536.45,530.31,,0.94%
2023-10-05,529.28,519.35,530.04,519.35,,2.34%
2023-10-04,517.16,522.48,524.5,516.27,,-1.98%
2023-10-03,527.58,532.98,533.36,527.26,,-1.29%
2023-10-02,534.48,540.71,543.8,534.48,,-0.89%
2023-09-29,539.3,545.07,546.44,537.11,,-1.02%
2023-09-28,544.88,545.74,548.85,542.15,,-1.52%
2023-09-27,553.27,550.41,553.59,546.81,,0.44%
2023-09-26,550.82,549.42,553.21,548.49,,0.16%
2023-09-25,549.92,545.22,550.47,544.44,,0.57%
2023-09-22,546.81,548.37,549.75,545.07,,-0.69%
2023-09-21,550.62,551.14,555.22,549.3,,-0.20%
2023-09-20,551.7,558.26,558.33,551.45,,-1.04%
2023-09-19,557.47,556.06,557.47,552.76,,0.41%
2023-09-15,555.18,555.67,557.64,553.98,,0.16%
2023-09-14,554.3,553.3,555.27,552.54,,0.29%
2023-09-13,552.71,552.08,554.32,550.06,,0.37%
2023-09-12,550.66,545.82,550.83,545.82,,1.14%
2023-09-11,544.43,548.54,549.15,543.35,,-0.31%
2023-09-08,546.1,549.56,550.26,542.88,,-0.76%
2023-09-07,550.27,547.67,551.84,547.67,,0.43%
2023-09-06,547.93,546.54,548.42,546.21,,0.21%
2023-09-05,546.78,544.9,546.89,542.11,,0.16%
2023-09-04,545.92,543.14,545.92,541.29,,0.17%
2023-09-01,545.01,540.78,546.32,540.78,,0.65%
2023-08-31,541.48,542.19,543.86,541.2,,0.29%
2023-08-30,539.93,540.1,541.31,538.17,,-0.36%
2023-08-29,541.86,541.88,545.6,541.03,,0.78%
2023-08-28,537.67,535.36,537.89,533.19,,0.92%
2023-08-25,532.78,531.7,536.32,530.39,,-0.80%
2023-08-24,537.06,534.37,538.47,534.11,,0.27%
2023-08-23,535.64,531.99,535.91,531.91,,0.08%
2023-08-22,535.21,527.35,535.21,527.35,,1.19%
2023-08-21,528.9,528.41,531.54,527.81,,0.53%
2023-08-18,526.11,527.78,528.89,523.95,,-0.93%
2023-08-17,531.04,535.17,537.6,528.53,,-0.45%
2023-08-16,533.43,529.51,534.98,529.41,,0.05%
2023-08-15,533.19,532.57,533.43,527.91,,-0.49%
2023-08-14,535.81,536.76,539.7,534.92,,-0.04%
2023-08-10,536.04,533.15,536.19,532.68,,1.21%
2023-08-09,529.64,533.36,533.54,529.64,,-0.85%
2023-08-08,534.18,534.36,537.7,532.63,,0.15%
2023-08-07,533.39,519.65,533.39,519.0,,3.44%
2023-08-04,515.63,504.28,516.35,502.32,,2.02%
2023-08-03,505.41,508.16,508.64,504.77,,-0.92%
2023-08-02,510.12,512.75,513.77,508.75,,-1.06%
2023-08-01,515.57,509.39,515.71,509.39,,1.20%
2023-07-31,509.47,509.53,510.93,507.84,,1.02%
2023-07-28,504.34,501.17,506.48,500.05,,-0.06%
2023-07-27,504.66,503.22,504.66,501.23,,0.08%
2023-07-26,504.24,505.89,505.89,502.3,,-0.19%
2023-07-25,505.22,506.31,506.77,503.8,,-0.17%
2023-07-24,506.09,506.28,507.93,505.06,,0.46%
2023-07-21,503.77,503.47,505.02,500.79,,0.10%
2023-07-20,503.29,506.9,507.49,502.97,,-0.90%
2023-07-19,507.86,508.83,509.36,505.32,,0.13%
2023-07-18,507.18,505.06,507.92,503.13,,-0.02%
2023-07-14,507.3,509.05,509.88,503.41,,-0.15%
2023-07-13,508.05,512.99,513.09,506.82,,-1.00%
2023-07-12,513.16,509.61,514.76,509.41,,1.37%
2023-07-11,506.2,505.44,509.27,505.02,,0.94%
2023-07-10,501.48,501.32,503.56,500.01,,0.09%
2023-07-07,501.03,499.86,503.58,496.68,,-0.21%
2023-07-06,502.09,504.97,505.04,500.72,,-0.69%
2023-07-05,505.58,506.64,507.77,503.85,,-0.51%
2023-07-04,508.17,508.17,509.8,507.4,,-0.15%
2023-07-03,508.93,506.97,509.93,506.92,,1.01%
2023-06-30,503.83,506.0,507.2,503.29,,-0.31%
2023-06-29,505.38,510.6,510.6,504.34,,-1.25%
2023-06-28,511.79,507.8,511.79,506.98,,0.90%
2023-06-27,507.2,508.56,508.72,505.06,,-0.20%
2023-06-26,508.22,510.72,510.72,505.37,,-0.31%
2023-06-23,509.78,512.65,513.42,506.75,,-0.48%
2023-06-22,512.22,514.98,516.85,511.77,,-0.11%
2023-06-21,512.76,507.53,515.31,507.42,,1.75%
2023-06-20,503.96,505.28,505.28,501.88,,-0.44%
2023-06-19,506.18,505.74,508.07,504.46,,0.82%
2023-06-16,502.08,504.08,504.32,501.18,,-0.33%
2023-06-15,503.76,505.48,506.49,503.76,,-0.35%
2023-06-14,505.55,504.95,506.41,503.45,,0.64%
2023-06-13,502.34,503.93,504.73,502.18,,-0.13%
2023-06-12,502.97,504.81,505.53,501.67,,0.11%
2023-06-09,502.41,501.89,505.18,501.83,,0.37%
2023-06-08,500.56,500.69,503.48,498.93,,0.24%
2023-06-07,499.38,504.11,504.54,499.14,,-0.69%
2023-06-06,502.85,497.92,503.13,497.37,,0.96%
2023-06-05,498.05,498.98,500.85,496.94,,1.00%
2023-06-02,493.12,490.21,493.27,490.21,,0.91%
2023-06-01,488.69,488.93,491.61,487.76,,-0.26%
2023-05-31,489.95,490.95,494.31,489.7,,-1.08%
2023-05-30,495.32,498.88,499.13,494.02,,-1.27%
2023-05-29,501.7,502.51,503.8,501.37,,0.54%
2023-05-26,499.0,503.51,504.13,498.96,,-1.18%
2023-05-25,504.98,503.27,508.05,503.18,,-0.08%
2023-05-24,505.37,503.42,508.39,503.0,,0.20%
2023-05-23,504.34,509.15,510.57,503.32,,-0.80%
2023-05-22,508.4,502.13,508.76,502.13,,1.31%
2023-05-19,501.82,500.65,505.06,500.08,,0.13%
2023-05-18,501.16,504.12,504.12,500.28,,-0.69%
2023-05-17,504.63,505.96,505.99,503.36,,-0.53%
2023-05-16,507.34,506.8,508.26,505.07,,0.12%
2023-05-15,506.73,505.42,507.39,503.02,,0.98%
2023-05-12,501.79,490.36,502.36,488.37,,2.10%
2023-05-11,491.47,492.64,494.85,491.19,,-0.64%
2023-05-10,494.62,498.65,498.88,493.71,,-1.08%
2023-05-09,500.0,494.56,500.33,493.98,,0.75%
2023-05-08,496.26,493.91,497.36,492.89,,0.45%
2023-05-02,494.06,496.1,496.42,491.55,,-0.13%
2023-05-01,494.68,493.87,494.89,492.68,,0.80%
2023-04-28,490.76,487.31,490.76,486.89,,1.54%
2023-04-27,483.3,481.66,483.42,479.8,,0.23%
2023-04-26,482.18,483.17,485.03,481.65,,-0.35%
2023-04-25,483.89,484.14,486.22,483.7,,-0.07%
2023-04-24,484.25,486.15,486.64,484.06,,-0.11%
2023-04-21,484.8,484.01,487.0,482.93,,0.09%
2023-04-20,484.36,482.77,486.63,482.77,,0.25%
2023-04-19,483.16,481.89,483.18,480.33,,0.02%
2023-04-18,483.05,479.3,483.93,479.03,,1.53%
2023-04-17,475.79,475.98,476.44,473.8,,0.10%
2023-04-14,475.32,472.7,475.52,472.12,,1.06%
2023-04-13,470.34,468.51,470.71,467.69,,0.33%
2023-04-12,468.79,470.48,471.34,468.46,,0.10%
2023-04-11,468.33,468.05,469.41,463.85,,-0.16%
2023-04-10,469.08,468.34,469.87,467.96,,0.44%
2023-04-07,467.01,469.83,470.0,467.01,,-0.14%
2023-04-06,467.65,466.27,470.62,466.16,,-0.13%
2023-04-05,468.28,472.27,473.33,467.83,,-1.31%
2023-04-04,474.49,473.85,474.49,471.57,,0.30%
2023-04-03,473.08,470.56,473.08,469.41,,1.09%
2023-03-31,467.98,469.5,470.24,467.11,,0.19%
2023-03-30,467.1,467.39,468.74,465.76,,-1.90%
2023-03-29,476.17,472.57,476.17,470.54,,1.39%
2023-03-28,469.66,470.63,470.7,468.23,,0.00%
2023-03-27,469.66,471.87,471.87,469.35,,0.25%
2023-03-24,468.47,466.21,469.62,464.9,,0.24%
2023-03-23,467.33,463.94,468.14,462.68,,0.29%
2023-03-22,465.99,466.83,467.55,465.52,,0.73%
2023-03-20,462.59,466.21,466.93,462.26,,-1.26%
2023-03-17,468.47,469.1,470.44,467.6,,0.06%
2023-03-16,468.2,468.71,469.09,465.11,,-1.45%
2023-03-15,475.07,473.19,476.08,472.48,,1.24%
2023-03-14,469.26,472.43,472.43,465.93,,-1.81%
2023-03-13,477.89,482.0,482.0,474.38,,-1.55%
2023-03-10,485.42,487.34,488.36,484.33,,-1.09%
2023-03-09,490.79,487.38,491.47,487.38,,0.98%
2023-03-08,486.04,484.49,486.22,484.24,,0.25%
2023-03-07,484.85,483.58,486.47,483.58,,0.38%
2023-03-06,483.02,481.19,483.66,480.63,,0.39%
2023-03-03,481.12,480.65,481.79,479.64,,0.54%
2023-03-02,478.52,480.22,480.39,477.94,,0.16%
2023-03-01,477.75,477.52,479.49,476.47,,-0.23%
2023-02-28,478.86,481.74,482.73,478.86,,-0.59%
2023-02-27,481.72,477.83,481.83,477.18,,1.18%
2023-02-24,476.08,473.68,476.25,472.67,,0.60%
2023-02-22,473.24,477.04,477.35,472.55,,-0.80%
2023-02-21,477.04,478.09,478.98,476.31,,-0.18%
2023-02-20,477.89,477.75,477.89,475.39,,1.02%
2023-02-17,473.07,469.56,473.48,469.56,,0.63%
2023-02-16,470.12,472.83,472.84,468.89,,-0.48%
2023-02-15,472.38,473.11,474.76,471.33,,0.11%
2023-02-14,471.86,470.61,472.18,469.42,,0.84%
2023-02-13,467.91,469.85,470.03,466.59,,-0.36%
2023-02-10,469.6,469.41,470.95,467.59,,-0.16%
2023-02-09,470.33,471.01,472.54,470.23,,-0.27%
2023-02-08,471.62,471.47,472.61,470.41,,-0.21%
2023-02-07,472.62,473.81,475.49,471.94,,-0.45%
2023-02-06,474.74,474.59,475.48,471.96,,0.90%
2023-02-03,470.49,474.9,475.57,469.67,,-1.38%
2023-02-02,477.07,482.25,482.37,476.87,,-0.89%
2023-02-01,481.34,486.44,488.27,481.34,,-0.30%
2023-01-31,482.77,482.19,483.08,481.08,,0.97%
2023-01-30,478.12,475.7,478.5,475.14,,0.37%
2023-01-27,476.35,478.86,478.92,474.75,,-0.37%
2023-01-26,478.14,476.37,478.14,475.53,,0.54%
2023-01-25,475.55,472.92,476.2,472.58,,0.39%
2023-01-24,473.68,474.16,474.64,472.1,,0.44%
2023-01-23,471.6,473.06,473.98,470.65,,0.24%
2023-01-20,470.45,469.72,471.17,468.77,,0.43%
2023-01-19,468.43,470.22,470.73,468.31,,-0.89%
2023-01-18,472.62,470.59,475.36,468.74,,0.56%
2023-01-17,469.99,468.08,470.97,466.94,,1.25%
2023-01-16,464.17,465.49,467.46,463.27,,-0.96%
2023-01-13,468.67,468.87,470.9,467.19,,-0.61%
2023-01-12,471.54,471.57,472.78,470.48,,-0.17%
2023-01-11,472.35,474.39,475.81,472.11,,-0.12%
2023-01-10,472.9,478.63,480.75,472.9,,-0.93%
2023-01-06,477.34,479.02,480.78,477.34,,-0.27%
2023-01-05,478.61,478.48,479.66,476.62,,-0.61%
2023-01-04,481.54,488.6,488.79,481.54,,-1.98%
2022-12-30,491.26,495.03,495.29,491.25,,-0.62%
2022-12-29,494.34,490.87,494.55,488.71,,0.36%
2022-12-28,492.58,493.01,493.24,489.14,,-0.04%
2022-12-27,492.77,489.34,493.35,488.65,,1.27%
2022-12-26,486.6,487.94,487.94,484.71,,0.25%
2022-12-23,485.39,483.82,485.67,482.52,,-0.07%
2022-12-22,485.74,480.23,485.74,479.42,,1.41%
2022-12-21,479.0,481.88,482.57,478.34,,-0.59%
2022-12-20,481.83,484.78,487.57,478.2,,-0.36%
2022-12-19,483.58,482.56,484.36,480.07,,0.17%
2022-12-16,482.76,484.87,485.89,482.41,,-0.69%
2022-12-15,486.12,487.02,489.44,485.46,,-0.35%
2022-12-14,487.85,482.99,487.85,482.23,,1.12%
2022-12-13,482.46,482.32,483.35,481.29,,0.41%
2022-12-12,480.49,482.29,482.29,479.0,,-0.50%
2022-12-09,482.9,480.59,483.39,479.9,,0.21%
2022-12-08,481.91,482.85,483.02,478.85,,0.09%
2022-12-07,481.46,475.34,482.8,475.09,,1.00%
2022-12-06,476.71,476.3,478.1,475.39,,0.24%
2022-12-05,475.58,480.65,481.08,473.76,,-1.30%
2022-12-02,481.82,485.64,485.64,479.25,,-1.36%
2022-12-01,488.45,493.56,493.56,487.92,,-0.61%
2022-11-30,491.45,491.5,493.2,490.68,,-0.60%
2022-11-29,494.44,496.76,496.76,493.0,,-0.82%
2022-11-28,498.54,502.24,502.24,496.33,,-0.50%
2022-11-25,501.06,501.04,502.3,499.6,,0.34%
2022-11-24,499.35,499.47,500.23,498.18,,0.37%
2022-11-22,497.53,492.82,497.62,492.12,,1.43%
2022-11-21,490.5,492.05,492.79,488.54,,0.08%
2022-11-18,490.11,490.56,491.4,487.85,,0.27%
2022-11-17,488.79,484.48,488.92,484.2,,1.25%
2022-11-16,482.76,483.43,483.98,479.87,,0.22%
2022-11-15,481.69,479.17,482.92,479.17,,0.04%
2022-11-14,481.49,485.91,486.11,481.15,,-1.09%
2022-11-11,486.82,498.65,499.24,485.68,,-1.59%
2022-11-10,494.69,489.88,495.53,489.88,,0.36%
2022-11-09,492.92,494.58,494.58,490.13,,-0.24%
2022-11-08,494.12,490.8,494.92,490.31,,1.71%
2022-11-07,485.83,488.36,488.66,485.0,,0.07%
2022-11-04,485.51,498.37,498.74,485.28,,-3.49%
2022-11-02,503.05,498.69,505.16,498.58,,1.32%
2022-11-01,496.49,497.71,498.76,495.47,,0.27%
2022-10-31,495.15,494.13,496.59,493.59,,1.00%
2022-10-28,490.23,487.39,492.62,487.39,,0.04%
2022-10-27,490.01,494.66,494.66,488.89,,-0.81%
2022-10-26,494.03,497.53,499.77,493.77,,-0.42%
2022-10-25,496.1,491.29,497.15,490.87,,1.47%
2022-10-24,488.89,492.96,493.04,488.7,,-0.49%
2022-10-21,491.32,492.52,493.9,491.01,,-0.11%
2022-10-20,491.87,493.42,494.57,489.35,,-0.86%
2022-10-19,496.12,497.9,500.22,496.0,,0.32%
2022-10-18,494.55,495.07,497.24,492.83,,0.57%
2022-10-17,491.74,493.5,495.66,491.74,,-0.41%
2022-10-14,493.74,488.69,495.6,487.0,,2.31%
2022-10-13,482.61,480.78,483.84,480.31,,0.30%
