"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","1,312.55","1,316.99","1,325.19","1,304.01","","-0.27%"
"2023-10-18","1,316.12","1,305.68","1,318.94","1,302.87","","1.42%"
"2023-10-17","1,297.68","1,308.95","1,318.09","1,293.81","","-0.66%"
"2023-10-16","1,306.26","1,309.61","1,324.11","1,299.81","","1.41%"
"2023-10-13","1,288.13","1,296.95","1,305.05","1,281.77","","-1.15%"
"2023-10-12","1,303.13","1,267.70","1,307.94","1,259.92","","1.93%"
"2023-10-11","1,278.48","1,282.40","1,292.02","1,275.23","","-0.13%"
"2023-10-10","1,280.11","1,242.30","1,299.96","1,242.25","","5.06%"
"2023-10-06","1,218.46","1,212.44","1,233.89","1,199.56","","-0.27%"
"2023-10-05","1,221.82","1,196.93","1,229.40","1,190.62","","0.50%"
"2023-10-04","1,215.76","1,258.54","1,260.10","1,215.76","","-3.67%"
"2023-10-03","1,262.13","1,311.11","1,312.03","1,257.78","","-5.47%"
"2023-10-02","1,335.10","1,366.44","1,373.44","1,333.30","","-2.23%"
"2023-09-29","1,365.58","1,387.67","1,387.67","1,351.30","","-2.92%"
"2023-09-28","1,406.68","1,425.26","1,439.62","1,401.69","","-1.61%"
"2023-09-27","1,429.69","1,414.17","1,430.25","1,406.85","","0.77%"
"2023-09-26","1,418.77","1,420.38","1,425.22","1,407.87","","-0.16%"
"2023-09-25","1,421.01","1,424.67","1,427.61","1,411.54","","-0.51%"
"2023-09-22","1,428.26","1,408.42","1,438.17","1,401.95","","0.79%"
"2023-09-21","1,417.00","1,420.76","1,442.39","1,412.01","","-0.61%"
"2023-09-20","1,425.72","1,473.27","1,473.27","1,422.09","","-3.27%"
"2023-09-19","1,473.91","1,462.53","1,477.68","1,455.62","","0.76%"
"2023-09-15","1,462.85","1,452.42","1,489.39","1,452.42","","2.27%"
"2023-09-14","1,430.43","1,394.37","1,431.58","1,392.97","","3.49%"
"2023-09-13","1,382.22","1,388.09","1,400.93","1,378.06","","1.29%"
"2023-09-12","1,364.58","1,362.33","1,365.64","1,350.93","","0.53%"
"2023-09-11","1,357.42","1,367.22","1,371.28","1,354.58","","0.47%"
"2023-09-08","1,351.05","1,356.88","1,376.79","1,345.05","","0.09%"
"2023-09-07","1,349.80","1,341.56","1,353.85","1,340.25","","1.19%"
"2023-09-06","1,333.92","1,326.26","1,348.01","1,325.53","","1.47%"
"2023-09-05","1,314.63","1,317.73","1,318.69","1,300.79","","0.00%"
"2023-09-04","1,314.68","1,307.41","1,315.05","1,297.13","","1.49%"
"2023-09-01","1,295.33","1,267.39","1,298.07","1,267.39","","1.92%"
"2023-08-31","1,270.95","1,268.85","1,273.51","1,266.09","","0.34%"
"2023-08-30","1,266.65","1,259.34","1,270.20","1,257.76","","0.65%"
"2023-08-29","1,258.50","1,263.40","1,267.72","1,255.82","","0.10%"
"2023-08-28","1,257.24","1,247.39","1,260.26","1,246.22","","2.40%"
"2023-08-25","1,227.76","1,225.16","1,227.78","1,220.51","","-0.14%"
"2023-08-24","1,229.53","1,221.28","1,234.50","1,221.28","","0.95%"
"2023-08-23","1,218.01","1,217.70","1,223.10","1,213.73","","-0.20%"
"2023-08-22","1,220.45","1,201.56","1,220.72","1,201.56","","1.44%"
"2023-08-21","1,203.14","1,203.70","1,214.96","1,203.14","","0.49%"
"2023-08-18","1,197.32","1,200.61","1,206.93","1,193.70","","0.01%"
"2023-08-17","1,197.16","1,201.33","1,204.07","1,182.15","","-0.55%"
"2023-08-16","1,203.77","1,218.88","1,219.13","1,203.55","","-2.79%"
"2023-08-15","1,238.36","1,247.51","1,252.26","1,236.89","","-0.75%"
"2023-08-14","1,247.77","1,250.72","1,261.89","1,237.82","","-0.56%"
"2023-08-10","1,254.79","1,215.63","1,254.79","1,207.94","","5.07%"
"2023-08-09","1,194.29","1,210.69","1,210.69","1,190.13","","-1.41%"
"2023-08-08","1,211.32","1,213.18","1,217.49","1,206.51","","0.07%"
"2023-08-07","1,210.47","1,196.29","1,215.05","1,195.44","","1.87%"
"2023-08-04","1,188.23","1,174.12","1,189.52","1,174.09","","0.67%"
"2023-08-03","1,180.32","1,189.66","1,191.99","1,178.97","","-1.06%"
"2023-08-02","1,192.95","1,190.67","1,205.79","1,188.14","","-0.65%"
"2023-08-01","1,200.77","1,193.43","1,205.28","1,193.43","","0.86%"
"2023-07-31","1,190.51","1,193.37","1,193.60","1,185.06","","0.56%"
"2023-07-28","1,183.88","1,173.38","1,184.33","1,165.72","","0.18%"
"2023-07-27","1,181.70","1,179.26","1,184.49","1,176.31","","0.38%"
"2023-07-26","1,177.28","1,186.18","1,187.45","1,172.78","","-0.58%"
"2023-07-25","1,184.14","1,171.05","1,188.60","1,171.05","","2.04%"
"2023-07-24","1,160.45","1,153.20","1,171.63","1,152.28","","1.18%"
"2023-07-21","1,146.91","1,149.88","1,150.44","1,142.03","","0.45%"
"2023-07-20","1,141.77","1,146.92","1,148.42","1,140.54","","0.10%"
"2023-07-19","1,140.59","1,137.65","1,141.28","1,133.61","","1.26%"
"2023-07-18","1,126.39","1,127.84","1,131.47","1,122.51","","-0.66%"
"2023-07-14","1,133.86","1,137.75","1,137.75","1,128.55","","-0.22%"
"2023-07-13","1,136.35","1,137.57","1,141.51","1,131.77","","0.28%"
"2023-07-12","1,133.13","1,138.83","1,139.68","1,129.61","","0.04%"
"2023-07-11","1,132.67","1,135.24","1,139.86","1,131.32","","0.06%"
"2023-07-10","1,132.01","1,141.57","1,146.66","1,131.55","","-0.33%"
"2023-07-07","1,135.78","1,134.05","1,144.55","1,128.82","","-0.31%"
"2023-07-06","1,139.34","1,151.53","1,151.53","1,136.63","","-0.93%"
"2023-07-05","1,150.06","1,147.44","1,150.26","1,139.96","","0.25%"
"2023-07-04","1,147.15","1,153.92","1,153.92","1,147.12","","-0.49%"
