"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","910.39","899.25","915.54","896.97","","1.96%"
"2020-05-25","892.90","902.02","906.03","892.69","","0.79%"
"2020-05-22","885.90","902.98","908.21","876.92","","-0.99%"
"2020-05-21","894.75","902.46","915.97","892.48","","0.93%"
"2020-05-20","886.50","858.18","888.69","856.28","","1.78%"
"2020-05-19","871.01","871.31","885.51","870.88","","2.06%"
"2020-05-18","853.47","862.26","866.54","853.47","","0.91%"
"2020-05-15","845.74","855.49","856.69","842.75","","0.34%"
"2020-05-14","842.89","851.82","852.25","840.70","","-2.09%"
"2020-05-13","860.85","858.75","867.07","853.82","","0.45%"
"2020-05-12","857.01","854.59","859.69","849.11","","0.36%"
"2020-05-11","853.93","855.53","858.26","847.86","","0.55%"
"2020-05-08","849.25","850.15","857.64","845.01","","1.51%"
"2020-05-07","836.59","844.06","848.51","829.88","","-1.69%"
"2020-05-01","850.94","855.24","860.29","843.67","","-0.64%"
"2020-04-30","856.44","855.06","869.52","854.85","","2.26%"
"2020-04-28","837.52","825.24","839.43","825.14","","-0.19%"
"2020-04-27","839.08","834.84","839.59","827.27","","0.78%"
"2020-04-24","832.58","822.74","834.17","819.80","","2.06%"
"2020-04-23","815.74","805.65","823.63","804.68","","2.25%"
"2020-04-22","797.78","804.40","804.40","788.81","","-2.93%"
"2020-04-21","821.85","805.48","826.09","801.27","","0.13%"
"2020-04-20","820.75","824.61","832.80","820.75","","-0.61%"
"2020-04-17","825.82","836.18","838.05","822.16","","-0.28%"
"2020-04-16","828.12","830.51","830.51","814.64","","-1.20%"
"2020-04-15","838.21","837.82","842.60","830.28","","-1.61%"
"2020-04-14","851.96","845.83","856.44","841.55","","0.77%"
"2020-04-13","845.43","851.51","854.41","842.76","","-2.02%"
"2020-04-10","862.87","843.77","870.34","840.91","","-0.22%"
"2020-04-09","864.80","879.97","881.32","854.16","","-0.43%"
"2020-04-08","868.54","881.19","881.19","853.14","","-1.32%"
"2020-04-07","880.20","877.98","891.77","867.73","","1.44%"
"2020-04-06","867.69","843.65","871.22","840.63","","3.66%"
"2020-04-03","837.02","846.47","872.84","826.26","","0.95%"
