日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,9513.08,"9,576.07","9,576.07","9,479.89",,-2.72%
2023-10-18,9779.31,"9,816.93","9,820.93","9,723.98",,-0.19%
2023-10-17,9797.62,"9,788.13","9,891.52","9,769.29",,1.77%
2023-10-16,9627.27,"9,686.74","9,695.70","9,589.91",,-1.98%
2023-10-13,9822.03,"9,846.02","9,886.71","9,789.57",,-0.79%
2023-10-12,9899.85,"9,813.33","9,926.20","9,782.98",,0.24%
2023-10-11,9875.73,"9,865.18","9,954.66","9,835.92",,0.90%
2023-10-10,9787.38,"9,714.68","9,819.48","9,699.67",,1.59%
2023-10-06,9633.86,"9,672.19","9,747.47","9,626.49",,-0.67%
2023-10-05,9699.28,"9,534.69","9,712.31","9,486.64",,1.52%
2023-10-04,9553.63,"9,513.91","9,653.92","9,513.50",,-0.50%
2023-10-03,9601.99,"9,674.49","9,683.63","9,576.28",,-1.56%
2023-10-02,9754.12,"9,883.08","9,981.48","9,747.20",,-0.90%
2023-09-29,9842.32,"9,910.90","9,913.44","9,783.89",,0.25%
2023-09-28,9817.48,"9,894.81","9,900.06","9,738.91",,-1.65%
2023-09-27,9982.58,"9,838.89","9,982.58","9,803.52",,0.15%
2023-09-26,9967.41,"10,068.83","10,077.50","9,951.83",,-0.75%
2023-09-25,10042.38,"10,059.41","10,105.13","10,038.02",,0.03%
2023-09-22,10039.37,"10,000.18","10,094.56","10,000.18",,0.33%
2023-09-21,10006.4,"10,097.75","10,097.75","9,929.62",,-2.22%
2023-09-20,10233.83,"10,336.57","10,371.46","10,229.09",,-1.73%
2023-09-19,10413.56,"10,569.24","10,588.85","10,376.90",,-1.76%
2023-09-15,10599.73,"10,487.67","10,640.03","10,459.30",,1.04%
2023-09-14,10491.14,"10,444.03","10,543.55","10,423.27",,1.47%
2023-09-13,10338.69,"10,374.62","10,402.14","10,284.04",,-0.87%
2023-09-12,10428.92,"10,316.30","10,432.54","10,279.51",,1.58%
2023-09-11,10266.26,"10,288.83","10,357.87","10,235.25",,0.00%
2023-09-08,10265.86,"10,360.29","10,427.39","10,234.65",,-1.54%
2023-09-07,10426.03,"10,489.22","10,495.75","10,389.45",,-1.59%
2023-09-06,10594.74,"10,620.51","10,654.19","10,545.28",,-0.17%
2023-09-05,10613.28,"10,520.43","10,613.28","10,501.73",,1.44%
2023-09-04,10462.18,"10,499.29","10,512.07","10,414.48",,0.15%
2023-09-01,10446.98,"10,356.06","10,515.88","10,343.72",,0.56%
2023-08-31,10388.64,"10,317.38","10,421.82","10,304.90",,0.72%
2023-08-30,10314.39,"10,316.43","10,413.01","10,304.51",,0.85%
2023-08-29,10226.99,"10,181.32","10,243.65","10,172.69",,0.42%
2023-08-28,10183.84,"10,086.80","10,194.05","10,039.65",,1.94%
2023-08-25,9990.14,"9,951.01","10,083.82","9,951.01",,-0.79%
2023-08-24,10069.57,"10,085.07","10,092.15","10,022.22",,0.46%
2023-08-23,10023.39,"9,972.52","10,031.84","9,942.02",,0.23%
2023-08-22,10000.52,"10,010.80","10,027.97","9,945.74",,1.14%
2023-08-21,9887.46,"9,856.96","9,945.32","9,831.14",,0.75%
2023-08-18,9813.91,"9,743.47","9,867.79","9,713.60",,-0.33%
2023-08-17,9845.92,"10,007.44","10,024.53","9,795.53",,-2.56%
2023-08-16,10104.1,"10,188.09","10,192.91","10,095.12",,-1.87%
2023-08-15,10296.9,"10,329.22","10,341.88","10,282.79",,0.59%
2023-08-14,10236.29,"10,451.94","10,494.89","10,228.17",,-1.52%
2023-08-10,10394.51,"10,532.83","10,532.92","10,230.47",,-2.58%
2023-08-09,10670.07,"10,740.30","10,740.30","10,584.98",,-0.95%
2023-08-08,10771.95,"10,880.94","10,904.49","10,739.31",,-0.58%
2023-08-07,10835.01,"10,605.32","10,852.73","10,605.32",,2.10%
2023-08-04,10612.07,"10,555.47","10,654.31","10,523.58",,-0.23%
2023-08-03,10636.79,"10,662.29","10,754.04","10,622.16",,-0.60%
2023-08-02,10701.35,"10,893.94","10,894.04","10,695.07",,-3.02%
2023-08-01,11035.08,"11,089.97","11,111.33","10,920.22",,1.17%
2023-07-31,10907.27,"10,740.53","10,907.81","10,687.73",,2.99%
2023-07-28,10590.91,"10,469.96","10,611.56","10,342.77",,-0.49%
2023-07-27,10643.48,"10,576.41","10,652.63","10,532.84",,0.68%
2023-07-26,10571.3,"10,631.68","10,635.98","10,549.38",,-0.29%
2023-07-25,10602.54,"10,540.56","10,602.54","10,521.47",,0.33%
2023-07-24,10567.17,"10,591.94","10,596.73","10,542.74",,1.02%
2023-07-21,10460.92,"10,386.10","10,543.04","10,366.63",,0.50%
2023-07-20,10409.24,"10,623.00","10,634.34","10,405.46",,-2.73%
2023-07-19,10701.79,"10,760.62","10,792.65","10,661.77",,0.58%
2023-07-18,10640.33,"10,680.06","10,752.23","10,592.91",,0.01%
2023-07-14,10639.72,"10,732.66","10,757.37","10,539.98",,0.13%
2023-07-13,10625.52,"10,517.49","10,662.81","10,480.75",,1.65%
2023-07-12,10453.52,"10,543.73","10,565.82","10,428.39",,-0.91%
2023-07-11,10549.14,"10,631.58","10,639.05","10,526.64",,0.46%
2023-07-10,10500.6,"10,526.90","10,595.35","10,474.20",,-0.88%
2023-07-07,10594.04,"10,576.43","10,691.31","10,526.41",,-0.62%
2023-07-06,10659.72,"10,808.46","10,817.15","10,650.16",,-2.09%
2023-07-05,10886.75,"10,963.99","10,963.99","10,863.37",,-1.72%
2023-07-04,11076.75,"11,039.32","11,137.05","11,019.64",,-0.60%
2023-07-03,11143.92,"11,073.39","11,159.12","11,073.39",,1.41%
2023-06-30,10988.59,"10,911.45","11,006.37","10,850.30",,0.02%
2023-06-29,10986.17,"11,040.93","11,076.58","10,960.37",,1.08%
2023-06-28,10868.46,"10,791.04","10,868.46","10,708.00",,1.53%
2023-06-27,10704.28,"10,726.86","10,789.03","10,630.49",,-1.19%
2023-06-26,10833.0,"10,826.28","10,878.15","10,744.19",,-0.35%
2023-06-23,10871.35,"11,145.77","11,160.88","10,798.38",,-1.77%
2023-06-22,11067.5,"11,090.01","11,184.85","11,050.14",,-0.81%
2023-06-21,11157.83,"11,119.37","11,174.79","11,081.75",,-0.23%
2023-06-20,11184.01,"11,095.19","11,184.01","11,039.57",,-0.10%
2023-06-19,11195.65,"11,222.01","11,293.16","11,142.48",,0.04%
2023-06-16,11191.09,"11,227.60","11,231.24","11,098.56",,0.01%
2023-06-15,11189.81,"11,237.83","11,260.02","11,188.02",,0.17%
2023-06-14,11170.45,"10,992.65","11,200.33","10,992.27",,1.27%
2023-06-13,11029.91,"11,004.49","11,052.87","10,934.88",,1.05%
2023-06-12,10915.56,"10,793.82","10,933.68","10,787.87",,1.56%
2023-06-09,10747.89,"10,706.37","10,778.34","10,678.50",,0.98%
2023-06-08,10643.57,"10,781.16","10,804.09","10,581.87",,-2.59%
2023-06-07,10926.29,"11,132.17","11,160.98","10,907.17",,-1.69%
2023-06-06,11113.83,"11,031.24","11,127.77","11,008.63",,-0.38%
2023-06-05,11155.67,"11,090.91","11,161.79","11,043.85",,1.47%
2023-06-02,10993.53,"10,888.66","11,019.75","10,888.66",,1.46%
2023-06-01,10835.2,"10,686.82","10,838.25","10,668.06",,1.43%
2023-05-31,10681.97,"10,667.44","10,794.81","10,614.45",,-0.25%
2023-05-30,10708.64,"10,653.56","10,723.38","10,595.30",,0.87%
2023-05-29,10615.91,"10,692.21","10,713.60","10,579.87",,1.14%
2023-05-26,10496.72,"10,429.04","10,553.84","10,424.78",,1.17%
