日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,721.74,727.91,731.43,719.97,,-2.08%
2023-10-18,737.06,741.13,741.2,731.76,,0.86%
2023-10-17,730.74,739.35,742.49,728.57,,0.05%
2023-10-16,730.37,731.29,736.5,726.48,,-0.20%
2023-10-13,731.85,734.72,738.02,729.43,,-1.80%
2023-10-12,745.24,747.5,749.39,734.36,,0.43%
2023-10-11,742.04,753.64,754.51,742.04,,-1.82%
2023-10-10,755.78,751.28,758.23,749.6,,2.64%
2023-10-06,736.35,736.68,748.52,729.19,,0.39%
2023-10-05,733.46,727.53,735.99,721.42,,2.39%
2023-10-04,716.36,741.13,742.06,715.08,,-4.45%
2023-10-03,749.75,767.13,767.28,748.71,,-3.50%
2023-10-02,776.96,781.67,790.87,776.91,,0.02%
2023-09-29,776.8,801.53,801.53,774.41,,-3.35%
2023-09-28,803.69,807.13,819.25,800.17,,-1.36%
2023-09-27,814.73,812.43,815.0,806.4,,-0.62%
2023-09-26,819.78,825.71,825.71,815.43,,-0.48%
2023-09-25,823.72,827.14,828.85,818.13,,0.33%
2023-09-22,820.98,819.25,824.77,810.85,,-0.83%
2023-09-21,827.86,834.07,843.62,826.87,,0.14%
2023-09-20,826.67,840.59,843.25,822.19,,-0.57%
2023-09-19,831.45,814.4,831.45,813.74,,2.69%
2023-09-15,809.65,815.5,822.85,806.19,,0.07%
2023-09-14,809.08,796.35,809.08,795.55,,2.44%
2023-09-13,789.8,785.51,792.85,782.86,,0.73%
2023-09-12,784.05,793.26,793.26,775.03,,-0.70%
2023-09-11,789.55,793.0,795.32,784.16,,0.35%
2023-09-08,786.82,790.73,795.85,786.23,,-0.61%
2023-09-07,791.68,802.55,811.42,791.25,,-1.82%
2023-09-06,806.38,811.12,816.29,800.93,,-0.01%
2023-09-05,806.5,806.13,806.5,785.68,,-1.08%
2023-09-04,815.32,793.94,815.32,792.32,,4.11%
2023-09-01,783.13,770.63,786.62,770.16,,1.82%
2023-08-31,769.11,764.93,771.25,763.76,,0.76%
2023-08-30,763.32,769.5,771.87,761.8,,-0.11%
2023-08-29,764.19,768.04,769.57,758.99,,0.43%
2023-08-28,760.95,751.3,760.95,749.89,,2.10%
2023-08-25,745.33,739.97,746.26,739.31,,-0.24%
2023-08-24,747.15,744.95,748.79,743.12,,0.23%
2023-08-23,745.47,731.33,745.47,730.33,,1.67%
2023-08-22,733.21,733.15,734.13,726.67,,0.75%
2023-08-21,727.73,722.25,732.29,721.9,,0.69%
2023-08-18,722.76,724.85,728.64,719.34,,-0.65%
2023-08-17,727.5,732.06,733.58,712.7,,-1.19%
2023-08-16,736.25,742.91,746.22,736.2,,-2.32%
2023-08-15,753.77,754.96,756.35,748.7,,1.12%
2023-08-14,745.43,753.78,757.15,742.84,,-1.05%
2023-08-10,753.32,750.06,753.77,741.51,,-0.03%
2023-08-09,753.56,753.73,764.42,748.37,,1.13%
2023-08-08,745.17,742.34,747.49,740.72,,0.41%
2023-08-07,742.1,738.33,748.53,731.46,,1.56%
2023-08-04,730.72,713.74,735.65,713.74,,0.81%
2023-08-03,724.84,725.41,727.91,717.15,,-1.03%
2023-08-02,732.35,733.82,742.61,731.28,,-1.11%
2023-08-01,740.55,732.47,744.96,732.47,,1.40%
2023-07-31,730.29,720.61,730.29,719.61,,2.75%
2023-07-28,710.74,708.89,716.49,698.99,,-1.34%
2023-07-27,720.4,709.96,722.08,708.61,,1.16%
2023-07-26,712.11,709.18,719.01,702.33,,0.36%
2023-07-25,709.56,703.28,709.69,700.9,,0.66%
2023-07-24,704.9,690.97,706.68,690.97,,3.45%
2023-07-21,681.42,682.03,686.28,678.4,,0.34%
2023-07-20,679.14,673.57,683.13,673.16,,1.19%
2023-07-19,671.17,672.54,672.54,667.1,,1.13%
2023-07-18,663.66,659.74,663.66,658.99,,0.20%
2023-07-14,662.32,663.2,663.83,655.63,,0.47%
2023-07-13,659.2,657.3,662.78,652.5,,0.85%
2023-07-12,653.64,660.57,663.41,651.8,,-0.10%
2023-07-11,654.29,662.46,663.53,653.71,,-0.89%
2023-07-10,660.16,669.31,671.22,659.94,,-0.50%
2023-07-07,663.48,658.87,667.12,656.24,,-0.33%
2023-07-06,665.65,672.7,675.83,661.18,,-1.41%
2023-07-05,675.14,669.55,679.38,666.37,,0.64%
2023-07-04,670.83,671.94,673.84,669.13,,-0.08%
2023-07-03,671.34,675.03,678.86,670.07,,0.77%
2023-06-30,666.18,664.79,667.54,662.14,,0.83%
2023-06-29,660.69,664.28,666.46,658.38,,-0.43%
2023-06-28,663.54,656.52,663.54,654.19,,1.89%
2023-06-27,651.2,657.0,659.13,646.95,,0.33%
2023-06-26,649.06,649.0,657.02,642.92,,0.22%
2023-06-23,647.62,656.17,657.89,641.05,,-1.39%
2023-06-22,656.75,655.67,661.87,654.9,,0.38%
2023-06-21,654.29,637.41,655.94,636.81,,1.77%
2023-06-20,642.89,647.46,650.01,640.41,,-1.40%
2023-06-19,651.99,666.72,666.72,649.38,,-1.20%
2023-06-16,659.92,660.63,661.74,650.7,,0.07%
2023-06-15,659.43,659.33,666.38,657.78,,-0.46%
2023-06-14,662.45,646.57,664.88,645.54,,4.24%
2023-06-13,635.52,633.28,638.32,632.01,,0.30%
2023-06-12,633.59,633.28,635.09,629.58,,-0.12%
2023-06-09,634.38,627.28,635.86,627.28,,1.31%
2023-06-08,626.19,632.49,637.92,622.64,,-0.07%
2023-06-07,626.64,639.91,641.42,624.85,,-1.26%
2023-06-06,634.65,619.17,635.53,616.22,,2.11%
2023-06-05,621.56,617.1,624.0,617.1,,2.51%
2023-06-02,606.36,598.26,606.36,597.17,,1.90%
2023-06-01,595.08,588.16,596.53,587.81,,0.90%
2023-05-31,589.76,604.71,606.12,589.67,,-3.81%
2023-05-30,613.11,606.49,614.98,603.44,,1.45%
2023-05-29,604.36,608.35,609.55,603.44,,0.88%
2023-05-26,599.1,605.17,605.42,597.73,,-1.40%
2023-05-25,607.6,607.03,610.0,604.63,,-0.80%
2023-05-24,612.49,607.72,614.8,607.72,,1.21%
2023-05-23,605.17,614.61,617.78,604.6,,-1.52%
2023-05-22,614.51,610.88,614.84,606.65,,0.60%
2023-05-19,610.82,617.48,620.04,610.37,,-0.99%
2023-05-18,616.93,617.46,621.21,610.1,,0.86%
2023-05-17,611.68,614.17,615.55,608.15,,-1.01%
2023-05-16,617.95,620.44,621.18,614.71,,0.42%
2023-05-15,615.36,619.1,626.42,614.06,,0.25%
2023-05-12,613.83,613.44,623.24,611.59,,0.70%
2023-05-11,609.54,615.69,620.33,603.76,,-0.20%
2023-05-10,610.74,645.76,662.13,604.65,,-5.30%
2023-05-09,644.93,618.35,645.51,618.35,,6.12%
2023-05-08,607.72,601.54,608.91,599.53,,1.10%
2023-05-02,601.12,603.65,605.0,598.34,,-0.18%
2023-05-01,602.18,601.75,603.01,597.67,,0.72%
2023-04-28,597.89,599.34,599.72,592.43,,0.45%
2023-04-27,595.22,585.66,595.22,584.46,,1.16%
2023-04-26,588.37,580.26,589.46,577.44,,-0.13%
2023-04-25,589.11,609.33,610.35,588.74,,-3.10%
2023-04-24,607.95,610.24,610.68,603.97,,-1.30%
2023-04-21,615.97,615.71,618.0,614.06,,-0.31%
2023-04-20,617.91,613.11,620.42,612.69,,0.14%
2023-04-19,617.07,612.59,617.25,612.15,,0.95%
2023-04-18,611.25,611.76,614.19,608.97,,0.05%
2023-04-17,610.92,611.29,611.53,604.92,,-0.05%
2023-04-14,611.24,613.12,614.36,610.42,,0.06%
2023-04-13,610.89,612.96,612.99,606.69,,-1.13%
2023-04-12,617.86,608.03,618.6,607.38,,1.92%
2023-04-11,606.2,606.09,606.9,597.27,,1.13%
2023-04-10,599.42,603.72,605.43,597.46,,0.52%
2023-04-07,596.33,593.41,597.82,593.41,,0.81%
2023-04-06,591.55,597.38,599.62,590.56,,-2.14%
2023-04-05,604.49,610.67,612.02,602.74,,-3.16%
2023-04-04,624.23,633.05,635.33,622.19,,-1.36%
2023-04-03,632.83,635.96,636.92,626.59,,0.52%
2023-03-31,629.56,615.25,633.96,615.25,,3.70%
2023-03-30,607.07,605.35,609.91,599.69,,-1.01%
2023-03-29,613.25,612.78,613.28,607.61,,1.02%
2023-03-28,607.06,609.06,612.89,606.84,,0.22%
2023-03-27,605.74,611.46,611.46,601.72,,0.12%
2023-03-24,604.99,607.94,609.85,602.97,,-0.56%
2023-03-23,608.39,600.06,610.03,598.76,,0.60%
2023-03-22,604.75,608.58,612.98,604.19,,1.20%
2023-03-20,597.56,601.82,609.12,594.65,,-1.80%
2023-03-17,608.53,611.97,616.77,600.06,,-0.26%
2023-03-16,610.09,626.5,626.5,601.1,,-4.79%
2023-03-15,640.76,637.41,643.69,632.52,,2.67%
2023-03-14,624.11,640.54,640.54,621.78,,-4.19%
2023-03-13,651.38,647.3,653.16,640.07,,-1.36%
2023-03-10,660.36,666.01,667.84,654.95,,-1.87%
2023-03-09,672.91,661.65,673.59,660.01,,2.10%
2023-03-08,659.05,659.02,661.35,654.95,,-0.30%
2023-03-07,661.05,648.12,661.05,645.49,,2.00%
2023-03-06,648.09,654.4,655.98,646.13,,0.42%
2023-03-03,645.38,642.34,651.49,640.64,,1.23%
2023-03-02,637.56,639.93,641.22,633.11,,0.87%
2023-03-01,632.08,618.84,633.56,618.84,,2.15%
2023-02-28,618.77,638.8,639.08,618.05,,-2.34%
2023-02-27,633.61,621.76,639.81,621.76,,2.31%
2023-02-24,619.28,624.11,625.51,613.61,,-0.85%
2023-02-22,624.61,618.74,626.3,618.74,,-0.03%
2023-02-21,624.81,620.91,628.95,619.94,,0.08%
2023-02-20,624.34,619.73,626.1,611.94,,1.57%
2023-02-17,614.71,598.62,617.0,598.62,,2.36%
2023-02-16,600.51,598.89,602.85,594.63,,0.97%
2023-02-15,594.76,592.5,596.57,590.93,,1.54%
2023-02-14,585.72,577.14,586.04,576.61,,1.95%
2023-02-13,574.49,564.56,577.34,564.17,,1.50%
2023-02-10,566.02,553.82,574.79,553.82,,3.40%
2023-02-09,547.4,540.89,549.69,540.78,,0.90%
2023-02-08,542.53,546.94,548.44,540.54,,-1.42%
2023-02-07,550.32,557.86,557.88,548.25,,-2.95%
2023-02-06,567.05,566.34,567.52,561.7,,1.58%
2023-02-03,558.25,561.19,564.75,555.4,,-1.21%
2023-02-02,565.06,565.84,568.84,557.29,,-0.48%
2023-02-01,567.76,564.86,571.4,564.64,,0.92%
2023-01-31,562.59,563.8,567.03,561.49,,-0.35%
2023-01-30,564.55,569.44,569.99,561.46,,-1.59%
2023-01-27,573.68,570.94,574.08,568.27,,1.08%
2023-01-26,567.57,567.67,570.02,562.33,,0.02%
2023-01-25,567.43,545.76,568.47,545.76,,3.57%
2023-01-24,547.85,557.47,568.74,543.5,,-1.59%
2023-01-23,556.7,551.28,557.05,547.34,,2.00%
2023-01-20,545.81,535.19,547.22,532.63,,2.68%
2023-01-19,531.54,529.98,534.79,529.76,,-0.67%
2023-01-18,535.15,526.7,536.68,524.39,,1.14%
2023-01-17,529.1,520.21,529.86,519.28,,0.89%
2023-01-16,524.41,534.35,534.35,520.51,,-1.37%
2023-01-13,531.67,522.62,533.98,522.62,,1.92%
2023-01-12,521.65,516.16,524.6,515.74,,1.09%
2023-01-11,516.04,507.11,518.37,507.11,,2.62%
2023-01-10,502.85,492.78,503.64,491.58,,2.82%
2023-01-06,489.04,488.19,491.08,485.38,,1.04%
2023-01-05,484.02,481.93,485.28,481.41,,0.36%
2023-01-04,482.27,490.46,490.7,482.27,,-2.32%
2022-12-30,493.74,494.67,496.09,491.62,,-0.15%
2022-12-29,494.49,495.61,496.23,490.72,,-1.02%
2022-12-28,499.61,498.11,501.69,495.77,,0.87%
2022-12-27,495.32,495.37,496.54,492.3,,0.43%
2022-12-26,493.22,488.18,494.56,488.18,,1.64%
2022-12-23,485.28,482.48,485.35,480.59,,-0.08%
2022-12-22,485.65,482.61,486.12,481.72,,0.79%
2022-12-21,481.84,484.83,486.11,481.06,,-0.09%
2022-12-20,482.25,493.38,494.68,478.37,,-1.67%
2022-12-19,490.45,492.16,492.81,489.6,,-0.69%
2022-12-16,493.88,496.36,497.72,492.93,,-1.45%
2022-12-15,501.17,501.22,505.21,499.96,,0.10%
2022-12-14,500.67,493.01,500.92,492.94,,1.11%
2022-12-13,495.17,493.19,496.62,492.46,,0.99%
2022-12-12,490.32,494.29,496.06,489.86,,-1.26%
2022-12-09,496.56,496.02,498.98,495.62,,0.36%
2022-12-08,494.77,494.46,494.89,490.49,,-0.07%
2022-12-07,495.13,494.4,497.68,493.19,,-0.05%
2022-12-06,495.36,489.67,496.05,489.67,,1.45%
2022-12-05,488.28,489.97,494.44,487.34,,1.19%
2022-12-02,482.54,481.61,482.85,478.31,,-1.22%
2022-12-01,488.49,486.17,490.98,485.43,,0.26%
2022-11-30,487.22,487.85,490.17,486.09,,0.39%
2022-11-29,485.31,481.61,485.31,479.99,,0.26%
2022-11-28,484.04,497.27,497.45,482.87,,-2.79%
2022-11-25,497.95,498.69,499.85,496.2,,-0.52%
2022-11-24,500.56,500.31,502.49,498.48,,0.77%
2022-11-22,496.73,493.53,500.13,493.34,,1.58%
2022-11-21,488.98,486.52,490.99,485.92,,1.03%
2022-11-18,484.01,484.63,486.45,482.85,,0.25%
2022-11-17,482.8,482.32,488.02,481.34,,-0.77%
2022-11-16,486.56,485.53,487.83,483.27,,0.12%
2022-11-15,486.0,478.78,486.0,477.67,,2.34%
2022-11-14,474.87,479.19,479.72,474.85,,-1.51%
2022-11-11,482.16,483.62,483.95,478.51,,0.86%
2022-11-10,478.05,481.6,481.87,477.41,,-1.69%
2022-11-09,486.28,484.25,487.71,481.16,,0.51%
2022-11-08,483.82,479.96,484.86,478.98,,0.73%
2022-11-07,480.33,471.78,484.09,471.57,,3.31%
2022-11-04,464.94,467.21,469.55,463.46,,-0.60%
2022-11-02,467.74,468.07,478.38,466.36,,1.51%
2022-11-01,460.76,456.25,461.73,455.11,,1.99%
2022-10-31,451.75,451.28,451.9,448.93,,0.36%
2022-10-28,450.14,451.48,454.18,447.66,,-0.77%
