日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,621.38,632.2,639.96,616.12,,-1.67%
2023-10-18,631.94,614.64,632.75,613.92,,4.20%
2023-10-17,606.49,607.18,614.16,602.69,,-0.42%
2023-10-16,609.04,607.26,619.24,607.12,,2.55%
2023-10-13,593.91,593.18,594.96,587.77,,0.60%
2023-10-12,590.37,586.29,592.99,578.87,,-0.80%
2023-10-11,595.13,595.97,599.21,591.08,,-0.40%
2023-10-10,597.51,561.76,605.72,561.76,,8.52%
2023-10-06,550.6,557.38,557.81,548.09,,-2.21%
2023-10-05,563.04,562.3,566.78,551.72,,-1.75%
2023-10-04,573.05,597.52,598.67,572.95,,-3.74%
2023-10-03,595.33,621.64,621.64,590.37,,-6.26%
2023-10-02,635.1,643.69,648.12,635.08,,-1.47%
2023-09-29,644.56,654.84,654.84,641.81,,-3.01%
2023-09-28,664.59,661.89,675.89,660.21,,2.30%
2023-09-27,649.63,650.49,650.49,643.83,,0.23%
2023-09-26,648.15,650.89,650.99,643.99,,-0.15%
2023-09-25,649.11,650.03,653.44,643.39,,0.21%
2023-09-22,647.78,638.96,652.35,633.14,,1.70%
2023-09-21,636.96,643.0,651.2,633.63,,-1.85%
2023-09-20,648.94,676.29,676.29,646.61,,-3.79%
2023-09-19,674.48,666.16,674.48,662.48,,2.45%
2023-09-15,658.32,657.82,670.9,652.01,,1.61%
2023-09-14,647.92,648.21,648.21,633.98,,1.04%
2023-09-13,641.26,647.6,655.72,639.68,,1.02%
2023-09-12,634.78,632.33,638.14,628.12,,0.91%
2023-09-11,629.05,634.37,636.17,624.76,,1.29%
2023-09-08,621.04,631.53,634.45,620.11,,-2.48%
2023-09-07,636.82,631.37,642.79,629.52,,1.51%
2023-09-06,627.35,628.33,636.52,625.65,,1.77%
2023-09-05,616.43,614.97,616.43,609.78,,0.76%
2023-09-04,611.79,612.47,613.37,608.18,,1.91%
2023-09-01,600.34,587.74,602.73,587.36,,3.20%
2023-08-31,581.72,583.7,583.7,580.96,,-0.10%
2023-08-30,582.3,582.98,583.91,580.94,,0.48%
2023-08-29,579.52,582.39,586.96,577.6,,-0.30%
2023-08-28,581.26,577.59,581.26,576.44,,1.72%
2023-08-25,571.45,570.75,573.06,567.96,,-0.44%
2023-08-24,573.96,570.37,576.24,568.46,,1.20%
2023-08-23,567.15,566.21,567.56,562.93,,-0.23%
2023-08-22,568.46,564.77,568.63,563.69,,0.80%
2023-08-21,563.93,562.09,567.42,562.09,,1.47%
2023-08-18,555.76,560.04,563.55,555.72,,-0.46%
2023-08-17,558.33,554.34,564.49,549.54,,-1.18%
2023-08-16,564.99,564.57,569.94,557.79,,-2.25%
2023-08-15,577.99,581.59,586.5,577.01,,0.52%
2023-08-14,574.98,595.51,597.54,573.43,,-4.47%
2023-08-10,601.9,534.14,607.24,534.14,,14.93%
2023-08-09,523.69,545.54,545.54,522.71,,-3.31%
2023-08-08,541.61,547.08,550.09,540.78,,-0.34%
2023-08-07,543.44,535.85,547.12,535.85,,1.59%
2023-08-04,534.95,530.53,538.87,530.53,,1.77%
2023-08-03,525.64,533.78,534.14,525.0,,-2.34%
2023-08-02,538.22,533.69,542.52,531.95,,0.53%
2023-08-01,535.37,534.86,542.61,532.69,,0.94%
2023-07-31,530.37,536.91,536.91,528.4,,-0.19%
2023-07-28,531.4,523.96,531.56,520.43,,0.70%
2023-07-27,527.68,522.84,528.54,522.84,,0.21%
2023-07-26,526.56,531.1,531.87,520.22,,-0.92%
2023-07-25,531.47,523.01,537.66,522.48,,2.71%
2023-07-24,517.46,515.67,522.84,511.14,,1.16%
2023-07-21,511.51,506.28,513.6,499.11,,2.23%
2023-07-20,500.37,495.13,501.0,493.58,,1.26%
2023-07-19,494.13,489.69,495.06,489.21,,2.04%
2023-07-18,484.26,484.73,487.28,482.85,,-0.52%
2023-07-14,486.77,491.53,491.53,485.53,,-0.19%
2023-07-13,487.72,488.81,491.94,485.99,,0.90%
2023-07-12,483.35,478.21,484.83,477.37,,2.19%
2023-07-11,473.01,472.8,475.07,471.63,,0.45%
2023-07-10,470.9,472.13,476.19,470.8,,0.79%
2023-07-07,467.19,465.83,468.98,461.81,,-1.13%
2023-07-06,472.55,473.72,476.03,470.24,,0.21%
2023-07-05,471.54,471.72,473.52,469.92,,0.43%
2023-07-04,469.52,469.94,471.75,468.55,,-0.22%
2023-07-03,470.55,467.62,470.55,466.34,,1.22%
2023-06-30,464.89,466.27,466.89,462.64,,-0.33%
2023-06-29,466.42,466.74,468.07,463.08,,-0.92%
2023-06-28,470.77,464.69,470.77,464.31,,0.64%
2023-06-27,467.78,469.34,469.34,463.03,,0.43%
2023-06-26,465.78,465.13,470.06,462.01,,0.59%
2023-06-23,463.04,466.45,471.03,460.71,,-1.75%
2023-06-22,471.28,473.99,478.1,470.72,,1.19%
2023-06-21,465.76,459.41,466.46,457.43,,0.49%
2023-06-20,463.51,466.85,467.45,462.25,,-0.78%
2023-06-19,467.15,476.58,476.68,464.78,,-1.60%
2023-06-16,474.77,469.24,476.93,467.35,,2.33%
2023-06-15,463.97,462.31,466.14,461.1,,-0.18%
2023-06-14,464.81,463.43,467.34,462.16,,1.48%
2023-06-13,458.02,455.29,458.77,454.1,,-0.25%
