"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","1,999.81","1,969.56","2,006.96","1,969.46","","0.68%"
"2023-10-18","1,986.30","1,961.84","1,989.08","1,948.80","","1.71%"
"2023-10-17","1,952.82","1,971.85","1,978.79","1,947.38","","0.11%"
"2023-10-16","1,950.76","1,984.57","1,984.57","1,946.60","","-2.63%"
"2023-10-13","2,003.38","2,010.53","2,020.68","1,998.21","","-1.08%"
"2023-10-12","2,025.28","2,025.10","2,031.34","2,005.41","","-0.13%"
"2023-10-11","2,027.83","2,040.58","2,044.17","2,027.64","","-0.78%"
"2023-10-10","2,043.69","2,044.79","2,054.70","2,036.25","","0.72%"
"2023-10-06","2,029.16","2,031.21","2,045.98","2,024.29","","0.31%"
"2023-10-05","2,022.79","2,003.66","2,029.27","1,993.94","","1.33%"
"2023-10-04","1,996.24","2,020.89","2,031.47","1,995.82","","-1.93%"
"2023-10-03","2,035.59","2,079.00","2,080.56","2,032.05","","-2.48%"
"2023-10-02","2,087.25","2,121.72","2,136.92","2,087.25","","-1.41%"
"2023-09-29","2,117.18","2,148.29","2,152.12","2,105.62","","-0.76%"
"2023-09-28","2,133.49","2,168.38","2,168.38","2,121.53","","-2.68%"
"2023-09-27","2,192.22","2,184.87","2,193.20","2,164.83","","-0.12%"
"2023-09-26","2,194.93","2,197.32","2,205.20","2,186.27","","-0.17%"
"2023-09-25","2,198.61","2,195.74","2,208.74","2,187.52","","0.37%"
"2023-09-22","2,190.59","2,182.89","2,201.60","2,182.89","","-0.19%"
"2023-09-21","2,194.79","2,219.66","2,224.52","2,192.62","","-1.53%"
"2023-09-20","2,228.79","2,235.00","2,239.22","2,219.90","","0.06%"
"2023-09-19","2,227.44","2,241.04","2,243.20","2,214.02","","-0.99%"
"2023-09-15","2,249.75","2,243.87","2,256.74","2,230.65","","0.41%"
"2023-09-14","2,240.62","2,242.62","2,249.68","2,227.59","","0.42%"
"2023-09-13","2,231.26","2,200.34","2,236.38","2,199.52","","1.74%"
"2023-09-12","2,193.07","2,182.43","2,197.36","2,179.15","","0.90%"
"2023-09-11","2,173.52","2,203.00","2,209.34","2,168.51","","-0.53%"
"2023-09-08","2,185.04","2,211.85","2,211.85","2,183.32","","-1.35%"
"2023-09-07","2,215.00","2,191.70","2,221.46","2,188.07","","1.15%"
"2023-09-06","2,189.77","2,201.47","2,208.87","2,185.27","","-0.36%"
"2023-09-05","2,197.58","2,189.52","2,202.74","2,183.85","","0.40%"
"2023-09-04","2,188.74","2,185.03","2,189.13","2,176.84","","0.12%"
"2023-09-01","2,186.12","2,158.20","2,188.09","2,158.20","","0.55%"
"2023-08-31","2,174.11","2,147.69","2,177.22","2,147.69","","1.60%"
"2023-08-30","2,139.92","2,137.95","2,147.62","2,133.45","","-0.04%"
"2023-08-29","2,140.70","2,131.00","2,146.07","2,129.46","","0.86%"
"2023-08-28","2,122.50","2,125.72","2,127.11","2,102.03","","0.17%"
"2023-08-25","2,118.82","2,116.40","2,129.45","2,115.87","","-0.29%"
"2023-08-24","2,125.06","2,118.70","2,132.76","2,118.70","","-0.13%"
"2023-08-23","2,127.87","2,108.73","2,134.37","2,108.73","","1.06%"
"2023-08-22","2,105.57","2,099.79","2,110.06","2,098.23","","-0.08%"
"2023-08-21","2,107.24","2,108.54","2,119.16","2,102.41","","0.31%"
"2023-08-18","2,100.81","2,107.54","2,114.07","2,092.80","","-1.29%"
"2023-08-17","2,128.25","2,142.49","2,144.00","2,112.52","","-0.66%"
"2023-08-16","2,142.29","2,131.17","2,145.73","2,125.47","","-0.62%"
"2023-08-15","2,155.56","2,145.23","2,159.03","2,133.41","","0.57%"
"2023-08-14","2,143.41","2,167.70","2,177.08","2,140.72","","-0.82%"
"2023-08-10","2,161.23","2,132.66","2,161.75","2,131.07","","1.62%"
"2023-08-09","2,126.81","2,105.38","2,144.02","2,101.82","","1.07%"
"2023-08-08","2,104.30","2,089.29","2,105.26","2,088.88","","1.12%"
"2023-08-07","2,080.99","2,063.01","2,081.80","2,055.17","","0.43%"
"2023-08-04","2,072.17","2,068.06","2,081.70","2,065.18","","-0.33%"
"2023-08-03","2,079.05","2,100.63","2,103.58","2,077.08","","-1.37%"
"2023-08-02","2,107.89","2,127.45","2,137.67","2,100.45","","-1.48%"
"2023-08-01","2,139.62","2,116.44","2,139.91","2,114.99","","0.97%"
"2023-07-31","2,119.05","2,134.52","2,146.25","2,111.65","","0.37%"
"2023-07-28","2,111.34","2,076.82","2,116.07","2,076.18","","0.70%"
"2023-07-27","2,096.74","2,078.92","2,097.60","2,073.73","","0.92%"
"2023-07-26","2,077.67","2,065.61","2,078.59","2,052.72","","0.42%"
"2023-07-25","2,068.95","2,065.98","2,070.22","2,062.24","","0.22%"
"2023-07-24","2,064.37","2,063.87","2,070.58","2,058.54","","0.58%"
"2023-07-21","2,052.41","2,046.54","2,054.59","2,037.69","","0.46%"
"2023-07-20","2,043.01","2,047.27","2,052.03","2,037.23","","-0.03%"
"2023-07-19","2,043.58","2,033.13","2,043.58","2,027.24","","1.36%"
"2023-07-18","2,016.10","2,014.13","2,030.19","2,012.98","","-0.29%"
"2023-07-14","2,022.04","2,055.39","2,055.39","2,020.52","","-1.19%"
"2023-07-13","2,046.30","2,047.25","2,051.79","2,030.16","","-0.33%"
"2023-07-12","2,053.03","2,068.53","2,069.56","2,052.19","","-0.18%"
