"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","382.84","378.53","383.01","377.73","","1.22%"
"2020-05-25","378.23","378.98","380.92","377.32","","0.48%"
"2020-05-22","376.42","379.39","380.92","375.18","","-0.58%"
"2020-05-21","378.60","380.84","381.32","378.39","","-0.64%"
"2020-05-20","381.03","381.85","382.28","380.08","","-0.06%"
"2020-05-19","381.27","382.24","383.59","379.44","","0.82%"
"2020-05-18","378.16","379.39","381.22","376.72","","-0.66%"
"2020-05-15","380.69","383.88","384.49","380.25","","-0.10%"
"2020-05-14","381.07","387.75","388.59","381.07","","-2.09%"
"2020-05-13","389.21","386.99","390.08","386.78","","-0.14%"
"2020-05-12","389.76","386.58","391.30","386.58","","1.65%"
"2020-05-11","383.45","381.86","385.51","381.36","","0.01%"
"2020-05-08","383.41","379.96","385.37","379.96","","2.22%"
"2020-05-07","375.07","375.32","375.63","372.10","","-1.12%"
"2020-05-01","379.33","379.35","382.07","375.94","","-0.44%"
"2020-04-30","381.02","393.65","393.81","380.96","","-2.55%"
"2020-04-28","391.00","392.52","392.74","389.12","","-0.09%"
"2020-04-27","391.37","393.85","394.13","389.94","","-0.82%"
"2020-04-24","394.61","398.82","398.82","392.54","","-1.69%"
"2020-04-23","401.39","398.70","401.39","397.61","","0.72%"
"2020-04-22","398.51","398.04","400.94","396.56","","0.29%"
"2020-04-21","397.35","394.93","398.30","393.72","","-0.34%"
"2020-04-20","398.71","399.14","400.60","396.07","","-1.16%"
"2020-04-17","403.39","406.74","408.23","400.79","","0.12%"
"2020-04-16","402.91","396.11","403.49","395.90","","0.97%"
"2020-04-15","399.04","393.80","399.04","392.33","","0.83%"
"2020-04-14","395.77","393.24","396.51","392.97","","1.35%"
"2020-04-13","390.50","390.16","392.89","387.71","","-0.92%"
"2020-04-10","394.11","385.54","394.91","384.50","","2.24%"
"2020-04-09","385.48","387.83","388.80","379.55","","-0.55%"
"2020-04-08","387.60","386.92","393.10","385.63","","0.55%"
"2020-04-07","385.49","385.03","387.24","379.11","","0.61%"
"2020-04-06","383.14","375.51","385.58","374.22","","1.84%"
"2020-04-03","376.21","374.75","383.32","372.73","","1.31%"
"2020-04-02","371.35","377.55","381.22","371.35","","-2.32%"
"2020-04-01","380.17","388.31","392.03","377.37","","-3.46%"
"2020-03-31","393.81","402.30","406.03","390.90","","-3.29%"
"2020-03-30","407.20","390.93","407.20","387.26","","1.95%"
"2020-03-27","399.41","382.63","399.41","382.22","","6.41%"
"2020-03-26","375.35","370.73","376.69","364.75","","0.06%"
"2020-03-25","375.11","362.98","375.25","357.89","","4.78%"
"2020-03-24","357.99","365.70","368.24","353.73","","-1.63%"
"2020-03-23","363.94","361.78","366.93","353.55","","0.94%"
"2020-03-19","360.55","356.40","373.44","356.37","","3.06%"
"2020-03-18","349.83","352.79","366.09","349.05","","0.62%"
"2020-03-17","347.68","319.44","351.59","317.01","","7.19%"
"2020-03-16","324.37","326.56","336.05","321.42","","-0.92%"
"2020-03-13","327.38","340.74","340.74","319.68","","-5.99%"
"2020-03-12","348.25","352.97","353.68","341.72","","-2.77%"
"2020-03-11","358.16","348.13","359.29","347.40","","2.17%"
"2020-03-10","350.57","346.16","353.96","336.21","","0.74%"
"2020-03-09","347.99","355.24","356.52","345.34","","-3.68%"
"2020-03-06","361.27","361.99","364.68","358.89","","-1.61%"
"2020-03-05","367.20","366.82","369.24","364.02","","2.18%"
"2020-03-04","359.37","356.91","362.66","353.95","","-0.09%"
"2020-03-03","359.69","365.48","366.59","359.69","","-0.49%"
"2020-03-02","361.47","357.51","364.73","352.36","","-0.77%"
"2020-02-28","364.29","369.47","370.19","361.86","","-3.27%"
"2020-02-27","376.60","380.82","381.45","376.41","","-1.93%"
"2020-02-26","384.01","382.25","385.89","381.34","","-0.07%"
