"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","2,367.84","2,340.52","2,371.63","2,340.52","","1.88%"
"2020-05-25","2,324.19","2,324.47","2,324.47","2,310.47","","1.22%"
"2020-05-22","2,296.14","2,314.91","2,322.56","2,287.97","","-0.82%"
"2020-05-21","2,315.05","2,338.92","2,343.55","2,309.88","","-0.27%"
"2020-05-20","2,321.33","2,302.28","2,329.00","2,302.28","","0.62%"
"2020-05-19","2,307.06","2,284.96","2,319.27","2,282.89","","2.76%"
"2020-05-18","2,245.05","2,262.21","2,262.66","2,233.26","","-0.99%"
"2020-05-15","2,267.40","2,278.20","2,287.86","2,243.79","","0.81%"
"2020-05-14","2,249.07","2,291.66","2,291.66","2,248.18","","-2.92%"
"2020-05-13","2,316.65","2,295.19","2,323.81","2,286.96","","-0.44%"
"2020-05-12","2,326.78","2,327.16","2,333.45","2,315.81","","0.36%"
"2020-05-11","2,318.34","2,308.59","2,332.04","2,301.36","","1.41%"
"2020-05-08","2,286.19","2,269.21","2,286.54","2,263.96","","1.97%"
"2020-05-07","2,242.01","2,212.59","2,245.18","2,212.59","","0.72%"
"2020-05-01","2,226.02","2,262.67","2,265.33","2,213.68","","-2.70%"
"2020-04-30","2,287.86","2,260.85","2,303.40","2,260.78","","3.13%"
"2020-04-28","2,218.52","2,198.86","2,220.35","2,196.01","","0.87%"
"2020-04-27","2,199.32","2,147.01","2,202.06","2,145.12","","3.28%"
"2020-04-24","2,129.39","2,128.86","2,130.29","2,117.90","","-0.81%"
"2020-04-23","2,146.74","2,144.21","2,154.98","2,132.75","","1.06%"
"2020-04-22","2,124.31","2,129.15","2,129.57","2,095.43","","-0.90%"
"2020-04-21","2,143.52","2,167.11","2,181.33","2,140.56","","-1.97%"
"2020-04-20","2,186.58","2,190.49","2,199.25","2,180.35","","-0.97%"
"2020-04-17","2,208.10","2,189.16","2,222.34","2,187.96","","2.41%"
"2020-04-16","2,156.13","2,158.59","2,161.74","2,135.94","","-1.63%"
"2020-04-15","2,191.90","2,182.19","2,205.15","2,170.76","","0.53%"
"2020-04-14","2,180.40","2,134.87","2,186.25","2,132.42","","2.46%"
"2020-04-13","2,128.03","2,149.85","2,156.96","2,124.94","","-2.12%"
"2020-04-10","2,174.09","2,158.12","2,180.04","2,127.38","","0.34%"
"2020-04-09","2,166.76","2,166.33","2,170.23","2,140.05","","0.14%"
"2020-04-08","2,163.64","2,144.04","2,176.32","2,107.42","","1.48%"
"2020-04-07","2,132.03","2,109.77","2,149.42","2,082.79","","2.94%"
"2020-04-06","2,071.12","1,998.34","2,081.81","1,988.51","","3.77%"
"2020-04-03","1,995.82","2,025.74","2,029.25","1,972.98","","-0.66%"
"2020-04-02","2,009.08","2,013.79","2,033.79","1,997.16","","-1.15%"
"2020-04-01","2,032.46","2,091.97","2,106.50","2,012.56","","-3.87%"
"2020-03-31","2,114.34","2,155.90","2,174.85","2,101.50","","-1.05%"
"2020-03-30","2,136.86","2,124.27","2,137.36","2,080.60","","-1.97%"
"2020-03-27","2,179.90","2,132.02","2,179.90","2,123.98","","4.19%"
"2020-03-26","2,092.31","2,111.38","2,118.53","2,067.55","","-2.30%"
"2020-03-25","2,141.64","2,035.38","2,141.64","2,035.27","","7.35%"
"2020-03-24","1,995.05","1,919.46","1,995.05","1,918.11","","5.42%"
"2020-03-23","1,892.40","1,855.55","1,898.86","1,829.75","","1.43%"
"2020-03-19","1,865.66","1,927.52","1,932.24","1,839.38","","-1.81%"
