"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020-05-26","752.09","742.61","755.09","741.47","","1.89%"
"2020-05-25","738.16","732.76","738.73","729.40","","2.72%"
"2020-05-22","718.62","737.00","737.00","715.86","","-2.35%"
"2020-05-21","735.92","737.77","743.16","732.65","","-0.24%"
"2020-05-20","737.70","716.97","742.18","715.81","","3.09%"
"2020-05-19","715.62","707.54","720.58","707.49","","3.36%"
"2020-05-18","692.39","696.19","696.21","685.89","","0.24%"
"2020-05-15","690.73","693.38","697.27","680.18","","1.43%"
"2020-05-14","681.00","691.64","695.51","681.00","","-2.48%"
"2020-05-13","698.29","693.05","702.90","688.46","","-1.18%"
"2020-05-12","706.64","711.82","711.82","700.45","","-1.39%"
"2020-05-11","716.61","696.32","719.98","695.99","","4.31%"
"2020-05-08","687.03","664.36","689.09","664.36","","4.81%"
"2020-05-07","655.47","655.27","662.50","653.22","","-1.72%"
"2020-05-01","666.92","682.24","682.24","664.49","","-3.79%"
"2020-04-30","693.20","683.65","700.90","683.62","","3.39%"
"2020-04-28","670.47","675.47","675.95","665.34","","-0.94%"
"2020-04-27","676.86","655.39","677.15","652.48","","4.39%"
"2020-04-24","648.41","652.39","653.33","644.84","","-0.93%"
"2020-04-23","654.51","630.51","654.51","630.49","","4.33%"
"2020-04-22","627.34","631.29","634.76","624.48","","-1.92%"
"2020-04-21","639.65","639.64","645.15","633.63","","-1.05%"
"2020-04-20","646.42","645.26","650.07","641.30","","-0.76%"
"2020-04-17","651.34","640.68","652.26","638.40","","3.38%"
"2020-04-16","630.02","630.47","632.31","622.71","","-2.27%"
"2020-04-15","644.68","644.72","649.03","638.55","","-1.59%"
"2020-04-14","655.09","644.42","658.62","637.65","","2.68%"
"2020-04-13","638.02","654.13","654.61","637.49","","-3.12%"
"2020-04-10","658.58","650.75","660.51","640.17","","1.52%"
"2020-04-09","648.75","644.57","648.78","639.62","","0.98%"
"2020-04-08","642.43","645.92","647.84","627.48","","0.47%"
"2020-04-07","639.43","640.46","646.18","619.25","","2.09%"
"2020-04-06","626.31","596.09","631.20","590.82","","3.31%"
"2020-04-03","606.26","612.30","614.47","598.71","","-0.13%"
"2020-04-02","607.03","611.33","619.96","604.95","","-2.48%"
"2020-04-01","622.48","649.29","656.90","616.67","","-4.61%"
"2020-03-31","652.56","660.15","672.94","648.42","","-1.94%"
"2020-03-30","665.48","656.00","665.48","645.76","","-2.86%"
"2020-03-27","685.04","673.48","685.04","658.32","","4.10%"
"2020-03-26","658.05","667.02","667.02","646.53","","-3.13%"
"2020-03-25","679.34","634.99","679.57","634.99","","9.62%"
"2020-03-24","619.70","608.67","619.70","592.31","","3.75%"
"2020-03-23","597.32","578.10","599.41","571.10","","5.04%"
"2020-03-19","568.65","584.21","588.07","568.65","","-0.77%"
"2020-03-18","573.08","589.15","601.45","572.93","","-1.92%"
"2020-03-17","584.29","567.50","592.44","554.68","","1.50%"
"2020-03-16","575.63","596.85","604.08","573.73","","-2.33%"
"2020-03-13","589.38","609.75","612.99","567.94","","-5.66%"
"2020-03-12","624.73","647.39","650.54","618.73","","-5.10%"
"2020-03-11","658.31","671.36","684.19","658.11","","-1.37%"
"2020-03-10","667.43","647.34","670.70","627.53","","1.54%"
"2020-03-09","657.32","694.99","695.01","653.69","","-7.56%"
"2020-03-06","711.04","727.10","727.10","707.77","","-4.17%"
"2020-03-05","741.96","757.77","757.77","737.92","","-0.53%"
"2020-03-04","745.91","741.13","751.39","737.78","","-0.56%"
"2020-03-03","750.11","774.06","777.94","750.11","","-1.40%"
"2020-03-02","760.79","749.46","771.14","746.86","","-0.09%"
"2020-02-28","761.50","774.08","774.65","755.63","","-3.64%"
"2020-02-27","790.27","803.77","804.99","786.68","","-2.99%"
"2020-02-26","814.62","809.70","815.32","801.88","","-0.88%"
"2020-02-25","821.84","840.92","840.99","816.57","","-4.28%"
"2020-02-21","858.56","858.07","865.73","856.76","","-0.06%"
"2020-02-20","859.09","867.69","871.65","857.77","","0.50%"
"2020-02-19","854.82","860.00","860.48","851.39","","-0.47%"
"2020-02-18","858.87","862.25","866.01","855.15","","-0.95%"
"2020-02-17","867.15","860.37","868.61","855.12","","-0.60%"
"2020-02-14","872.41","872.55","874.03","867.68","","-1.00%"
"2020-02-13","881.24","881.04","885.30","878.71","","0.15%"
"2020-02-12","879.88","878.02","881.67","872.76","","0.42%"
"2020-02-10","876.23","872.86","880.53","870.88","","-1.35%"
"2020-02-07","888.26","892.82","892.98","884.76","","-0.82%"
"2020-02-06","895.57","890.63","904.23","890.63","","2.34%"
"2020-02-05","875.11","876.60","880.33","873.27","","1.43%"
"2020-02-04","862.79","852.42","863.42","851.72","","0.79%"
"2020-02-03","856.02","854.58","859.45","848.46","","-1.90%"
"2020-01-31","872.60","873.18","880.06","871.56","","0.23%"
"2020-01-30","870.59","879.22","879.57","866.12","","-1.56%"
"2020-01-29","884.41","880.23","884.41","876.85","","0.47%"
"2020-01-28","880.31","876.63","881.23","872.62","","-1.18%"
"2020-01-27","890.83","897.76","898.64","887.27","","-2.75%"
"2020-01-24","916.00","916.95","918.12","912.48","","-0.32%"
"2020-01-23","918.93","925.12","927.81","918.05","","-1.84%"
"2020-01-22","936.16","932.80","937.17","928.66","","-0.50%"
"2020-01-21","940.82","945.82","949.89","938.91","","-1.01%"
"2020-01-20","950.40","949.15","952.00","946.21","","0.96%"
"2020-01-17","941.39","942.45","943.10","937.81","","0.60%"
"2020-01-16","935.80","934.00","937.03","930.05","","0.00%"
"2020-01-15","935.81","943.55","944.32","931.01","","-1.72%"
"2020-01-14","952.21","952.60","955.50","946.18","","0.72%"
"2020-01-10","945.36","948.35","951.27","944.21","","-0.42%"
"2020-01-09","949.32","947.99","952.12","947.00","","1.63%"
"2020-01-08","934.08","934.92","937.61","923.09","","-1.54%"
"2020-01-07","948.66","941.79","950.97","941.02","","0.45%"
"2020-01-06","944.39","939.30","944.39","933.75","","-1.38%"
"2019-12-30","957.57","955.46","960.51","947.82","","-0.40%"
"2019-12-27","961.38","956.40","965.10","955.31","","0.73%"
"2019-12-26","954.37","942.14","954.37","942.14","","0.72%"
"2019-12-25","947.57","950.28","952.27","946.28","","-0.29%"
"2019-12-24","950.30","958.57","958.57","947.55","","-0.14%"
"2019-12-23","951.65","959.06","959.06","950.06","","-1.32%"
"2019-12-20","964.35","972.05","972.05","963.08","","-0.39%"
"2019-12-19","968.13","972.15","972.72","962.37","","-0.73%"
"2019-12-18","975.29","982.48","982.48","973.29","","-0.76%"
"2019-12-17","982.75","987.71","987.71","978.08","","0.04%"
"2019-12-16","982.34","989.79","989.80","981.28","","-0.61%"
"2019-12-13","988.41","978.43","989.87","978.43","","3.17%"
"2019-12-12","958.07","964.30","964.30","955.86","","0.12%"
"2019-12-11","956.90","952.97","957.69","951.06","","0.23%"
"2019-12-10","954.75","953.93","958.15","951.35","","-0.18%"
"2019-12-09","956.46","962.33","963.54","952.69","","1.08%"
"2019-12-06","946.24","945.39","949.97","942.97","","0.49%"
"2019-12-05","941.65","942.52","943.72","937.30","","1.53%"
"2019-12-04","927.47","923.25","927.73","916.47","","-1.35%"
"2019-12-03","940.16","930.43","940.16","926.50","","-0.14%"
"2019-12-02","941.44","938.77","948.12","938.29","","0.93%"
"2019-11-29","932.75","938.72","943.44","932.75","","-0.30%"
"2019-11-28","935.59","940.52","943.68","933.87","","-0.45%"
"2019-11-27","939.82","937.79","945.40","937.79","","1.54%"
"2019-11-26","925.58","933.47","940.66","925.58","","0.30%"
"2019-11-25","922.78","920.83","925.79","920.18","","1.39%"
"2019-11-22","910.15","909.82","915.31","908.65","","0.45%"
"2019-11-21","906.06","911.60","913.35","897.14","","-1.34%"
"2019-11-20","918.35","914.37","926.66","914.37","","0.11%"
"2019-11-19","917.30","920.69","921.04","916.39","","-1.36%"
"2019-11-18","929.93","936.62","936.62","926.68","","-0.35%"
"2019-11-15","933.15","927.97","935.74","926.27","","0.62%"
"2019-11-14","927.42","933.23","936.90","926.80","","-0.84%"
"2019-11-13","935.23","943.36","943.54","933.84","","-1.05%"
"2019-11-12","945.16","948.60","948.60","934.87","","-0.98%"
"2019-11-11","954.48","963.17","965.43","954.36","","-1.14%"
"2019-11-08","965.52","969.73","971.60","960.88","","0.20%"
"2019-11-07","963.63","952.10","964.03","948.83","","0.86%"
"2019-11-06","955.38","944.48","955.38","943.70","","1.64%"
"2019-11-05","940.00","939.75","947.83","933.61","","2.11%"
"2019-11-01","920.61","917.79","921.48","911.05","","-1.51%"
"2019-10-31","934.77","927.19","935.95","924.68","","0.24%"
"2019-10-30","932.55","940.15","940.15","928.45","","-0.97%"
"2019-10-29","941.66","929.67","941.66","929.11","","1.99%"
"2019-10-28","923.29","922.52","927.31","920.54","","1.05%"
"2019-10-25","913.68","906.94","913.68","903.75","","0.81%"
"2019-10-24","906.36","902.99","906.57","899.98","","1.28%"
"2019-10-23","894.94","882.54","895.67","878.85","","2.21%"
"2019-10-21","875.59","876.98","879.64","874.47","","0.97%"
"2019-10-18","867.21","868.55","873.45","864.59","","-0.12%"
"2019-10-17","868.26","873.55","873.55","864.70","","-0.99%"
"2019-10-16","876.95","888.96","896.43","875.34","","-0.19%"
"2019-10-15","878.65","877.99","883.81","876.08","","1.77%"
"2019-10-11","863.41","858.84","864.10","855.30","","1.96%"
"2019-10-10","846.82","844.59","847.13","835.09","","0.51%"
"2019-10-09","842.54","833.78","843.12","832.64","","-0.31%"
"2019-10-08","845.15","843.87","852.74","843.87","","0.62%"
"2019-10-07","839.97","842.09","846.08","834.55","","-0.04%"
"2019-10-04","840.31","839.54","840.80","834.07","","-0.19%"
"2019-10-03","841.94","836.49","842.28","832.61","","-1.38%"
"2019-10-02","853.69","846.34","854.17","842.33","","-0.51%"
"2019-10-01","858.05","850.91","863.27","850.62","","0.81%"
"2019-09-30","851.17","855.84","862.11","848.36","","-0.42%"
"2019-09-27","854.79","859.25","862.35","846.95","","-1.78%"
"2019-09-26","870.30","874.82","879.88","868.50","","1.06%"
"2019-09-25","861.20","856.84","863.72","853.13","","-0.44%"
"2019-09-24","864.97","865.06","874.68","861.61","","-0.22%"
"2019-09-20","866.92","866.55","874.39","862.53","","0.50%"
"2019-09-19","862.60","858.83","871.99","857.99","","0.35%"
"2019-09-18","859.58","868.81","868.81","852.34","","-1.81%"
"2019-09-17","875.42","867.90","880.90","867.33","","0.34%"
"2019-09-13","872.42","867.25","873.89","859.08","","0.86%"
"2019-09-12","864.98","862.69","871.46","860.41","","1.07%"
"2019-09-11","855.81","843.64","856.79","843.64","","3.23%"
"2019-09-10","829.01","821.14","829.79","821.14","","2.25%"
"2019-09-09","810.77","800.41","811.19","798.53","","1.40%"
"2019-09-06","799.56","805.10","806.29","798.31","","0.11%"
"2019-09-05","798.72","784.21","802.32","784.21","","2.70%"
"2019-09-04","777.70","777.29","779.62","771.64","","-0.09%"
"2019-09-03","778.38","769.23","782.74","769.23","","0.89%"
"2019-09-02","771.48","773.16","774.40","769.48","","0.50%"
"2019-08-30","767.63","757.83","767.98","757.64","","2.56%"
"2019-08-29","748.49","748.43","748.70","740.04","","0.22%"
"2019-08-28","746.82","750.54","750.54","745.09","","-0.40%"
"2019-08-27","749.81","753.33","755.16","749.52","","0.27%"
"2019-08-26","747.76","743.04","749.24","738.06","","-1.66%"
"2019-08-23","760.36","758.93","761.89","756.11","","0.28%"
"2019-08-22","758.20","756.72","760.27","756.00","","-0.21%"
"2019-08-21","759.79","762.15","764.14","758.96","","-1.54%"
"2019-08-20","771.71","771.49","773.04","766.92","","0.43%"
"2019-08-19","768.38","767.85","770.65","765.07","","0.43%"
"2019-08-16","765.06","758.22","766.43","755.35","","-0.49%"
