"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-20","149.94","149.80","150.04","149.66","","0.11%"
"2023-10-19","149.78","149.93","150.01","149.66","","-0.09%"
"2023-10-18","149.92","149.82","149.99","149.49","","0.08%"
"2023-10-17","149.80","149.51","149.91","149.23","","0.20%"
"2023-10-16","149.50","149.49","149.79","149.35","","-0.03%"
"2023-10-13","149.55","149.79","149.84","149.45","","-0.17%"
"2023-10-12","149.80","149.16","149.88","148.95","","0.44%"
"2023-10-11","149.15","148.71","149.37","148.42","","0.30%"
"2023-10-10","148.70","148.55","149.13","148.16","","0.13%"
"2023-10-09","148.50","149.07","149.25","148.43","","-0.55%"
"2023-10-06","149.32","148.51","149.55","148.35","","0.55%"
"2023-10-05","148.50","149.12","149.13","148.26","","-0.42%"
"2023-10-04","149.12","149.02","149.33","148.73","","0.07%"
"2023-10-03","149.02","149.87","150.18","147.38","","-0.55%"
"2023-10-02","149.85","149.48","149.93","149.45","","0.33%"
"2023-09-29","149.35","149.31","149.52","148.52","","0.04%"
"2023-09-28","149.29","149.64","149.65","149.15","","-0.23%"
"2023-09-27","149.63","149.06","149.74","148.86","","0.39%"
"2023-09-26","149.05","148.91","149.21","148.70","","0.11%"
"2023-09-25","148.88","148.37","148.99","148.25","","0.34%"
"2023-09-22","148.37","147.57","148.46","147.51","","0.54%"
"2023-09-21","147.58","148.34","148.46","147.32","","-0.51%"
"2023-09-20","148.33","147.85","148.37","147.47","","0.32%"
"2023-09-19","147.86","147.60","147.98","147.50","","0.18%"
"2023-09-18","147.60","147.74","147.88","147.55","","-0.15%"
"2023-09-15","147.82","147.49","147.99","147.34","","0.24%"
"2023-09-14","147.47","147.46","147.58","147.01","","0.01%"
"2023-09-13","147.45","147.07","147.74","147.01","","0.25%"
"2023-09-12","147.08","146.59","147.26","146.45","","0.34%"
"2023-09-11","146.58","147.02","147.28","145.90","","-0.83%"
"2023-09-08","147.81","147.30","147.88","146.59","","0.35%"
"2023-09-07","147.29","147.66","147.88","147.04","","-0.24%"
"2023-09-06","147.65","147.74","147.82","147.01","","-0.04%"
"2023-09-05","147.71","146.49","147.82","146.40","","0.85%"
"2023-09-04","146.46","146.20","146.54","146.01","","0.16%"
"2023-09-01","146.23","145.54","146.32","144.44","","0.48%"
"2023-08-31","145.53","146.23","146.26","145.35","","-0.49%"
"2023-08-30","146.24","145.90","146.59","145.55","","0.25%"
"2023-08-29","145.87","146.55","147.38","145.67","","-0.46%"
"2023-08-28","146.54","146.43","146.75","146.26","","0.09%"
"2023-08-25","146.41","145.84","146.65","145.73","","0.37%"
"2023-08-24","145.87","144.84","145.97","144.59","","0.72%"
"2023-08-23","144.83","145.90","145.90","144.54","","-0.72%"
"2023-08-22","145.88","146.18","146.40","145.49","","-0.20%"
"2023-08-21","146.17","145.34","146.41","145.13","","0.55%"
"2023-08-18","145.37","145.86","145.88","144.93","","-0.32%"
"2023-08-17","145.83","146.35","146.57","145.62","","-0.36%"
"2023-08-16","146.35","145.59","146.42","145.30","","0.54%"
"2023-08-15","145.57","145.56","145.88","145.10","","0.02%"
"2023-08-14","145.54","144.99","145.60","144.66","","0.40%"
"2023-08-11","144.96","144.73","145.05","144.42","","0.16%"
"2023-08-10","144.73","143.73","144.83","143.29","","0.70%"
